Date,Id,Invst_Unconsolidated_Subdrs
2009,46,33025
2010,46,37094
2011,46,32828
2012,46,47314
2013,46,11407
2014,46,224767
2015,46,247490
2016,46,260877
2017,46,280853
2018,46,279085
2019,46,268039
2020,46,276362
2008,47,2553000
2009,47,3126000
2010,47,2411000
2011,47,521000
2012,47,210000
2013,47,187000
2014,47,74000
2015,47,68000
2016,47,67000
2017,47,63000
2018,47,16000
2019,47,38000
2020,47,17000
2008,48,223000
2009,48,261000
2010,48,425000
2011,48,488000
2012,48,533000
2013,48,508000
2014,48,323000
2015,48,273000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,0
2011,49,0
2012,49,0
2013,49,1223
2014,49,0
2015,49,8
2016,49,0
2017,49,0
2018,49,0
2019,49,0
2020,49,
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,2321
2013,50,7409
2014,50,
2015,50,0
2016,50,0
2017,50,0
2018,50,0
2019,50,0
2020,50,0
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,1
2015,52,1
2016,52,1
2017,52,229
2018,52,327
2019,52,280
2020,52,
2008,53,0
2009,53,0
2010,53,0
2011,53,242
2012,53,3407
2013,53,2698
2014,53,1370
2015,53,3990
2016,53,9621
2017,53,7261
2018,53,8006
2019,53,4800
2020,53,3426
2008,54,1558
2009,54,1116
2010,54,521
2011,54,306
2012,54,32477
2013,54,917
2014,54,25549
2015,54,44556
2016,54,3818
2017,54,3587
2018,54,2459
2019,54,2403
2020,54,1991
2008,55,1947
2009,55,1644
2010,55,2223
2011,55,2641
2012,55,2698
2013,55,1783
2014,55,1808
2015,55,1982
2016,55,2214
2017,55,2184
2018,55,2173
2019,55,776
2020,55,900
2008,56,4063
2009,56,4700
2010,56,7094
2011,56,8961
2012,56,0
2013,56,0
2014,56,759
2015,56,1224
2016,56,1009
2017,56,0
2018,56,0
2019,56,394
2020,56,394
2008,57,0
2009,57,0
2010,57,0
2011,57,0
2012,57,0
2013,57,0
2014,57,0
2015,57,0
2016,57,0
2017,57,0
2018,57,0
2019,57,
2020,57,
2008,58,9000
2009,58,9000
2010,58,9000
2011,58,87000
2012,58,99000
2013,58,99000
2014,58,225000
2015,58,177000
2016,58,195000
2017,58,217000
2018,58,294000
2019,58,314000
2020,58,312000
2008,59,
2009,59,
2010,59,
2011,59,
2012,59,0
2013,59,0
2014,59,0
2015,59,0
2016,59,0
2017,59,0
2018,59,0
2019,59,0
2020,59,0
2008,60,
2009,60,526
2010,60,1124
2011,60,485
2012,60,726
2013,60,741
2014,60,385
2015,60,362
2016,60,380
2017,60,173
2018,60,132
2019,60,134
2020,60,134
2008,61,635
2009,61,740
2010,61,
2011,61,
2012,61,3064
2013,61,3158
2014,61,2797
2015,61,2846
2016,61,3007
2017,61,3077
2018,61,2806
2019,61,2886
2020,61,2025
2008,62,
2009,62,
2010,62,
2011,62,
2012,62,
2013,62,0
2014,62,0
2015,62,0
2016,62,0
2017,62,0
2018,62,0
2019,62,0
2020,62,102
2008,63,0
2009,63,0
2010,63,0
2011,63,0
2012,63,22815
2013,63,14549
2014,63,0
2015,63,5999
2016,63,0
2017,63,100
2018,63,81
2019,63,83
2020,63,622
2008,64,496000
2009,64,435000
2010,64,85000
2011,64,47000
2012,64,65000
2013,64,65000
2014,64,36000
2015,64,41000
2016,64,18000
2017,64,17000
2018,64,16000
2019,64,11000
2020,64,2728000
