Date,Id,income taxes
2012,66,170
2013,66,442
2014,66,1895
2015,66,-339
2016,66,4838
2017,66,8201
2018,66,7692
2019,66,3827
2020,66,-9404
2008,67,701
2009,67,1679
2010,67,980
2011,67,595
2012,67,-72
2013,67,827
2014,67,1012
2015,67,87
2016,67,-556
2017,67,-47
2018,67,-803
2019,67,-268
2020,67,1440
2008,68,1302
2009,68,1778
2010,68,1247
2011,68,-2918
2012,68,2499
2013,68,-314
2014,68,-1214
2015,68,1456
2016,68,997
2017,68,831
2018,68,684
2019,68,396
2020,68,214
2008,69,82000
2009,69,144900
2010,69,56100
2011,69,98900
2012,69,84600
2013,69,110700
2014,69,117400
2015,69,102900
2016,69,115700
2017,69,126100
2018,69,
2019,69,
2020,69,
2008,70,1127
2009,70,1967
2010,70,2236
2011,70,1614
2012,70,2190
2013,70,3512
2014,70,5085
2015,70,4707
2016,70,3334
2017,70,2665
2018,70,2239
2019,70,1382
2020,70,1428
2008,71,840
2009,71,820
2010,71,1006
2011,71,1180
2012,71,378
2013,71,1388
2014,71,1509
2015,71,703
2016,71,1380
2017,71,1485
2018,71,561
2019,71,487
2020,71,-527
2008,72,4986
2009,72,14622
2010,72,8085
2011,72,5845
2012,72,7729
2013,72,7926
2014,72,14321
2015,72,16129
2016,72,12438
2017,72,9522
2018,72,8946
2019,72,7864
2020,72,11545
2008,73,-1238
2009,73,229
2010,73,440
2011,73,1107
2012,73,202
2013,73,228
2014,73,319
2015,73,-5314
2016,73,291
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,851
2015,75,1384
2016,75,938
2017,75,-36
2018,75,886
2019,75,279
2020,75,-132
2008,76,266000
2009,76,347000
2010,76,532000
2011,76,906000
2012,76,593000
2013,76,690000
2014,76,509000
2015,76,467000
2016,76,308000
2017,76,329000
2018,76,341000
2019,76,375000
2020,76,370000
2008,77,66464
2009,77,125112
2010,77,90206
2011,77,114485
2012,77,85251
2013,77,122034
2014,77,116069
2015,77,105662
2016,77,118153
2017,77,104359
2018,77,116287
2019,77,111635
2020,77,100134
2008,78,78597
2009,78,77637
2010,78,63575
2011,78,94471
2012,78,79051
2013,78,124258
2014,78,112655
2015,78,114000
2016,78,119300
2017,78,92600
2018,78,121800
2019,78,126100
2020,78,111800
2008,79,551
2009,79,2229
2010,79,6517
2011,79,8288
2012,79,8206
2013,79,11168
2014,79,7414
2015,79,6132
2016,79,5879
2017,79,4924
2018,79,5062
2019,79,9211
2020,79,6075
2008,80,10589
2009,80,14340
2010,80,21408
2011,80,34136
2012,80,29509
2013,80,31540
2014,80,18194
2015,80,18519
2016,80,22402
2017,80,17617
2018,80,16376
2019,80,6626
2020,80,-9394
2008,81,379000
2009,81,278000
2010,81,83000
2011,81,96000
2012,81,41000
2013,81,130000
2014,81,159000
2015,81,97000
2016,81,25000
2017,81,122000
2018,81,117000
2019,81,42000
2020,81,39000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,4099
2013,82,24191
2014,82,30448
2015,82,-10016
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,12536
2009,83,12628
2010,83,13877
2011,83,17780
2012,83,12946
2013,83,12469
2014,83,5893
2015,83,7187
2016,83,8303
2017,83,7757
2018,83,9698
2019,83,9660
2020,83,-3390
2008,84,97841
2009,84,-4268
2010,84,13247
2011,84,59661
2012,84,29714
2013,84,188863
2014,84,28628
2015,84,20946
2016,84,53192
2017,84,180718
2018,84,32287
2019,84,23151
2020,84,9269
2008,85,2094
2009,85,1297
2010,85,3155
2011,85,-4021
2012,85,723
2013,85,-1117
2014,85,3887
2015,85,3676
2016,85,3030
2017,85,6228
2018,85,12914
2019,85,9626
2020,85,12440
2008,86,97841
2009,86,-4268
2010,86,13247
2011,86,59661
2012,86,29714
2013,86,188863
2014,86,28628
2015,86,20946
2016,86,53192
2017,86,180718
2018,86,32287
2019,86,23151
2020,86,9269
2008,87,1225
2009,87,1111
2010,87,234
2011,87,1204
2012,87,-1819
2013,87,-68
2014,87,2110
2015,87,-352
2016,87,31
2017,87,-417
2018,87,246
2019,87,474
2020,87,
2008,88,3
2009,88,-15
2010,88,93
2011,88,57
2012,88,17
2013,88,22
2014,88,9
2015,88,13
2016,88,13
2017,88,-3
2018,88,114
2019,88,
2020,88,
2008,89,9675
2009,89,1421
2010,89,-3573
2011,89,1083
2012,89,2608
2013,89,236
2014,89,2148
2015,89,28
2016,89,6850
2017,89,3307
2018,89,3131
2019,89,
2020,89,
2008,90,1167
2009,90,3277
2010,90,5824
2011,90,6450
2012,90,6381
2013,90,7537
2014,90,8827
2015,90,4994
2016,90,14565
2017,90,7503
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,35
2013,91,411
2014,91,15
2015,91,-102
2016,91,499
2017,91,979
2018,91,851
2019,91,1181
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,246
2015,92,-34
2016,92,-158
2017,92,30
2018,92,272
2019,92,273
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,12178
2009,95,17087
2010,95,23003
2011,95,29572
2012,95,29063
2013,95,23954
2014,95,20111
2015,95,41385
2016,95,43595
2017,95,29869
2018,95,38166
2019,95,41615
2020,95,38263
2008,96,-5726
2009,96,-460
2010,96,-13
2011,96,2814
2012,96,428
2013,96,203
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,3359
2009,97,1113
2010,97,399
2011,97,-2297
2012,97,21
2013,97,789
2014,97,1342
2015,97,1141
2016,97,485
2017,97,731
2018,97,751
2019,97,840
2020,97,290
2008,98,22428
2009,98,32690
2010,98,54514
2011,98,58649
2012,98,49722
2013,98,46228
2014,98,44050
2015,98,49554
2016,98,55578
2017,98,38828
2018,98,46235
2019,98,40552
2020,98,73077
2008,99,3355
2009,99,5704
2010,99,3177
2011,99,5142
2012,99,3430
2013,99,3906
2014,99,4609
2015,99,2908
2016,99,2799
2017,99,828
2018,99,
2019,99,
2020,99,
2008,100,18256
2009,100,24394
2010,100,36456
2011,100,52461
2012,100,35580
2013,100,39602
2014,100,43812
2015,100,49323
2016,100,59221
2017,100,49493
2018,100,39999
2019,100,34786
2020,100,56181
2008,101,751
2009,101,788
2010,101,260
2011,101,259
2012,101,-828
2013,101,673
2014,101,-265
2015,101,387
2016,101,395
2017,101,105
2018,101,-228
2019,101,147
2020,101,984
2008,102,-1292
2009,102,-2022
2010,102,3402
2011,102,2231
2012,102,2792
2013,102,988
2014,102,3405
2015,102,5795
2016,102,5398
2017,102,3463
2018,102,2172
2019,102,4554
2020,102,2531
2008,103,-2399
2009,103,2748
2010,103,-11
2011,103,-911
2012,103,688
2013,103,1649
2014,103,2945
2015,103,2848
2016,103,5587
2017,103,-230
2018,103,1285
2019,103,
2020,103,
2008,104,4416
2009,104,4261
2010,104,4243
2011,104,4933
2012,104,3872
2013,104,1768
2014,104,1958
2015,104,1863
2016,104,1964
2017,104,1966
2018,104,2233
2019,104,2605
2020,104,251
2008,105,463
2009,105,-530
2010,105,-157
2011,105,-66
2012,105,14
2013,105,278
2014,105,235
2015,105,161
2016,105,28
2017,105,121
2018,105,160
2019,105,38
2020,105,117
2008,106,6039
2009,106,3340
2010,106,4939
2011,106,3277
2012,106,3416
2013,106,6894
2014,106,6978
2015,106,6100
2016,106,8847
2017,106,6700
2018,106,9213
2019,106,5755
2020,106,3202
2008,107,3789
2009,107,4179
2010,107,-416
2011,107,-468
2012,107,-1344
2013,107,595
2014,107,1151
2015,107,1368
2016,107,1147
2017,107,1528
2018,107,2172
2019,107,2006
2020,107,1693
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,0
2014,108,0
2015,108,8286
2016,108,13334
2017,108,13542
2018,108,12144
2019,108,3663
2020,108,6165
2008,109,
2009,109,4150
2010,109,6490
2011,109,7464
2012,109,8881
2013,109,6611
2014,109,7585
2015,109,7442
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,132
2009,110,-836
2010,110,887
2011,110,0
2012,110,-995
2013,110,-58
2014,110,8
2015,110,0
2016,110,-513
2017,110,102
2018,110,93
2019,110,126
2020,110,32
2008,111,1825
2009,111,-479
2010,111,736
2011,111,4099
2012,111,38
2013,111,142
2014,111,43
2015,111,253
2016,111,6
2017,111,25
2018,111,-1
2019,111,135
2020,111,-768
2008,112,19030
2009,112,23555
2010,112,18859
2011,112,26813
2012,112,22075
2013,112,30097
2014,112,34045
2015,112,37256
2016,112,47761
2017,112,51159
2018,112,61180
2019,112,54728
2020,112,
2008,113,11582
2009,113,-9122
2010,113,3212
2011,113,4947
2012,113,1444
2013,113,8207
2014,113,8871
2015,113,17412
2016,113,22921
2017,113,17992
2018,113,14436
2019,113,10441
2020,113,767
2008,114,612
2009,114,488
2010,114,577
2011,114,342
2012,114,848
2013,114,327
2014,114,737
2015,114,1133
2016,114,775
2017,114,673
2018,114,304
2019,114,279
2020,114,
2008,115,2774
2009,115,-1397
2010,115,410
2011,115,1272
2012,115,728
2013,115,507
2014,115,1241
2015,115,2087
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,4087
2009,116,2965
2010,116,6909
2011,116,4679
2012,116,2023
2013,116,1707
2014,116,3819
2015,116,4475
2016,116,3350
2017,116,2888
2018,116,5162
2019,116,-407
2020,116,149
2008,117,3132
2009,117,2198
2010,117,2784
2011,117,4165
2012,117,4063
2013,117,3472
2014,117,3416
2015,117,1944
2016,117,-3017
2017,117,-100
2018,117,262
2019,117,1213
2020,117,-2227
2008,118,4764
2009,118,-7237
2010,118,16490
2011,118,9471
2012,118,6398
2013,118,10698
2014,118,2871
2015,118,11373
2016,118,7340
2017,118,7602
2018,118,5374
2019,118,1640
2020,118,1294
2008,119,20631
2009,119,6128
2010,119,18259
2011,119,23019
2012,119,22494
2013,119,26985
2014,119,35367
2015,119,45056
2016,119,54020
2017,119,56427
2018,119,66064
2019,119,63628
2020,119,29295
2008,120,
2009,120,
2010,120,
2011,120,14128
2012,120,19809
2013,120,-9467
2014,120,38892
2015,120,-35960
2016,120,8558
2017,120,31277
2018,120,53220
2019,120,71955
2020,120,-9203
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,560000
2013,121,590000
2014,121,428654
2015,121,385331
2016,121,310765
2017,121,250190
2018,121,437086
2019,121,270184
2020,121,-47941
2008,122,56830
2009,122,33817
2010,122,40556
2011,122,73883
2012,122,91698
2013,122,45174
2014,122,51152
2015,122,99129
2016,122,17648
2017,122,12900
2018,122,26896
2019,122,38783
2020,122,22256
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,254
2015,123,260
2016,123,311
2017,123,-49
2018,123,-686
2019,123,210
2020,123,115
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,-171
2016,124,418
2017,124,202
2018,124,119
2019,124,-458
2020,124,-4521
2008,125,
2009,125,
2010,125,
2011,125,
