Date,Id,reinvestment 
2020,50,1.7
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,
2016,52,
2017,52,
2018,52,2.31
2019,52,2.15
2020,52,
2008,53,1.92
2009,53,-25.42
2010,53,-1.21
2011,53,5.84
2012,53,-4.62
2013,53,-3.61
2014,53,2.06
2015,53,0.37
2016,53,1.5
2017,53,-1.23
2018,53,93.62
2019,53,3.42
2020,53,-1.01
2008,54,7.36
2009,54,-5.63
2010,54,0.36
2011,54,-0.3
2012,54,19.95
2013,54,3.06
2014,54,8.61
2015,54,5.48
2016,54,18.56
2017,54,4.25
2018,54,4.64
2019,54,12.29
2020,54,5.52
2008,55,10.35
2009,55,-9.71
2010,55,7.69
2011,55,11.71
2012,55,0.84
2013,55,9.94
2014,55,9.49
2015,55,9.64
2016,55,8.95
2017,55,8.99
2018,55,9.12
2019,55,8.42
2020,55,0.92
2008,56,9.25
2009,56,-12.87
2010,56,-7.48
2011,56,2.43
2012,56,6.47
2013,56,6.35
2014,56,6.83
2015,56,2.72
2016,56,5.2
2017,56,10.04
2018,56,12.34
2019,56,5.35
2020,56,-4.34
2008,57,20.96
2009,57,14.06
2010,57,13.31
2011,57,12.3
2012,57,9.55
2013,57,5.65
2014,57,5.11
2015,57,3.64
2016,57,0.98
2017,57,5.4
2018,57,8.53
2019,57,
2020,57,
2008,58,36.7
2009,58,31.12
2010,58,16.3
2011,58,-18.79
2012,58,7.35
2013,58,5.31
2014,58,2.25
2015,58,10.23
2016,58,11.3
2017,58,9.3
2018,58,1.32
2019,58,9.83
2020,58,1.98
2008,59,11.81
2009,59,6.69
2010,59,8.62
2011,59,9.69
2012,59,9.04
2013,59,5.75
2014,59,6.47
2015,59,6.46
2016,59,3.78
2017,59,5.54
2018,59,3.97
2019,59,3.13
2020,59,2.41
2008,60,3.47
2009,60,3.16
2010,60,3.69
2011,60,3.82
2012,60,-14.8
2013,60,-6.76
2014,60,3.45
2015,60,0.48
2016,60,-0.15
2017,60,3.31
2018,60,-9.2
2019,60,-1.43
2020,60,-10.18
2008,61,4.57
2009,61,-15.38
2010,61,11.31
2011,61,9.1
2012,61,0.79
2013,61,-12.52
2014,61,-0.35
2015,61,-7.4
2016,61,0.62
2017,61,2.65
2018,61,4.92
2019,61,9.53
2020,61,0.8
2008,62,2.86
2009,62,-11.83
2010,62,6.77
2011,62,6
2012,62,0.4
2013,62,-0.11
2014,62,2.23
2015,62,1.59
2016,62,-0.56
2017,62,2.5
2018,62,3.44
2019,62,1.47
2020,62,1.51
2008,63,-5.59
2009,63,-6.01
2010,63,-4.44
2011,63,-2.44
2012,63,-2.58
2013,63,-0.64
2014,63,-5.96
2015,63,2.63
2016,63,2.14
2017,63,5.79
2018,63,4.4
2019,63,4.53
2020,63,5.77
2008,64,4.47
2009,64,2.24
