Date,Id,dividend type
2015,56, YR 
2016,56, YR 
2017,56, YR 
2018,56, YR 
2019,56, YR 
2020,56,
2008,57,
2009,57, YR 
2010,57, YR 
2011,57, YR 
2012,57, YR 
2013,57, YR 
2014,57, YR 
2015,57, YR 
2016,57, YR 
2017,57, YR 
2018,57, YR 
2019,57,
2020,57,
2008,58,
2009,58, YR 
2010,58, YR 
2011,58, YR 
2012,58, YR 
2013,58, YR 
2014,58, YR 
2015,58, YR 
2016,58, YR 
2017,58, YR 
2018,58, YR 
2019,58, YR 
2020,58, YR 
2008,59,
2009,59, YR 
2010,59, YR 
2011,59, YR 
2012,59, YR 
2013,59, YR 
2014,59, YR 
2015,59, YR 
2016,59, YR 
2017,59, YR 
2018,59, YR 
2019,59, YR 
2020,59, YR 
2008,60,
2009,60, YR 
2010,60, YR 
2011,60, YR 
2012,60, YR 
2013,60,
2014,60,
2015,60,
2016,60,
2017,60, YR 
2018,60,
2019,60,
2020,60,
2008,61,
2009,61, YR 
2010,61,
2011,61, YR 
2012,61, YR 
2013,61,
2014,61,
2015,61,
2016,61,
2017,61, YR 
2018,61, YR 
2019,61, YR 
2020,61,
2008,62,
2009,62, YR 
2010,62, YR 
2011,62, YR 
2012,62, YR 
2013,62, YR 
2014,62, YR 
2015,62, YR 
2016,62, YR 
2017,62, YR 
2018,62, YR 
2019,62, YR 
2020,62,
2008,63,
2009,63,
2010,63,
2011,63,
2012,63,
2013,63,
2014,63,
2015,63,
2016,63,
2017,63,
2018,63, YR 
2019,63, YR 
2020,63, YR 
2008,64,
2009,64, YR 
2010,64, YR 
2011,64, YR 
2012,64, YR 
2013,64, YR 
2014,64,
2015,64,
2016,64,
2017,64,
2018,64,
2019,64,
2020,64, YR 
2008,65,
2009,65, YR 
2010,65, YR 
2011,65, YR 
2012,65, EXT
2013,65, YR 
2014,65, YR 
2015,65, YR 
2016,65, YR 
2017,65, YR 
2018,65, YR 
2019,65, YR 
2020,65,
2008,66,
2009,66,
2010,66,
2011,66,
2012,66,
2013,66, YR 
2014,66, YR 
2015,66, YR 
2016,66,
2017,66, YR 
2018,66, YR 
2019,66, YR 
2020,66,
2008,67,
2009,67,
2010,67,
2011,67,
2012,67, YR 
2013,67, YR 
2014,67, YR 
2015,67, YR 
2016,67, YR 
2017,67,
2018,67,
2019,67,
2020,67,
2008,68,
2009,68,
2010,68,
2011,68,
2012,68,
2013,68, YR 
2014,68, YR 
2015,68,
2016,68,
2017,68,
2018,68,
2019,68,
2020,68,
2008,69,
2009,69, SPL
2010,69, FIN
2011,69, YR 
2012,69, CMB
2013,69, YR 
2014,69, YR 
2015,69, YR 
2016,69, YR 
2017,69, YR 
2018,69, YR 
2019,69,
2020,69,
2008,70,
2009,70, YR 
2010,70, YR 
2011,70, YR 
2012,70, YR 
2013,70, YR 
2014,70, YR 
2015,70, YR 
2016,70, YR 
2017,70, YR 
2018,70, YR 
2019,70, YR 
2020,70, YR 
2008,71,
2009,71, INI
2010,71, YR 
2011,71, YR 
2012,71, YR 
2013,71, YR 
2014,71, YR 
2015,71, YR 
2016,71, YR 
2017,71, CMB
2018,71, YR 
2019,71, YR 
2020,71,
2008,72,
2009,72,
2010,72, YR 
2011,72, YR 
2012,72,
2013,72, YR 
2014,72, YR 
2015,72, YR 
2016,72, YR 
2017,72, YR 
2018,72, YR 
2019,72, YR 
2020,72, YR 
2008,73,
2009,73, YR 
2010,73,
2011,73, YR 
2012,73, YR 
2013,73, YR 
2014,73, YR 
2015,73, YR 
2016,73, YR 
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75, YR 
2015,75, YR 
2016,75, SPL
2017,75,
2018,75,
2019,75,
2020,75,
2008,76,
2009,76, INT
2010,76, INT
2011,76, INT
2012,76, INT
2013,76, INT
2014,76, FIN
2015,76, YR 
2016,76, YR 
2017,76, YR 
2018,76, FIN
2019,76, FIN
2020,76, FIN
2008,77,
2009,77, CMB
2010,77, YR 
2011,77, YR 
2012,77, YR 
2013,77, YR 
2014,77, YR 
2015,77, YR 
2016,77, YR 
2017,77, YR 
2018,77, YR 
2019,77, YR 
2020,77, YR 
2008,78,
2009,78, YR 
2010,78, YR 
2011,78, YR 
2012,78, YR 
2013,78, YR 
2014,78, YR 
2015,78, YR 
2016,78, YR 
2017,78, YR 
2018,78, YR 
2019,78, YR 
2020,78, YR 
2008,79,
2009,79,
2010,79, YR 
2011,79, YR 
2012,79, YR 
2013,79, YR 
2014,79, YR 
2015,79, YR 
2016,79, YR 
2017,79, YR 
2018,79, YR 
2019,79, YR 
2020,79, YR 
2008,80,
2009,80, FIN
2010,80, YR 
2011,80, YR 
2012,80,
2013,80, YR 
2014,80, YR 
2015,80, YR 
2016,80, YR 
2017,80, YR 
2018,80, YR 
2019,80, CMB
2020,80, YR 
2008,81,
2009,81, YR 
2010,81, YR 
2011,81,
2012,81,
2013,81, YR 
2014,81, YR 
2015,81,
2016,81,
2017,81,
2018,81,
2019,81,
2020,81,
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,
2015,82, YR 
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,
2009,83, YR 
2010,83, YR 
2011,83, YR 
2012,83, YR 
2013,83, YR 
2014,83, YR 
2015,83, YR 
2016,83, YR 
2017,83, YR 
2018,83, YR 
2019,83, YR 
2020,83, YR 
2008,84,
2009,84,
2010,84,
2011,84, YR 
2012,84, YR 
2013,84,
2014,84,
2015,84,
2016,84, YR 
2017,84, YR 
2018,84, YR 
2019,84, YR 
2020,84,
2008,85,
2009,85,
2010,85,
2011,85,
2012,85,
2013,85,
2014,85,
2015,85,
2016,85, YR 
2017,85, YR 
2018,85, YR 
2019,85, YR 
2020,85, YR 
2008,86,
2009,86,
2010,86,
2011,86, YR 
2012,86, YR 
2013,86,
2014,86,
2015,86,
2016,86, YR 
2017,86, YR 
2018,86, YR 
2019,86, YR 
2020,86,
2008,87,
2009,87,
2010,87,
2011,87,
2012,87,
2013,87,
2014,87,
2015,87,
2016,87,
2017,87,
2018,87,
2019,87,
2020,87,
2008,88,
2009,88,
2010,88,
2011,88,
2012,88,
2013,88,
2014,88,
2015,88,
2016,88,
2017,88,
2018,88,
2019,88,
2020,88,
2008,89,
2009,89,
2010,89,
2011,89,
2012,89,
2013,89,
2014,89,
2015,89,
2016,89,
2017,89,
2018,89,
2019,89,
2020,89,
2008,90,
2009,90,
2010,90,
2011,90,
2012,90,
2013,90,
2014,90,
2015,90,
2016,90,
2017,90,
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,
2014,91,
2015,91,
2016,91,
2017,91, YR 
2018,91, YR 
2019,91, YR 
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92, YR 
2015,92,
2016,92,
2017,92,
2018,92,
2019,92, YR 
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,
2009,95,
2010,95, YR 
2011,95, YR 
2012,95, YR 
2013,95, YR 
2014,95, YR 
2015,95, YR 
2016,95, YR 
2017,95, YR 
2018,95, YR 
2019,95, YR 
2020,95,
2008,96,
2009,96,
2010,96,
2011,96,
2012,96,
2013,96,
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,
2009,97,
2010,97,
2011,97,
2012,97,
2013,97,
2014,97,
2015,97,
2016,97,
2017,97,
2018,97,
2019,97,
2020,97,
2008,98,
2009,98, YR 
2010,98, YR 
2011,98, YR 
2012,98, YR 
2013,98, YR 
2014,98, YR 
2015,98, YR 
2016,98, YR 
2017,98, YR 
2018,98, SPL
2019,98, YR 
2020,98, YR 
2008,99,
2009,99,
2010,99, YR 
2011,99, YR 
2012,99, YR 
2013,99,
2014,99,
2015,99, YR 
2016,99,
2017,99, YR 
2018,99,
2019,99,
2020,99,
2008,100,
2009,100, YR 
2010,100, YR 
2011,100, YR 
2012,100, YR 
2013,100, YR 
2014,100, YR 
2015,100, YR 
2016,100, YR 
2017,100, YR 
2018,100, YR 
2019,100, YR 
2020,100, YR 
2008,101,
2009,101,
2010,101, YR 
2011,101,
2012,101,
2013,101,
2014,101, YR 
2015,101,
2016,101,
2017,101, YR 
2018,101,
2019,101,
2020,101,
2008,102,
2009,102, YR 
2010,102,
2011,102, YR 
2012,102,
2013,102, YR 
2014,102, YR 
2015,102, YR 
2016,102, YR 
2017,102,
2018,102,
2019,102,
2020,102,
2008,103,
2009,103,
2010,103,
2011,103,
2012,103,
2013,103,
2014,103,
2015,103,
2016,103,
2017,103,
2018,103,
2019,103,
2020,103,
2008,104,
2009,104, YR 
2010,104, YR 
2011,104, YR 
2012,104, YR 
2013,104, YR 
2014,104, YR 
2015,104, YR 
2016,104, YR 
2017,104, YR 
2018,104, YR 
2019,104, YR 
2020,104,
2008,105,
2009,105,
2010,105,
2011,105,
2012,105,
2013,105,
2014,105,
2015,105,
2016,105,
2017,105,
2018,105,
2019,105,
2020,105,
2008,106,
2009,106, YR 
2010,106, YR 
2011,106, YR 
2012,106, YR 
2013,106, YR 
2014,106, YR 
2015,106, YR 
2016,106, YR 
2017,106, YR 
2018,106, YR 
2019,106, YR 
2020,106,
2008,107,
2009,107,
2010,107,
2011,107,
2012,107,
2013,107,
2014,107,
2015,107,
2016,107,
2017,107,
2018,107,
2019,107,
2020,107, SPL
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,
2014,108,
2015,108, YR 
2016,108, YR 
2017,108, YR 
2018,108, YR 
2019,108, YR 
2020,108,
2008,109,
2009,109,
2010,109,
2011,109,
2012,109,
2013,109,
2014,109,
2015,109, YR 
2016,109, YR 
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,
2009,110,
2010,110,
2011,110,
2012,110,
2013,110,
2014,110,
2015,110,
2016,110,
2017,110,
2018,110,
2019,110,
2020,110,
2008,111,
2009,111,
2010,111,
2011,111,
2012,111,
2013,111,
2014,111,
2015,111,
