Date,Id,employees
2014,49,
2015,49,
2016,49,
2017,49,
2018,49,
2019,49,
2020,49,
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,10
2013,50,10
2014,50,11
2015,50,11
2016,50,11
2017,50,
2018,50,12
2019,50,13
2020,50,14
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,23
2015,52,42
2016,52,56
2017,52,63
2018,52,97
2019,52,106
2020,52,
2008,53,1354
2009,53,1021
2010,53,1061
2011,53,1011
2012,53,1012
2013,53,902
2014,53,913
2015,53,962
2016,53,1081
2017,53,1073
2018,53,933
2019,53,987
2020,53,995
2008,54,876
2009,54,874
2010,54,969
2011,54,1139
2012,54,812
2013,54,859
2014,54,951
2015,54,965
2016,54,1093
2017,54,1212
2018,54,1368
2019,54,1498
2020,54,1626
2008,55,2219
2009,55,1982
2010,55,2019
2011,55,2427
2012,55,2384
2013,55,2364
2014,55,2470
2015,55,2567
2016,55,2696
2017,55,2912
2018,55,3157
2019,55,3074
2020,55,2826
2008,56,1663
2009,56,1463
2010,56,1353
2011,56,1442
2012,56,1521
2013,56,1530
2014,56,1579
2015,56,1643
2016,56,1664
2017,56,1781
2018,56,1871
2019,56,1781
2020,56,1735
2008,57,755
2009,57,742
2010,57,744
2011,57,235
2012,57,1267
2013,57,1297
2014,57,1289
2015,57,1510
2016,57,1575
2017,57,1581
2018,57,2251
2019,57,
2020,57,
2008,58,12372
2009,58,11852
2010,58,12361
2011,58,21547
2012,58,19896
2013,58,19374
2014,58,19436
2015,58,19316
2016,58,20493
2017,58,21050
2018,58,29159
2019,58,28714
2020,58,28321
2008,59,545
2009,59,533
2010,59,548
2011,59,591
2012,59,606
2013,59,612
2014,59,618
2015,59,626
2016,59,672
2017,59,689
2018,59,743
2019,59,744
2020,59,753
2008,60,1850
2009,60,1737
2010,60,1663
2011,60,1655
2012,60,1678
2013,60,1503
2014,60,1441
2015,60,1405
2016,60,1387
2017,60,1403
2018,60,1436
2019,60,1185
2020,60,1160
2008,61,894
2009,61,878
2010,61,832
2011,61,873
2012,61,877
2013,61,897
2014,61,848
2015,61,809
2016,61,730
2017,61,730
2018,61,771
2019,61,829
2020,61,787
2008,62,778
2009,62,754
2010,62,791
2011,62,770
2012,62,787
2013,62,777
2014,62,748
2015,62,740
2016,62,733
2017,62,724
2018,62,723
2019,62,704
2020,62,717
2008,63,43
2009,63,52
2010,63,53
2011,63,50
2012,63,50
2013,63,60
2014,63,71
2015,63,77
2016,63,74
2017,63,79
2018,63,91
2019,63,93
2020,63,642
2008,64,77825
2009,64,71384
2010,64,84200
2011,64,84154
2012,64,83184
2013,64,59507
2014,64,66025
2015,64,65864
2016,64,61225
2017,64,59429
2018,64,57901
2019,64,55198
2020,64,52347
2008,65,1012
2009,65,996
2010,65,984
2011,65,989
2012,65,986
2013,65,1034
2014,65,833
2015,65,803
2016,65,845
2017,65,816
2018,65,828
2019,65,823
2020,65,770
2008,66,
2009,66,
2010,66,
2011,66,2021
2012,66,2038
2013,66,2049
2014,66,2168
2015,66,2275
2016,66,2410
2017,66,2706
2018,66,2799
2019,66,3075
2020,66,2873
2008,67,279
2009,67,268
2010,67,285
2011,67,284
2012,67,276
2013,67,256
2014,67,260
2015,67,269
2016,67,437
2017,67,445
2018,67,413
2019,67,402
2020,67,383
2008,68,309
2009,68,169
2010,68,92
2011,68,99
2012,68,125
2013,68,105
2014,68,
2015,68,
2016,68,
2017,68,
2018,68,
2019,68,
2020,68,
2008,69,14168
2009,69,13788
2010,69,13930
2011,69,13932
2012,69,15645
2013,69,16352
2014,69,16472
2015,69,27596
2016,69,26180
2017,69,26234
2018,69,
2019,69,
2020,69,
2008,70,82
2009,70,84
2010,70,89
2011,70,95
2012,70,105
2013,70,109
2014,70,112
2015,70,113
2016,70,119
2017,70,123
2018,70,126
2019,70,122
2020,70,123
2008,71,126
2009,71,
2010,71,
2011,71,150
2012,71,152
2013,71,167
2014,71,187
2015,71,211
2016,71,200
2017,71,199
2018,71,226
2019,71,233
2020,71,220
2008,72,403
2009,72,419
2010,72,394
2011,72,415
2012,72,453
2013,72,485
2014,72,752
2015,72,755
2016,72,740
2017,72,746
2018,72,754
2019,72,794
2020,72,820
2008,73,46
2009,73,46
2010,73,44
2011,73,39
2012,73,40
2013,73,40
2014,73,40
2015,73,38
2016,73,38
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,
2015,75,
2016,75,
2017,75,
2018,75,
2019,75,
2020,75,
2008,76,2345
2009,76,6187
2010,76,6104
2011,76,6187
2012,76,6067
2013,76,6034
2014,76,6072
2015,76,6303
2016,76,2883
2017,76,2919
2018,76,3016
2019,76,3025
2020,76,3249
2008,77,2610
2009,77,2571
2010,77,4752
2011,77,4622
2012,77,4567
2013,77,4696
2014,77,4524
2015,77,6132
2016,77,6226
2017,77,6285
2018,77,7042
2019,77,8102
2020,77,8680
2008,78,6391
2009,78,6729
2010,78,6491
2011,78,6484
2012,78,6539
2013,78,8219
2014,78,8419
2015,78,8426
2016,78,8374
2017,78,8683
2018,78,8622
2019,78,8982
2020,78,9011
2008,79,287
2009,79,426
2010,79,438
2011,79,469
2012,79,446
2013,79,463
2014,79,462
2015,79,433
2016,79,393
2017,79,396
2018,79,865
2019,79,902
2020,79,878
2008,80,442
2009,80,421
2010,80,457
2011,80,520
2012,80,534
2013,80,619
2014,80,610
2015,80,615
2016,80,618
2017,80,671
2018,80,678
2019,80,481
2020,80,465
2008,81,2961
2009,81,3923
2010,81,3939
2011,81,3764
2012,81,3248
2013,81,3240
2014,81,3101
2015,81,3066
2016,81,4949
2017,81,5144
2018,81,5372
2019,81,4682
2020,81,4686
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,49
2013,82,81
2014,82,104
2015,82,143
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,1395
2009,83,1393
2010,83,1435
2011,83,1819
2012,83,1833
2013,83,1835
2014,83,1835
2015,83,1341
2016,83,1388
2017,83,1498
2018,83,1713
2019,83,1734
2020,83,1691
2008,84,12996
2009,84,12685
2010,84,12911
2011,84,13529
2012,84,13944
2013,84,14114
2014,84,13848
2015,84,14215
2016,84,14329
2017,84,15839
2018,84,16365
2019,84,18648
2020,84,17668
2008,85,1716
2009,85,1618
2010,85,1595
2011,85,1502
2012,85,1430
2013,85,1405
2014,85,1169
2015,85,1166
2016,85,1536
2017,85,1487
2018,85,1744
2019,85,1766
2020,85,1729
2008,86,12996
2009,86,12685
2010,86,12911
2011,86,13529
2012,86,13944
2013,86,14114
2014,86,13848
2015,86,14215
2016,86,14329
2017,86,15839
2018,86,16365
2019,86,18648
2020,86,17668
2008,87,328
2009,87,303
2010,87,272
2011,87,280
2012,87,240
2013,87,
2014,87,
2015,87,
2016,87,
2017,87,
2018,87,
2019,87,184
2020,87,
2008,88,45
2009,88,35
2010,88,32
2011,88,32
2012,88,26
2013,88,26
2014,88,
2015,88,
2016,88,
2017,88,
2018,88,
2019,88,
2020,88,
2008,89,512
2009,89,649
2010,89,619
2011,89,574
2012,89,573
2013,89,567
2014,89,584
2015,89,592
2016,89,605
2017,89,620
2018,89,670
2019,89,
2020,89,
2008,90,219
2009,90,287
2010,90,372
2011,90,469
2012,90,594
2013,90,714
2014,90,885
2015,90,3901
2016,90,4128
2017,90,4703
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,137
2013,91,168
2014,91,178
2015,91,175
2016,91,153
2017,91,188
2018,91,466
2019,91,435
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,
2015,92,
2016,92,
2017,92,
2018,92,
2019,92,
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,3994
2009,95,4129
2010,95,4970
2011,95,5005
2012,95,5253
2013,95,5193
2014,95,5606
2015,95,6333
2016,95,7204
2017,95,8132
2018,95,10765
2019,95,11003
2020,95,11265
2008,96,1592
2009,96,1174
2010,96,931
2011,96,877
2012,96,447
2013,96,139
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,1115
2009,97,960
2010,97,886
2011,97,723
2012,97,568
2013,97,948
2014,97,
2015,97,
2016,97,
2017,97,
2018,97,1015
2019,97,1023
2020,97,876
2008,98,1081
2009,98,1196
2010,98,1451
2011,98,1541
2012,98,1553
2013,98,1606
2014,98,1620
2015,98,1655
2016,98,1841
2017,98,1881
2018,98,1971
2019,98,1939
2020,98,2066
2008,99,1369
2009,99,1608
2010,99,1948
2011,99,2052
2012,99,2288
2013,99,2336
2014,99,2369
2015,99,2475
2016,99,1999
2017,99,2082
2018,99,
2019,99,
2020,99,
2008,100,6738
2009,100,6855
2010,100,7083
2011,100,7368
2012,100,5694
2013,100,5871
2014,100,6710
2015,100,6436
2016,100,7286
2017,100,8197
2018,100,8409
2019,100,7850
2020,100,9134
2008,101,205
2009,101,193
2010,101,192
2011,101,189
2012,101,168
2013,101,161
2014,101,160
2015,101,
2016,101,
2017,101,157
2018,101,162
2019,101,157
2020,101,149
2008,102,2432
2009,102,2338
2010,102,2800
2011,102,2966
2012,102,3033
2013,102,3244
2014,102,3499
2015,102,3729
2016,102,3663
2017,102,3796
2018,102,3823
2019,102,3670
2020,102,3922
2008,103,813
2009,103,857
2010,103,910
2011,103,1015
2012,103,944
2013,103,1017
2014,103,
2015,103,
2016,103,
2017,103,
2018,103,1361
2019,103,
2020,103,
2008,104,689
2009,104,570
2010,104,542
2011,104,685
2012,104,765
2013,104,693
2014,104,795
2015,104,656
2016,104,687
2017,104,761
2018,104,805
2019,104,1168
2020,104,1108
2008,105,133
2009,105,129
2010,105,125
2011,105,121
2012,105,122
2013,105,121
2014,105,
2015,105,
2016,105,
2017,105,
2018,105,
2019,105,
2020,105,
2008,106,1049
2009,106,908
2010,106,916
2011,106,1576
2012,106,1576
2013,106,1576
2014,106,1574
2015,106,1693
2016,106,1686
2017,106,2029
2018,106,1999
2019,106,1988
2020,106,2136
2008,107,2170
2009,107,1930
2010,107,1344
2011,107,1237
2012,107,1230
2013,107,1220
2014,107,1092
2015,107,677
2016,107,613
2017,107,580
2018,107,531
2019,107,525
2020,107,686
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,0
2014,108,1
2015,108,6036
2016,108,7789
2017,108,8439
2018,108,9560
2019,108,10067
2020,108,8070
2008,109,
2009,109,
2010,109,
2011,109,113
2012,109,137
2013,109,230
2014,109,282
2015,109,363
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,51
2009,110,34
2010,110,36
2011,110,9
2012,110,
2013,110,84
2014,110,
2015,110,
2016,110,
2017,110,
2018,110,
2019,110,
2020,110,
2008,111,304
2009,111,269
2010,111,13
2011,111,13
2012,111,11
2013,111,8
2014,111,9
2015,111,
2016,111,
2017,111,
2018,111,
2019,111,
2020,111,
2008,112,3048
2009,112,3135
2010,112,3129
2011,112,3529
2012,112,3561
2013,112,3885
2014,112,3799
2015,112,4781
2016,112,5249
2017,112,5613
2018,112,5623
2019,112,6159
2020,112,
2008,113,2491
2009,113,2341
2010,113,2332
2011,113,2512
2012,113,2753
2013,113,2714
2014,113,2942
2015,113,3324
2016,113,3799
2017,113,4042
2018,113,4451
2019,113,4133
2020,113,4024
2008,114,368
2009,114,365
2010,114,353
2011,114,343
2012,114,341
2013,114,323
2014,114,320
2015,114,341
2016,114,341
2017,114,332
2018,114,336
2019,114,313
2020,114,
2008,115,769
2009,115,618
2010,115,608
2011,115,610
2012,115,735
2013,115,752
2014,115,737
2015,115,818
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,683
2009,116,670
2010,116,690
2011,116,713
2012,116,738
2013,116,785
2014,116,599
2015,116,584
2016,116,755
2017,116,760
2018,116,798
2019,116,1035
2020,116,1168
2008,117,346
2009,117,328
2010,117,346
2011,117,359
2012,117,400
2013,117,447
2014,117,496
2015,117,569
2016,117,659
2017,117,784
2018,117,832
2019,117,925
2020,117,878
2008,118,4205
2009,118,3612
2010,118,4014
2011,118,4430
