Date,Id,bvs
2009,54,4.756
2010,54,4.962
2011,54,4.992
2012,54,5.86
2013,54,6.676
2014,54,7.408
2015,54,8.834
2016,54,9.423
2017,54,9.862
2018,54,10.398
2019,54,11.5
2020,54,11.494
2008,55,2.435
2009,55,2.106
2010,55,2.557
2011,55,3.014
2012,55,3.034
2013,55,3.247
2014,55,4.142
2015,55,5.127
2016,55,5.786
2017,55,6.063
2018,55,6.53
2019,55,7.021
2020,55,6.495
2008,56,10.989
2009,56,10.153
2010,56,8.824
2011,56,9.273
2012,56,9.713
2013,56,10.014
2014,56,11.405
2015,56,12.374
2016,56,13.139
2017,56,14.086
2018,56,16.029
2019,56,16.563
2020,56,15.373
2008,57,1.15
2009,57,1.333
2010,57,1.53
2011,57,1.711
2012,57,1.863
2013,57,1.762
2014,57,1.842
2015,57,1.849
2016,57,1.983
2017,57,1.988
2018,57,2.001
2019,57,
2020,57,
2008,58,2.434
2009,58,3.673
2010,58,4.083
2011,58,4.766
2012,58,5.084
2013,58,5.242
2014,58,5.198
2015,58,5.773
2016,58,6.539
2017,58,6.814
2018,58,8.584
2019,58,9.174
2020,58,8.577
2008,59,4.204
2009,59,4.47
2010,59,5.044
2011,59,5.478
2012,59,6.003
2013,59,6.441
2014,59,7.053
2015,59,7.716
2016,59,8.127
2017,59,8.559
2018,59,9.143
2019,59,9.595
2020,59,9.771
2008,60,0.554
2009,60,0.712
2010,60,0.753
2011,60,0.77
2012,60,0.582
2013,60,0.486
2014,60,0.512
2015,60,0.521
2016,60,0.533
2017,60,0.531
2018,60,0.472
2019,60,0.467
2020,60,0.415
2008,61,4.791
2009,61,4.004
2010,61,4.841
2011,61,5.389
2012,61,5.085
2013,61,4.431
2014,61,4.643
2015,61,4.442
2016,61,4.721
2017,61,4.933
2018,61,5.066
2019,61,5.221
2020,61,5.439
2008,62,5.134
2009,62,4.889
2010,62,5.394
2011,62,5.601
2012,62,5.409
2013,62,5.065
2014,62,5.245
2015,62,4.886
2016,62,5.127
2017,62,4.969
2018,62,4.948
2019,62,4.958
2020,62,4.625
2008,63,0.992
2009,63,0.935
2010,63,0.894
2011,63,0.872
2012,63,0.848
2013,63,0.834
2014,63,0.785
2015,63,0.806
2016,63,0.824
2017,63,0.892
2018,63,1.019
2019,63,1.038
2020,63,1.115
2008,64,1.343
2009,64,1.349
2010,64,1.495
2011,64,1.182
2012,64,1.005
2013,64,0.885
2014,64,0.938
2015,64,0.909
2016,64,1.007
2017,64,1.023
2018,64,0.927
2019,64,0.963
2020,64,1.237
2008,65,2.742
2009,65,2.89
2010,65,3.116
2011,65,3.361
2012,65,3.477
2013,65,3.692
2014,65,3.822
2015,65,4.086
2016,65,4.293
2017,65,4.581
2018,65,4.874
2019,65,5.108
2020,65,5.082
2008,66,
2009,66,
2010,66,-0.001
2011,66,2.79
2012,66,7.683
2013,66,7.752
2014,66,7.471
2015,66,6.838
2016,66,7.207
2017,66,7.999
2018,66,8.348
2019,66,8.544
2020,66,8.123
2008,67,3.939
2009,67,4.018
2010,67,4.17
2011,67,4.065
2012,67,3.937
2013,67,4.072
2014,67,4.046
2015,67,4.081
2016,67,4.539
2017,67,4.507
2018,67,4.552
2019,67,4.076
2020,67,4.363
2008,68,798382.143
2009,68,-272910.714
2010,68,-548410.714
2011,68,4.949
2012,68,5.012
2013,68,5.344
2014,68,4.429
2015,68,3.418
2016,68,3.284
2017,68,1.841
2018,68,1.01
2019,68,-1.477
2020,68,-1.015
2008,69,1.67
2009,69,1.887
2010,69,2.023
2011,69,2.1
2012,69,1.73
2013,69,1.683
2014,69,1.76
2015,69,1.625
2016,69,1.786
2017,69,1.729
2018,69,
2019,69,
2020,69,
2008,70,1.843
2009,70,2.056
2010,70,2.288
2011,70,2.312
2012,70,2.583
2013,70,3.409
2014,70,4.237
2015,70,5.114
2016,70,5.357
2017,70,5.666
2018,70,6.345
2019,70,6.631
2020,70,7.023
2008,71,0.891
2009,71,0.926
2010,71,0.971
2011,71,1.015
2012,71,1.025
2013,71,1.119
2014,71,1.189
2015,71,1.149
2016,71,1.251
2017,71,1.333
2018,71,1.456
2019,71,1.391
2020,71,1.28
2008,72,3.356
2009,72,3.354
2010,72,3.828
2011,72,3.88
2012,72,4.483
2013,72,4.654
2014,72,5.29
2015,72,6.4
2016,72,6.734
2017,72,7.32
2018,72,7.815
2019,72,8.24
2020,72,9.534
2008,73,18.462
2009,73,18.293
2010,73,18.356
2011,73,18.472
2012,73,18.347
2013,73,18.386
2014,73,18.355
2015,73,19.655
2016,73,19.849
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,0.79
2015,75,-0.443
2016,75,-0.696
2017,75,-1.289
2018,75,-1.324
2019,75,-2.621
2020,75,-2.132
2008,76,1.615
2009,76,1.689
2010,76,1.752
2011,76,1.714
2012,76,1.755
2013,76,1.773
2014,76,2.049
2015,76,2.167
2016,76,1.872
2017,76,1.812
2018,76,1.813
2019,76,1.9
2020,76,1.978
2008,77,1.593
2009,77,1.504
2010,77,1.451
2011,77,1.278
2012,77,1.363
2013,77,1.389
2014,77,1.382
2015,77,1.429
2016,77,1.534
2017,77,1.663
2018,77,1.68
2019,77,1.764
2020,77,1.861
2008,78,1.462
2009,78,1.459
2010,78,1.538
2011,78,1.552
2012,78,1.571
2013,78,1.531
2014,78,1.572
2015,78,1.599
2016,78,1.646
2017,78,1.726
2018,78,1.815
2019,78,1.903
2020,78,2.027
2008,79,1.717
2009,79,1.802
2010,79,1.901
2011,79,1.88
2012,79,1.927
2013,79,1.984
2014,79,2.004
2015,79,2.117
2016,79,2.224
2017,79,2.304
2018,79,2.422
2019,79,2.426
2020,79,2.438
2008,80,1.555
2009,80,1.622
2010,80,1.665
2011,80,1.599
2012,80,1.725
2013,80,1.789
2014,80,1.824
2015,80,1.868
2016,80,1.97
2017,80,2.004
2018,80,1.992
2019,80,3.9
2020,80,3.941
2008,81,1.495
2009,81,1.526
2010,81,1.5
2011,81,1.321
2012,81,1.333
2013,81,1.347
2014,81,1.252
2015,81,1.028
2016,81,1.107
2017,81,1.1
2018,81,1.095
2019,81,0.991
2020,81,0.995
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,1.362
2013,82,2.752
2014,82,6.537
2015,82,2.398
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,1.031
2009,83,1.078
2010,83,1.248
2011,83,1.367
2012,83,1.492
2013,83,1.497
2014,83,1.545
2015,83,1.682
2016,83,1.796
2017,83,2.032
2018,83,2.282
2019,83,2.531
2020,83,2.623
2008,84,0.896
2009,84,0.979
2010,84,1.039
2011,84,1.009
2012,84,0.911
2013,84,0.745
2014,84,0.735
2015,84,0.789
2016,84,0.783
2017,84,0.749
2018,84,0.742
2019,84,0.625
2020,84,0.617
2008,85,0.425
2009,85,0.408
2010,85,0.412
2011,85,0.404
2012,85,0.36
2013,85,0.369
2014,85,0.374
2015,85,0.402
2016,85,0.411
2017,85,0.448
2018,85,0.519
2019,85,0.547
2020,85,0.623
2008,86,0.896
2009,86,0.979
2010,86,1.039
2011,86,1.009
2012,86,0.911
2013,86,0.745
2014,86,0.735
2015,86,0.789
2016,86,0.783
2017,86,0.749
2018,86,0.742
2019,86,0.625
2020,86,0.617
2008,87,15.874
2009,87,11.431
2010,87,8.485
2011,87,2.3
2012,87,-11.411
2013,87,-14.477
2014,87,-24.049
2015,87,-28.879
2016,87,0.044
2017,87,0.031
2018,87,-0.016
2019,87,-0.025
2020,87,
2008,88,0.095
2009,88,0.103
2010,88,0.092
2011,88,0.05
2012,88,0.014
2013,88,0.003
2014,88,0.002
2015,88,0.001
2016,88,0.011
2017,88,0.008
2018,88,0.003
2019,88,
2020,88,
2008,89,1.894
2009,89,1.628
2010,89,1.397
2011,89,1.217
2012,89,1.081
2013,89,0.968
2014,89,0.83
2015,89,0.801
2016,89,0.865
2017,89,0.81
2018,89,0.729
2019,89,
2020,89,
2008,90,0.338
2009,90,1.073
2010,90,1.311
2011,90,1.503
2012,90,1.776
2013,90,2.041
2014,90,2.556
2015,90,15.652
2016,90,14.478
2017,90,14.288
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,24.83
2013,91,27.216
2014,91,22.078
2015,91,18.399
2016,91,21.802
2017,91,27.042
2018,91,38.256
2019,91,32.582
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,1.763
2015,92,1.558
2016,92,1.153
2017,92,0.435
2018,92,
2019,92,-0.514
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,0.959
2009,95,1.142
2010,95,1.613
2011,95,1.824
2012,95,1.984
2013,95,1.76
2014,95,2.036
2015,95,2.278
2016,95,2.542
2017,95,2.601
2018,95,2.628
2019,95,3.115
2020,95,3.563
2008,96,0.385
2009,96,0.256
2010,96,0.221
2011,96,-0.039
2012,96,-0.111
2013,96,-0.122
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,69.514
2009,97,68.446
2010,97,47.373
2011,97,-7.27
2012,97,1.344
2013,97,1.531
2014,97,1.541
2015,97,1.638
2016,97,1.352
2017,97,1.258
2018,97,1.302
2019,97,1.328
2020,97,1.242
2008,98,2.803
2009,98,3.961
2010,98,5.673
2011,98,6.485
2012,98,6.768
2013,98,7.61
2014,98,8.882
2015,98,10.674
2016,98,12.104
2017,98,13.383
2018,98,12.894
2019,98,15.488
2020,98,17.446
2008,99,12.014
2009,99,1.379
2010,99,1.519
2011,99,1.497
2012,99,1.46
2013,99,1.154
2014,99,1.184
2015,99,1.233
2016,99,1.285
2017,99,0.715
2018,99,
2019,99,
2020,99,
2008,100,4.414
2009,100,4.594
2010,100,5.076
2011,100,5.746
2012,100,4.226
2013,100,4.464
