Date,Id,Other_Investments
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,64
2015,75,64
2016,75,118
2017,75,164
2018,75,4
2019,75,0
2020,75,0
2008,76,0
2009,76,4000
2010,76,16000
2011,76,0
2012,76,0
2013,76,14000
2014,76,20000
2015,76,19000
2016,76,30000
2017,76,57000
2018,76,53000
2019,76,54000
2020,76,434000
2008,77,37526
2009,77,37617
2010,77,301100
2011,77,172467
2012,77,31719
2013,77,91000
2014,77,98683
2015,77,84981
2016,77,70604
2017,77,186030
2018,77,167910
2019,77,158457
2020,77,173306
2008,78,30292
2009,78,31315
2010,78,73774
2011,78,114262
2012,78,122107
2013,78,93199
2014,78,190442
2015,78,237000
2016,78,222500
2017,78,193900
2018,78,166300
2019,78,178800
2020,78,157500
2008,79,7089
2009,79,1483
2010,79,1300
2011,79,1218
2012,79,479
2013,79,2021
2014,79,1759
2015,79,1782
2016,79,1593
2017,79,1448
2018,79,1555
2019,79,1543
2020,79,1504
2008,80,374
2009,80,782
2010,80,1
2011,80,1
2012,80,1
2013,80,916
2014,80,3124
2015,80,0
2016,80,485
2017,80,0
2018,80,1122
2019,80,2478
2020,80,2226
2008,81,262000
2009,81,316000
2010,81,304000
2011,81,208000
2012,81,203000
2013,81,189000
2014,81,227000
2015,81,429000
2016,81,458000
2017,81,230000
2018,81,239000
2019,81,168000
2020,81,281000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,600
2013,82,1806
2014,82,853
2015,82,858
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,355
2009,83,311
2010,83,291
2011,83,193
2012,83,180
2013,83,391
2014,83,386
2015,83,386
2016,83,387
2017,83,387
2018,83,391
2019,83,389
2020,83,389
2008,84,113681
2009,84,111645
2010,84,130555
2011,84,166113
2012,84,150423
2013,84,116629
2014,84,132018
2015,84,108299
2016,84,105153
2017,84,98945
2018,84,94146
2019,84,84347
2020,84,79916
2008,85,320
2009,85,193
2010,85,191
2011,85,195
2012,85,191
2013,85,0
2014,85,0
2015,85,0
2016,85,0
2017,85,0
2018,85,0
2019,85,0
2020,85,0
2008,86,113681
2009,86,111645
2010,86,130555
2011,86,166113
2012,86,150423
2013,86,116629
2014,86,132018
2015,86,108299
2016,86,105153
2017,86,98945
2018,86,94146
2019,86,84347
2020,86,79916
2008,87,0
2009,87,2
2010,87,6
2011,87,6
2012,87,332
2013,87,408
2014,87,0
2015,87,0
2016,87,449
2017,87,381
2018,87,311
2019,87,716
2020,87,
2008,88,190
2009,88,158
2010,88,79
2011,88,86
2012,88,2765
2013,88,1621
2014,88,1629
2015,88,1709
2016,88,1477
2017,88,1305
2018,88,727
2019,88,
2020,88,
2008,89,169
2009,89,169
2010,89,167
2011,89,167
2012,89,167
2013,89,167
2014,89,167
2015,89,167
2016,89,207
2017,89,207
2018,89,207
2019,89,
2020,89,
2008,90,0
2009,90,0
2010,90,17
2011,90,0
2012,90,716
2013,90,910
2014,90,999
2015,90,3100
2016,90,2837
2017,90,2730
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,0
2013,91,0
2014,91,0
2015,91,1347
2016,91,979
2017,91,1345
2018,91,1221
2019,91,2768
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,0
2015,92,0
2016,92,0
2017,92,0
2018,92,
2019,92,0
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,12677
2009,95,14059
2010,95,27358
