Date,Id,treasury
2008,71,
2009,71,
2010,71,
2011,71,
2012,71,
2013,71,0
2014,71,0
2015,71,0
2016,71,0
2017,71,0
2018,71,0
2019,71,0
2020,71,0
2008,72,
2009,72,
2010,72,
2011,72,
2012,72,3236
2013,72,1590
2014,72,390
2015,72,0
2016,72,0
2017,72,0
2018,72,120
2019,72,113
2020,72,437
2008,73,0
2009,73,0
2010,73,0
2011,73,0
2012,73,0
2013,73,0
2014,73,0
2015,73,0
2016,73,0
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,1549
2015,75,1549
2016,75,1549
2017,75,1549
2018,75,1549
2019,75,1549
2020,75,1235
2008,76,245532
2009,76,194886
2010,76,194185
2011,76,192553
2012,76,2907
2013,76,1673
2014,76,1127
2015,76,1127
2016,76,29905
2017,76,85916
2018,76,168198
2019,76,102413
2020,76,90642
2008,77,0
2009,77,0
2010,77,0
2011,77,0
2012,77,0
2013,77,0
2014,77,0
2015,77,0
2016,77,0
2017,77,0
2018,77,0
2019,77,3951
2020,77,15868
2008,78,2329
2009,78,2929
2010,78,6014
2011,78,9796
2012,78,13986
2013,78,9879
2014,78,19163
2015,78,14945
2016,78,20752
2017,78,15296
2018,78,23584
2019,78,14075
2020,78,28891
2008,79,
2009,79,0
2010,79,0
2011,79,0
2012,79,0
2013,79,0
2014,79,0
2015,79,0
2016,79,0
2017,79,0
2018,79,0
2019,79,0
2020,79,0
2008,80,3526
2009,80,7962
2010,80,8844
2011,80,10658
2012,80,11816
2013,80,12092
2014,80,12195
2015,80,12101
2016,80,12101
2017,80,12101
2018,80,11728
2019,80,10456
2020,80,17767
2008,81,0
2009,81,0
2010,81,0
2011,81,0
2012,81,0
2013,81,0
2014,81,0
2015,81,0
2016,81,0
2017,81,0
2018,81,0
2019,81,0
2020,81,0
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,0
2013,82,0
2014,82,0
2015,82,0
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,1116
2009,83,1421
2010,83,1421
2011,83,1421
2012,83,1381
2013,83,1421
2014,83,1421
2015,83,1421
2016,83,1421
2017,83,629
2018,83,309
2019,83,309
2020,83,309
2008,84,0
2009,84,0
2010,84,0
2011,84,0
2012,84,0
2013,84,0
2014,84,0
2015,84,0
2016,84,0
2017,84,19189
2018,84,24164
2019,84,27215
2020,84,26957
2008,85,0
2009,85,0
2010,85,0
2011,85,0
2012,85,0
2013,85,0
2014,85,0
2015,85,0
2016,85,582
2017,85,1435
2018,85,2263
2019,85,2263
2020,85,2070
2008,86,0
2009,86,0
2010,86,0
2011,86,0
2012,86,0
2013,86,0
2014,86,0
2015,86,0
2016,86,0
2017,86,19189
2018,86,24164
2019,86,27215
2020,86,26957
2008,87,
2009,87,32
2010,87,32
2011,87,32
2012,87,32
2013,87,32
2014,87,32
2015,87,32
2016,87,0
2017,87,0
2018,87,0
2019,87,0
2020,87,
2008,88,
2009,88,0
2010,88,0
2011,88,0
2012,88,0
2013,88,0
2014,88,0
2015,88,0
2016,88,0
2017,88,0
2018,88,0
2019,88,
2020,88,
2008,89,1171
2009,89,3754
2010,89,5620
2011,89,5618
2012,89,5567
2013,89,5556
2014,89,5556
2015,89,5556
2016,89,5556
2017,89,5556
2018,89,5556
2019,89,
2020,89,
2008,90,
2009,90,
2010,90,62
2011,90,162
2012,90,126
2013,90,52
2014,90,27
2015,90,17
2016,90,17
2017,90,17
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,0
2013,91,0
2014,91,0
2015,91,0
2016,91,0
2017,91,0
2018,91,0
2019,91,0
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,0
2015,92,0
2016,92,0
2017,92,0
2018,92,
2019,92,0
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
