Date,Id,se
2009,65,190219
2010,65,205068
2011,65,221228
2012,65,228858
2013,65,243015
2014,65,254280
2015,65,271830
2016,65,285565
2017,65,304726
2018,65,324272
2019,65,339798
2020,65,338112
2008,66,
2009,66,
2010,66,-21
2011,66,52315
2012,66,293889
2013,66,298589
2014,66,287392
2015,66,266586
2016,66,280982
2017,66,294527
2018,66,307387
2019,66,316618
2020,66,301018
2008,67,39390
2009,67,40180
2010,67,41704
2011,67,40654
2012,67,39367
2013,67,40723
2014,67,40464
2015,67,40810
2016,67,63542
2017,67,63097
2018,67,63721
2019,67,57070
2020,67,61086
2008,68,19685
2009,68,-6727
2010,68,-13724
2011,68,17816
2012,68,18045
2013,68,19237
2014,68,15946
2015,68,12304
2016,68,11823
2017,68,7531
2018,68,5050
2019,68,-8407
2020,68,-11583
2008,69,2817200
2009,69,3232300
2010,69,3505300
2011,69,3686300
2012,69,3043900
2013,69,3066200
2014,69,3219800
2015,69,3011000
2016,69,3308800
2017,69,3203300
2018,69,
2019,69,
2020,69,
2008,70,19272
2009,70,21501
2010,70,23926
2011,70,24171
2012,70,27009
2013,70,35645
2014,70,44301
2015,70,53475
2016,70,56868
2017,70,60143
2018,70,67355
2019,70,70677
2020,70,75012
2008,71,15858
2009,71,16487
2010,71,17290
2011,71,18074
2012,71,18253
2013,71,19915
2014,71,21160
2015,71,20444
2016,71,22265
2017,71,23722
2018,71,25919
2019,71,24764
2020,71,22779
2008,72,84984
2009,72,96781
2010,72,105685
2011,72,105701
2012,72,113964
2013,72,129461
2014,72,159856
2015,72,198403
2016,72,208759
2017,72,226919
2018,72,241320
2019,72,253507
2020,72,291384
2008,73,116430
2009,73,115362
2010,73,115763
2011,73,116497
2012,73,115707
2013,73,115953
2014,73,115755
2015,73,154784
2016,73,156311
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,3192
2015,75,-1788
2016,75,-2810
2017,75,-5207
2018,75,-5683
2019,75,-11251
2020,75,-13562
2008,76,3573000
2009,76,5702000
2010,76,5915000
2011,76,5791000
2012,76,5929000
2013,76,5993000
2014,76,7171000
2015,76,7585000
2016,76,6497000
2017,76,6188000
2018,76,5985000
2019,76,6255000
2020,76,6469000
2008,77,1325708
2009,77,1251384
2010,77,1852030
2011,77,1631331
2012,77,1739855
2013,77,1772501
2014,77,1763219
2015,77,1823863
2016,77,1957786
2017,77,2122130
2018,77,2185443
2019,77,2287773
2020,77,2391314
2008,78,1525233
2009,78,1642606
2010,78,1727503
2011,78,1736915
2012,78,1751884
2013,78,2160406
2014,78,2310946
2015,78,2358000
2016,78,2417900
2017,78,2545200
2018,78,2660700
2019,78,2808500
2020,78,2960800
2008,79,80486
2009,79,138081
2010,79,145677
2011,79,144030
2012,79,147609
2013,79,152030
2014,79,153558
2015,79,162178
2016,79,170402
2017,79,176520
2018,79,477899
2019,79,478832
2020,79,481076
2008,80,359108
2009,80,367245
2010,80,375534
2011,80,357872
2012,80,384053
2013,80,397690
2014,80,405356
2015,80,415264
2016,80,438055
2017,80,445511
2018,80,443566
2019,80,873492
2020,80,853903
2008,81,7909000
2009,81,8077000
2010,81,7939000
2011,81,6988000
2012,81,7055000
2013,81,7126000
2014,81,6627000
2015,81,5439000
2016,81,5955000
2017,81,5915000
2018,81,5886000
2019,81,5327000
2020,81,5349000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,19070
2013,82,38526
2014,82,104520
2015,82,39245
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,89524
2009,83,93363
2010,83,108051
2011,83,118316
2012,83,125478
2013,83,129619
2014,83,133766
2015,83,145629
2016,83,155519
2017,83,177565
2018,83,200132
2019,83,221946
2020,83,229976
2008,84,644075
2009,84,704163
2010,84,747453
2011,84,725626
2012,84,655103
2013,84,535888
2014,84,528389
2015,84,567764
2016,84,563414
2017,84,524664
2018,84,515811
2019,84,432431
2020,84,770977
2008,85,160666
2009,85,154144
2010,85,155565
2011,85,152575
2012,85,136162
2013,85,139276
2014,85,141198
2015,85,151973
2016,85,155216
2017,85,168465
2018,85,194818
2019,85,205478
2020,85,234127
2008,86,644075
2009,86,704163
2010,86,747453
2011,86,725626
2012,86,655103
2013,86,535888
2014,86,528389
2015,86,567764
2016,86,563414
2017,86,524664
2018,86,515811
2019,86,432431
2020,86,770977
2008,87,24035
2009,87,17273
2010,87,12821
2011,87,3475
2012,87,-17243
2013,87,-21877
2014,87,-36340
2015,87,-43640
2016,87,4833
2017,87,3382
2018,87,-1732
2019,87,-3229
2020,87,
2008,88,14621
2009,88,16685
2010,88,15342
2011,88,8342
2012,88,2749
2013,88,731
2014,88,569
2015,88,284
2016,88,11105
2017,88,8726
2018,88,3608
2019,88,
2020,88,
2008,89,154213
2009,89,128326
2010,89,107540
2011,89,93709
2012,89,83311
2013,89,74577
2014,89,63941
2015,89,61741
2016,89,66610
2017,89,62422
2018,89,56185
2019,89,
2020,89,
2008,90,16435
2009,90,54077
2010,90,68700
2011,90,82554
2012,90,101762
2013,90,119662
2014,90,158300
2015,90,2036500
2016,90,1936000
2017,90,1914064
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,12029
2013,91,14382
2014,91,11667
2015,91,9723
2016,91,11521
2017,91,15966
2018,91,23718
2019,91,20200
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,5260
2015,92,4649
2016,92,3441
2017,92,1297
2018,92,1551
2019,92,-1535
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,183754
2009,95,218751
2010,95,344263
2011,95,390644
2012,95,429562
2013,95,382175
2014,95,442165
2015,95,499471
2016,95,557371
2017,95,588681
2018,95,594919
2019,95,695031
2020,95,800883
2008,96,69464
2009,96,46181
2010,96,39891
2011,96,-7034
2012,96,-20109
2013,96,-22064
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,60060
2009,97,59137
2010,97,40930
2011,97,-6281
2012,97,23843
2013,97,27162
2014,97,27331
2015,97,30622
2016,97,30748
2017,97,28598
2018,97,29616
2019,97,30194
2020,97,28246
2008,98,154147
2009,98,217855
2010,98,315936
2011,98,351178
2012,98,367587
2013,98,413953
2014,98,483369
2015,98,586814
2016,98,662817
2017,98,741417
2018,98,704700
2019,98,848600
2020,98,954678
2008,99,40525
2009,99,50515
2010,99,54948
2011,99,54096
2012,99,59427
2013,99,47802
2014,99,49038
2015,99,51083
2016,99,52253
2017,99,29085
2018,99,
2019,99,
2020,99,
2008,100,659929
2009,100,686845
2010,100,758921
2011,100,859040
2012,100,631796
2013,100,667413
2014,100,783237
2015,100,902883
2016,100,1010627
2017,100,1021700
2018,100,1065900
2019,100,1190454
2020,100,1267400
2008,101,14027
2009,101,14705
2010,101,14051
2011,101,13125
2012,101,10730
2013,101,12066
2014,101,10577
2015,101,14006
2016,101,14399
2017,101,14417
2018,101,12999
2019,101,12874
2020,101,16351
2008,102,122528
2009,102,122041
2010,102,131220
2011,102,108151
2012,102,114551
2013,102,111465
2014,102,109950
2015,102,112742
2016,102,103949
2017,102,99489
2018,102,102913
2019,102,111142
2020,102,103796
2008,103,27525
2009,103,19700
2010,103,6891
2011,103,2058
2012,103,4146
2013,103,1302
2014,103,5727
2015,103,13210
2016,103,14275
2017,103,8836
2018,103,-39670
2019,103,
2020,103,
2008,104,12138
2009,104,16721
2010,104,20886
2011,104,25903
2012,104,28790
2013,104,29253
2014,104,31660
2015,104,35451
2016,104,36895
2017,104,38420
2018,104,40574
2019,104,73734
2020,104,62243
2008,105,6259
2009,105,4862
2010,105,4020
2011,105,3364
2012,105,3359
2013,105,3447
2014,105,3443
2015,105,2392
2016,105,1993
2017,105,2729
2018,105,2322
2019,105,1913
2020,105,2236
2008,106,98881
2009,106,104093
2010,106,113475
2011,106,138408
2012,106,143226
2013,106,149041
2014,106,158411
2015,106,166992
2016,106,180173
2017,106,184783
2018,106,203744
2019,106,209495
2020,106,220137
2008,107,80871
2009,107,33679
2010,107,13439
2011,107,12194
2012,107,3039
2013,107,6266
2014,107,-26464
2015,107,-39604
2016,107,-25253
2017,107,-21759
2018,107,-17326
2019,107,-15735
2020,107,46902
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,80478
2014,108,81461
2015,108,187760
2016,108,214481
2017,108,214949
2018,108,313719
2019,108,331171
2020,108,308007
2008,109,
2009,109,29320
2010,109,-45196
2011,109,14011
2012,109,31975
2013,109,71544
2014,109,89060
2015,109,109532
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,3657
2009,110,-2646
2010,110,-7567
2011,110,2032
2012,110,-398
2013,110,-6122
2014,110,-5955
2015,110,338
2016,110,256
2017,110,186
2018,110,505
2019,110,154
2020,110,519
2008,111,173012
2009,111,161723
2010,111,54186
2011,111,49986
2012,111,46994
2013,111,41882
2014,111,33653
2015,111,28075
2016,111,25944
2017,111,6535
2018,111,6293
2019,111,26951
2020,111,36632
2008,112,120026
2009,112,126810
2010,112,113322
2011,112,145055
2012,112,152918
2013,112,115816
2014,112,103223
2015,112,158995
2016,112,255537
2017,112,369215
2018,112,397036
2019,112,493525
2020,112,
2008,113,152208
2009,113,126334
2010,113,122694
2011,113,119983
2012,113,113052
2013,113,112904
2014,113,122992
2015,113,141111
2016,113,159433
2017,113,187385
2018,113,218643
2019,113,217817
2020,113,214022
2008,114,10193
2009,114,10096
2010,114,11371
2011,114,12229
2012,114,12026
2013,114,10301
2014,114,13890
2015,114,16585
2016,114,16867
2017,114,11419
2018,114,10325
2019,114,6245
2020,114,
2008,115,43757
2009,115,34625
2010,115,34532
2011,115,36494
2012,115,36875
2013,115,35481
2014,115,36429
2015,115,40946
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,103261
2009,116,109133
2010,116,121846
2011,116,121823
2012,116,115626
2013,116,117955
2014,116,110738
2015,116,111040
2016,116,111013
2017,116,113595
2018,116,117702
2019,116,114028
2020,116,112998
2008,117,15701
2009,117,20846
2010,117,34730
2011,117,38887
2012,117,42945
2013,117,41787
2014,117,48164
2015,117,54262
2016,117,48221
2017,117,43107
2018,117,43303
2019,117,46102
2020,117,69387
2008,118,126459
2009,118,81469
2010,118,77442
2011,118,77915
2012,118,53306
2013,118,48760
2014,118,38359
2015,118,28365
2016,118,46729
2017,118,73019
2018,118,67698
2019,118,64203
