Date,Id,common stock
2012,68,15716
2013,68,13000
2014,68,13000
2015,68,13000
2016,68,13000
2017,68,13970
2018,68,14990
2019,68,4180
2020,68,4302
2008,69,1687400
2009,69,1712600
2010,69,1732900
2011,69,1755400
2012,69,1761200
2013,69,1823400
2014,69,1831100
2015,69,1855100
2016,69,1855100
2017,69,1855100
2018,69,
2019,69,
2020,69,
2008,70,3450
2009,70,3450
2010,70,3450
2011,70,3450
2012,70,3450
2013,70,3450
2014,70,3450
2015,70,3450
2016,70,3503
2017,70,3503
2018,70,3503
2019,70,3517
2020,70,3525
2008,71,4628
2009,71,4628
2010,71,4628
2011,71,4628
2012,71,4628
2013,71,4628
2014,71,4628
2015,71,4628
2016,71,4628
2017,71,4628
2018,71,4628
2019,71,4628
2020,71,4628
2008,72,34359
2009,72,35208
2010,72,35750
2011,72,35529
2012,72,39544
2013,72,40585
2014,72,42242
2015,72,42780
2016,72,42780
2017,72,42780
2018,72,46629
2019,72,46458
2020,72,46150
2008,73,5794
2009,73,5794
2010,73,5794
2011,73,5794
2012,73,5794
2013,73,5794
2014,73,5794
2015,73,8111
2016,73,8111
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,559
2015,75,559
2016,75,559
2017,75,559
2018,75,710
2019,75,710
2020,75,729
2008,76,1956000
2009,76,3570000
2010,76,3570000
2011,76,3571000
2012,76,3571000
2013,76,3571000
2014,76,3697000
2015,76,3697000
2016,76,2736000
2017,76,2736000
2018,76,2736000
2019,76,2736000
2020,76,2736000
2008,77,832042
2009,77,832042
2010,77,1276226
2011,77,1276226
2012,77,1276226
2013,77,1276226
2014,77,1276226
2015,77,1276226
2016,77,1276226
2017,77,1276226
2018,77,1300931
2019,77,1300931
2020,77,1300931
2008,78,1032738
2009,78,1115014
2010,78,1115014
2011,78,1115014
2012,78,1115014
2013,78,1410357
2014,78,1469938
2015,78,1474000
2016,78,1468100
2017,78,1473600
2018,78,1465300
2019,78,1474800
2020,78,1460000
2008,79,46871
2009,79,76619
2010,79,76619
2011,79,76619
2012,79,76619
2013,79,76619
2014,79,76619
2015,79,76619
2016,79,76619
2017,79,76619
2018,79,197344
2019,79,197344
2020,79,197344
2008,80,234412
2009,80,234412
2010,80,234412
2011,80,234412
2012,80,234412
2013,80,234412
2014,80,234412
2015,80,234412
2016,80,234412
2017,80,234412
2018,80,234412
2019,80,234412
2020,80,234412
2008,81,5292000
2009,81,5292000
2010,81,5292000
2011,81,5292000
2012,81,5292000
2013,81,5292000
2014,81,5292000
2015,81,5292000
2016,81,5377000
2017,81,5377000
2018,81,5377000
2019,81,5377000
2020,81,5377000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,14000
2013,82,14000
2014,82,15990
2015,82,16366
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,8000
2009,83,8000
