Date,Id,cash dividends paid
2019,61,4599
2020,61,0
2008,62,1327
2009,62,1324
2010,62,0
2011,62,0
2012,62,0
2013,62,524
2014,62,262
2015,62,803
2016,62,802
2017,62,802
2018,62,1333
2019,62,1330
2020,62,0
2008,63,0
2009,63,0
2010,63,0
2011,63,0
2012,63,0
2013,63,0
2014,63,0
2015,63,0
2016,63,0
2017,63,0
2018,63,3285
2019,63,3235
2020,63,3034
2008,64,1665000
2009,64,1050000
2010,64,1093000
2011,64,1326000
2012,64,1031000
2013,64,537000
2014,64,252000
2015,64,204000
2016,64,227000
2017,64,235000
2018,64,256000
2019,64,279000
2020,64,390000
2008,65,26593
2009,65,28302
2010,65,30277
2011,65,32910
2012,65,42124
2013,65,38175
2014,65,38585
2015,65,41246
2016,65,43907
2017,65,46568
2018,65,49229
2019,65,51890
2020,65,0
2008,66,
2009,66,
2010,66,0
2011,66,0
2012,66,0
2013,66,5223
2014,66,4452
2015,66,4475
2016,66,481
2017,66,8987
2018,66,10540
2019,66,11334
2020,66,0
2008,67,500
2009,67,0
2010,67,0
2011,67,0
2012,67,200
2013,67,200
2014,67,600
2015,67,600
2016,67,600
2017,67,0
2018,67,0
2019,67,0
2020,67,0
2008,68,0
2009,68,0
2010,68,0
2011,68,0
2012,68,1
2013,68,2097
2014,68,631
2015,68,1016
2016,68,362
2017,68,0
2018,68,0
2019,68,0
2020,68,0
2008,69,394500
2009,69,234700
2010,69,113300
2011,69,64300
2012,69,178700
2013,69,24400
2014,69,53800
2015,69,30500
2016,69,33000
2017,69,29200
2018,69,
2019,69,
2020,69,
2008,70,1359
2009,70,1359
2010,70,1568
2011,70,1882
2012,70,1255
2013,70,1777
2014,70,2404
2015,70,3137
2016,70,5750
2017,70,3503
2018,70,3503
2019,70,4034
2020,70,4050
2008,71,584
2009,71,534
2010,71,534
2011,71,623
2012,71,623
2013,71,498
2014,71,801
2015,71,801
2016,71,534
2017,71,1424
2018,71,1460
2019,71,1958
2020,71,0
2008,72,1579
2009,72,1521
2010,72,5965
2011,72,4508
2012,72,2237
2013,72,4388
2014,72,6313
2015,72,9264
2016,72,11474
2017,72,7704
2018,72,9162
2019,72,7708
2020,72,7567
2008,73,1012
2009,73,1012
2010,73,0
2011,73,674
2012,73,1124
2013,73,225
2014,73,225
2015,73,281
2016,73,512
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,1057
2015,75,1601
2016,75,802
2017,75,0
2018,75,0
2019,75,0
2020,75,0
2008,76,387000
2009,76,450000
2010,76,776000
2011,76,811000
2012,76,811000
2013,76,845000
2014,76,507000
2015,76,875000
2016,76,875000
2017,76,718000
2018,76,731000
2019,76,746000
2020,76,779000
2008,77,73082
2009,77,72661
2010,77,74273
2011,77,121297
2012,77,22282
2013,77,76070
2014,77,73641
2015,77,81417
2016,77,87098
2017,77,89965
2018,77,113080
2019,77,150225
2020,77,0
2008,78,92922
2009,78,94540
2010,78,96814
2011,78,117242
2012,78,116785
2013,78,131341
2014,78,137393
2015,78,145000
2016,78,145400
2017,78,140900
2018,78,151400
2019,78,161500
2020,78,163300
2008,79,0
2009,79,0
2010,79,0
2011,79,0
2012,79,
2013,79,4586
2014,79,5240
2015,79,2682
2016,79,4703
2017,79,4940
2018,79,5161
2019,79,14480
2020,79,16072
2008,80,14057
2009,80,13662
2010,80,20349
2011,80,22557
2012,80,0
2013,80,24484
2014,80,26666
2015,80,33332
2016,80,33347
2017,80,40016
2018,80,40016
2019,80,75163
2020,80,47442
2008,81,268000
2009,81,278000
2010,81,259000
2011,81,22000
2012,81,14000
2013,81,20000
2014,81,0
2015,81,0
2016,81,0
2017,81,0
2018,81,0
2019,81,0
2020,81,0
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,
2015,82,
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,17399
2009,83,23219
2010,83,19126
2011,83,23612
2012,83,24399
2013,83,0
2014,83,0
2015,83,0
2016,83,0
2017,83,0
2018,83,0
2019,83,0
2020,83,0
2008,84,10788
2009,84,20413
2010,84,6951
2011,84,38647
2012,84,39610
2013,84,0
2014,84,3153
2015,84,8001
2016,84,44673
2017,84,29860
2018,84,33234
2019,84,40919
2020,84,0
2008,85,243
2009,85,243
2010,85,339
2011,85,583
2012,85,282
2013,85,146
2014,85,243
2015,85,0
2016,85,1983
2017,85,1003
2018,85,1172
2019,85,2633
2020,85,3027
2008,86,10788
2009,86,20413
2010,86,6951
2011,86,38647
2012,86,39610
2013,86,0
2014,86,3153
2015,86,8001
2016,86,44673
2017,86,29860
2018,86,33234
2019,86,40919
2020,86,0
2008,87,760
2009,87,381
2010,87,89
2011,87,85
2012,87,0
2013,87,0
2014,87,0
2015,87,0
2016,87,0
2017,87,0
2018,87,0
2019,87,0
2020,87,
2008,88,0
2009,88,0
2010,88,0
2011,88,0
2012,88,0
2013,88,0
2014,88,0
2015,88,0
2016,88,0
2017,88,0
2018,88,0
2019,88,
2020,88,
2008,89,1847
2009,89,0
2010,89,0
2011,89,0
2012,89,0
2013,89,0
2014,89,0
2015,89,0
2016,89,0
2017,89,0
2018,89,0
2019,89,
2020,89,
2008,90,
2009,90,0
2010,90,0
2011,90,0
2012,90,0
2013,90,0
2014,90,0
2015,90,0
2016,90,0
2017,90,0
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,0
2014,91,0
2015,91,0
2016,91,0
2017,91,0
2018,91,0
2019,91,0
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,
2015,92,1136
2016,92,0
2017,92,0
2018,92,0
2019,92,25
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,7661
2009,95,0
2010,95,6320
2011,95,7051
2012,95,7992
2013,95,9330
2014,95,9350
2015,95,9356
2016,95,9427
2017,95,15292
2018,95,24079
2019,95,30939
2020,95,0
2008,96,0
2009,96,0
2010,96,0
2011,96,0
2012,96,0
2013,96,0
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,0
2009,97,0
2010,97,0
2011,97,0
2012,97,0
2013,97,0
2014,97,0
2015,97,0
2016,97,0
2017,97,0
2018,97,0
2019,97,0
2020,97,0
2008,98,5500
2009,98,6600
2010,98,2548
2011,98,21914
2012,98,
2013,98,72635
2014,98,29919
2015,98,32936
2016,98,35719
2017,98,43807
2018,98,145268
2019,98,49231
2020,98,52053
2008,99,0
2009,99,0
2010,99,1003
2011,99,1000
2012,99,1000
2013,99,0
2014,99,0
2015,99,0
2016,99,0
2017,99,0
2018,99,
2019,99,
2020,99,
2008,100,8970
2009,100,8970
2010,100,11960
2011,100,21827
2012,100,49335
2013,100,43355
2014,100,59800
2015,100,61295
2016,100,65780
2017,100,119600
2018,100,149500
2019,100,55315
2020,100,80477
2008,101,1374
2009,101,0
2010,101,118
2011,101,0
2012,101,0
2013,101,0
2014,101,124
2015,101,0
2016,101,0
2017,101,307
2018,101,0
2019,101,0
2020,101,0
2008,102,2817
2009,102,1066
2010,102,0
2011,102,1478
2012,102,0
2013,102,700
2014,102,2413
2015,102,2551
2016,102,1831
2017,102,1261
2018,102,1356
2019,102,0
2020,102,0
2008,103,0
2009,103,0
2010,103,0
2011,103,0
2012,103,0
2013,103,0
2014,103,0
2015,103,0
2016,103,0
2017,103,0
2018,103,0
2019,103,
2020,103,
2008,104,2000
2009,104,3100
2010,104,3100
2011,104,4000
2012,104,5000
2013,104,3000
2014,104,1000
2015,104,1000
2016,104,2000
2017,104,2000
2018,104,2000
2019,104,3000
2020,104,4000
2008,105,
2009,105,
2010,105,
2011,105,
2012,105,0
2013,105,0
2014,105,0
2015,105,0
2016,105,0
2017,105,0
2018,105,0
2019,105,0
2020,105,0
2008,106,6052
2009,106,4120
2010,106,4119
2011,106,4396
2012,106,4187
2013,106,3377
2014,106,4208
2015,106,4105
2016,106,4177
2017,106,5815
2018,106,5942
2019,106,7540
2020,106,4
2008,107,2168
2009,107,0
2010,107,0
2011,107,0
2012,107,0
2013,107,0
2014,107,0
2015,107,0
2016,107,0
2017,107,0
2018,107,0
2019,107,0
2020,107,2999
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,0
2014,108,0
2015,108,0
2016,108,0
2017,108,0
2018,108,0
2019,108,0
2020,108,0
2008,109,
2009,109,
2010,109,
2011,109,
2012,109,
2013,109,0
2014,109,0
2015,109,7000
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,0
2009,110,0
2010,110,0
2011,110,0
2012,110,0
2013,110,0
2014,110,0
2015,110,0
2016,110,0
2017,110,0
2018,110,0
2019,110,0
2020,110,
2008,111,0
2009,111,1647
2010,111,0
2011,111,0
2012,111,0
2013,111,0
2014,111,0
2015,111,310
2016,111,0
2017,111,0
2018,111,0
2019,111,0
2020,111,0
2008,112,28723
2009,112,30844
2010,112,30690
2011,112,33145
2012,112,36772
2013,112,85192
2014,112,46028
2015,112,50631
2016,112,52506
2017,112,62807
2018,112,66733
2019,112,78306
2020,112,
2008,113,12103
2009,113,0
2010,113,0
2011,113,60
2012,113,0
2013,113,0
2014,113,0
2015,113,0
2016,113,9871
2017,113,9858
2018,113,13144
2019,113,13149
2020,113,0
2008,114,0
2009,114,0
2010,114,0
2011,114,0
2012,114,0
2013,114,0
2014,114,0
2015,114,1278
2016,114,2045
2017,114,1023
2018,114,0
2019,114,0
2020,114,
2008,115,3126
2009,115,779
2010,115,0
2011,115,0
2012,115,1040
2013,115,1361
2014,115,1005
2015,115,1021
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,8073
2009,116,8050
2010,116,5750
2011,116,9201
2012,116,6900
2013,116,3911
2014,116,16146
2015,116,4613
2016,116,5467
2017,116,5384
2018,116,6071
2019,116,6060
2020,116,3924
2008,117,2706
2009,117,1993
2010,117,2582
2011,117,2998
2012,117,3205
2013,117,3690
2014,117,1682
2015,117,2403
2016,117,2566
2017,117,0
