Date,Id,current liabilities
2008,99,101463
2009,99,103768
2010,99,124542
2011,99,152116
2012,99,144281
2013,99,158458
2014,99,147851
2015,99,140425
2016,99,117177
2017,99,92864
2018,99,
2019,99,
2020,99,
2008,100,584425
2009,100,520372
2010,100,580507
2011,100,633505
2012,100,572017
2013,100,559322
2014,100,725266
2015,100,559121
2016,100,590214
2017,100,653421
2018,100,712572
2019,100,632385
2020,100,999181
2008,101,28905
2009,101,27245
2010,101,26434
2011,101,25517
2012,101,25905
2013,101,27287
2014,101,20089
2015,101,26395
2016,101,26911
2017,101,23744
2018,101,23194
2019,101,20484
2020,101,22188
2008,102,153620
2009,102,132545
2010,102,134240
2011,102,149383
2012,102,150440
2013,102,159629
2014,102,173846
2015,102,175878
2016,102,201478
2017,102,211499
2018,102,184110
2019,102,171339
2020,102,184254
2008,103,164369
2009,103,138956
2010,103,167847
2011,103,154869
2012,103,146063
2013,103,137023
2014,103,137489
2015,103,133818
2016,103,140267
2017,103,143380
2018,103,132158
2019,103,
2020,103,
2008,104,15644
2009,104,16724
2010,104,18886
2011,104,22632
2012,104,29589
2013,104,26083
2014,104,24248
2015,104,27406
2016,104,24544
2017,104,31740
2018,104,42042
2019,104,54651
2020,104,75875
2008,105,9605
2009,105,7446
2010,105,8743
2011,105,10677
2012,105,13620
2013,105,8850
2014,105,11545
2015,105,10164
2016,105,12065
2017,105,17307
2018,105,22048
2019,105,26642
2020,105,19381
2008,106,102122
2009,106,61440
2010,106,59677
2011,106,142657
2012,106,156035
2013,106,121755
2014,106,121424
2015,106,142618
2016,106,130634
2017,106,187390
2018,106,172731
2019,106,170626
2020,106,184413
2008,107,206281
2009,107,197640
2010,107,191841
2011,107,179392
2012,107,155230
2013,107,116786
2014,107,161845
2015,107,120850
2016,107,101169
2017,107,106411
2018,107,105642
2019,107,112853
2020,107,37471
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,
2014,108,
2015,108,145302
2016,108,191379
2017,108,207301
2018,108,204990
2019,108,220813
2020,108,232497
2008,109,
2009,109,12030
2010,109,76832
2011,109,22682
2012,109,29886
2013,109,33296
2014,109,27749
2015,109,38990
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,9434
2009,110,11053
2010,110,14813
2011,110,10586
2012,110,51349
2013,110,4932
2014,110,4966
2015,110,3123
2016,110,4239
2017,110,1506
2018,110,826
2019,110,892
2020,110,937
2008,111,69709
2009,111,79274
2010,111,53714
2011,111,35240
2012,111,27267
2013,111,
2014,111,
2015,111,
2016,111,
2017,111,
2018,111,
2019,111,
2020,111,
2008,112,337975
2009,112,280637
2010,112,383566
2011,112,408322
2012,112,395068
2013,112,449271
2014,112,471932
2015,112,612860
2016,112,736761
2017,112,788565
2018,112,778987
2019,112,850438
2020,112,
2008,113,172055
2009,113,139083
2010,113,186038
2011,113,203356
2012,113,214631
2013,113,190802
2014,113,192236
2015,113,244687
2016,113,299551
2017,113,321977
2018,113,338269
2019,113,333322
2020,113,359937
2008,114,35055
2009,114,20845
2010,114,20497
2011,114,30261
2012,114,27439
2013,114,22942
2014,114,28246
2015,114,28730
2016,114,25152
2017,114,32058
2018,114,35926
2019,114,30965
2020,114,
2008,115,40565
2009,115,33528
2010,115,35749
2011,115,38815
2012,115,40122
2013,115,49870
2014,115,50277
2015,115,43273
2016,115,
2017,115,
2018,115,
