Date,Id,ar
2019,121,19116452
2020,121,16485651
2008,122,1260786
2009,122,1311386
2010,122,1335843
2011,122,1389703
2012,122,1408264
2013,122,1300934
2014,122,1288176
2015,122,1248825
2016,122,1365735
2017,122,1086596
2018,122,1202483
2019,122,1777099
2020,122,1081758
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,7441
2015,123,5567
2016,123,9604
2017,123,8435
2018,123,9554
2019,123,16149
2020,123,16580
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,11621
2016,124,11627
2017,124,15159
2018,124,14213
2019,124,15724
2020,124,9476
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,37808
2016,125,50914
2017,125,56956
2018,125,58170
2019,125,75732
2020,125,70058
2008,126,115966
2009,126,158416
2010,126,167178
2011,126,152962
2012,126,173020
2013,126,174021
2014,126,33245
2015,126,59661
2016,126,41585
2017,126,57657
2018,126,17609
2019,126,20882
2020,126,9143
2008,127,17809
2009,127,18597
2010,127,16132
2011,127,19868
2012,127,16395
2013,127,18653
2014,127,17866
2015,127,20000
2016,127,21441
2017,127,22015
2018,127,22010
2019,127,18538
2020,127,13476
2008,128,342818
2009,128,330921
2010,128,474480
2011,128,300032
2012,128,359396
2013,128,440513
2014,128,386577
2015,128,371650
2016,128,341952
2017,128,350720
2018,128,476925
2019,128,
2020,128,
2008,129,70462
2009,129,58783
2010,129,57070
2011,129,59000
2012,129,62497
2013,129,87429
2014,129,43985
2015,129,40751
2016,129,39550
2017,129,50344
2018,129,
2019,129,
2020,129,
2008,130,551340
2009,130,715225
2010,130,822673
2011,130,835864
2012,130,979741
2013,130,737577
2014,130,774815
2015,130,728432
2016,130,785734
2017,130,857476
2018,130,1254340
2019,130,
2020,130,
2008,131,15792
2009,131,15531
2010,131,12114
2011,131,15056
2012,131,15636
2013,131,18226
2014,131,16541
2015,131,22409
2016,131,19970
2017,131,37284
2018,131,29302
2019,131,28536
2020,131,30973
2008,132,980562
2009,132,996898
2010,132,890406
2011,132,961490
2012,132,1227326
2013,132,1408719
2014,132,1445753
2015,132,1524112
2016,132,1789629
2017,132,1885278
2018,132,3168118
2019,132,3870000
2020,132,3176000
2008,133,37566
2009,133,36351
2010,133,29375
2011,133,32048
2012,133,27281
2013,133,21797
2014,133,14228
2015,133,15423
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,365012
2009,134,291852
2010,134,127572
2011,134,83303
2012,134,120254
2013,134,439474
2014,134,394542
2015,134,382692
2016,134,497195
2017,134,528708
2018,134,456722
2019,134,422847
2020,134,384923
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,16616
2013,135,19677
2014,135,17107
2015,135,21122
2016,135,16433
2017,135,17078
2018,135,18530
2019,135,20279
2020,135,9590
2008,136,43578
2009,136,38564
2010,136,45643
2011,136,50297
2012,136,40299
2013,136,40008
2014,136,46229
2015,136,39233
2016,136,36962
2017,136,38935
2018,136,36458
2019,136,61813
2020,136,61272
2008,137,5373
2009,137,5424
2010,137,6360
2011,137,6183
2012,137,7819
2013,137,7618
2014,137,12966
2015,137,11943
2016,137,14267
2017,137,18057
2018,137,20953
2019,137,21784
2020,137,16971
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,28653
2009,139,7340
2010,139,8746
2011,139,9575
2012,139,23598
2013,139,21443
2014,139,26821
2015,139,28959
2016,139,35685
2017,139,50867
2018,139,24310
2019,139,27419
2020,139,33430
2008,140,50037
2009,140,44602
2010,140,43473
