Date,Id,dividend yield
2010,55,0
2011,55,2.61
2012,55,2.27
2013,55,1.81
2014,55,1.8
2015,55,1.1
2016,55,1.34
2017,55,0.97
2018,55,2.45
2019,55,2.96
2020,55,2.14
2008,56,6.93
2009,56,0
2010,56,0
2011,56,0
2012,56,0
2013,56,0
2014,56,0
2015,56,1.35
2016,56,1.58
2017,56,0.89
2018,56,2.33
2019,56,2.68
2020,56,0
2008,57,3.9
2009,57,1.73
2010,57,2.23
2011,57,3.08
2012,57,2.93
2013,57,2.73
2014,57,1.61
2015,57,1.94
2016,57,2.76
2017,57,2.87
2018,57,2.87
2019,57,0
2020,57,0
2008,58,3.76
2009,58,3.42
2010,58,3.27
2011,58,1.73
2012,58,1.4
2013,58,2.24
2014,58,2.77
2015,58,2.07
2016,58,1.72
2017,58,1.58
2018,58,2.46
2019,58,2
2020,58,0.86
2008,59,7.87
2009,59,3.43
2010,59,1.92
2011,59,4.77
2012,59,2.53
2013,59,1.78
2014,59,2.55
2015,59,2.59
2016,59,3.31
2017,59,3.24
2018,59,3.95
2019,59,3.75
2020,59,4.77
2008,60,2.94
2009,60,2.9
2010,60,3.02
2011,60,4.45
2012,60,5.89
2013,60,4.71
2014,60,4.98
2015,60,0
2016,60,0
2017,60,4.81
2018,60,0
2019,60,0
2020,60,0
2008,61,8.44
2009,61,4.47
2010,61,0
2011,61,5.2
2012,61,5.77
2013,61,5.43
2014,61,0
2015,61,0
2016,61,0
2017,61,2.52
2018,61,5.22
2019,61,4.69
2020,61,0
2008,62,3.42
2009,62,3.25
2010,62,1.29
2011,62,3.24
2012,62,4.27
2013,62,1.19
2014,62,0.57
2015,62,1.41
2016,62,1.67
2017,62,1.14
2018,62,2.76
2019,62,2.8
2020,62,0
2008,63,0
2009,63,0
2010,63,0
2011,63,0
2012,63,0
2013,63,0
2014,63,0
2015,63,0
2016,63,0
2017,63,0
2018,63,1.47
2019,63,1.26
2020,63,0.91
2008,64,6.96
2009,64,4.6
2010,64,5.17
2011,64,6.98
2012,64,6.3
2013,64,2.77
2014,64,0
2015,64,0
2016,64,0
2017,64,0
2018,64,0
2019,64,0
2020,64,2.65
2008,65,7.41
2009,65,7.23
2010,65,5.3
2011,65,7.71
2012,65,8.1
2013,65,4.8
2014,65,3.94
2015,65,3.25
2016,65,3.8
2017,65,3.25
2018,65,3.59
2019,65,3.83
2020,65,0
2008,66,
2009,66,
2010,66,
2011,66,0
2012,66,0
2013,66,1.72
2014,66,1.63
2015,66,1.36
2016,66,1.41
2017,66,1.83
2018,66,2.53
2019,66,3.45
2020,66,0
2008,67,2.36
2009,67,0
2010,67,0
2011,67,0
2012,67,1.38
2013,67,1.15
2014,67,2.24
2015,67,1.8
2016,67,1.87
2017,67,0
2018,67,0
2019,67,0
2020,67,0
2008,68,1.35
2009,68,3
2010,68,0
2011,68,0
2012,68,0
2013,68,7.56
2014,68,3.94
2015,68,2.73
2016,68,4.87
2017,68,5.46
2018,68,17.42
2019,68,1.51
2020,68,0
2008,69,13.65
2009,69,4.92
2010,69,3.07
2011,69,2.71
2012,69,2.86
2013,69,0.53
2014,69,1.21
2015,69,0.67
2016,69,0.57
2017,69,0.48
2018,69,0.25
2019,69,0.25
2020,69,0.25
2008,70,5.6
2009,70,2.93
2010,70,3.57
2011,70,4.5
2012,70,3.17
2013,70,1.69
2014,70,1.52
2015,70,1.42
2016,70,3.45
2017,70,1.99
2018,70,2.96
2019,70,3.17
2020,70,2.89
2008,71,0
2009,71,2.14
2010,71,2.41
2011,71,1.84
2012,71,1.75
2013,71,0.88
2014,71,1.35
2015,71,1.59
2016,71,1.17
2017,71,2.34
2018,71,2.53
2019,71,3.23
2020,71,0
2008,72,0
2009,72,0
2010,72,6.72
2011,72,5.45
2012,72,5.29
2013,72,1.68
2014,72,1.5
2015,72,1.69
2016,72,3.12
2017,72,1.1
2018,72,2.9
2019,72,1.94
2020,72,1.33
2008,73,0.62
2009,73,0.51
2010,73,0
2011,73,0.61
2012,73,0.55
2013,73,0.11
2014,73,0.18
2015,73,0.26
2016,73,0.35
