Date,Id,cash
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,212060
2009,46,102258
2010,46,281742
2011,46,321022
2012,46,423698
2013,46,589471
2014,46,1017967
2015,46,814653
2016,46,665533
2017,46,680641
2018,46,1068138
2019,46,835693
2020,46,642209
2008,47,87000
2009,47,25000
2010,47,132000
2011,47,147000
2012,47,553000
2013,47,376000
2014,47,544000
2015,47,636000
2016,47,402000
2017,47,691000
2018,47,624000
2019,47,434000
2020,47,1012000
2008,48,0
2009,48,0
2010,48,82000
2011,48,148000
2012,48,333000
2013,48,343000
2014,48,335000
2015,48,385000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,0
2011,49,0
2012,49,0
2013,49,4605
2014,49,5500
2015,49,5211
2016,49,8761
2017,49,1344
2018,49,1164
2019,49,1069
2020,49,1139
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,244
2013,50,152
2014,50,2855
2015,50,1531
2016,50,1183
2017,50,1710
2018,50,932
2019,50,1624
2020,50,19446
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,4036
2015,52,8739
2016,52,12633
2017,52,13396
2018,52,9367
2019,52,5831
2020,52,17818
2008,53,29
2009,53,13
2010,53,11
2011,53,16
2012,53,22610
2013,53,20334
2014,53,25602
2015,53,24044
2016,53,14340
2017,53,27564
2018,53,170601
2019,53,48634
2020,53,30678
2008,54,59114
2009,54,49573
2010,54,41515
2011,54,48365
2012,54,40475
2013,54,42868
2014,54,73763
2015,54,46990
2016,54,97589
2017,54,97351
2018,54,80966
2019,54,97031
2020,54,123744
2008,55,52108
2009,55,71693
2010,55,102542
2011,55,162422
2012,55,94752
2013,55,128539
2014,55,86153
2015,55,126212
2016,55,146977
2017,55,256212
2018,55,181430
2019,55,151841
2020,55,137451
2008,56,0
2009,56,0
2010,56,14838
2011,56,25179
2012,56,24459
2013,56,29194
2014,56,35867
2015,56,41365
2016,56,62680
2017,56,70521
2018,56,71078
2019,56,55136
2020,56,62999
2008,57,18
2009,57,40
2010,57,73
2011,57,93
2012,57,44974
2013,57,63523
2014,57,61978
2015,57,65090
2016,57,70552
2017,57,55722
2018,57,43144
2019,57,
2020,57,
2008,58,7000
2009,58,3000
2010,58,10000
2011,58,10000
2012,58,7000
2013,58,0
2014,58,1000
2015,58,4000
2016,58,2000
2017,58,2000
2018,58,0
2019,58,1070000
2020,58,1163000
2008,59,4545
2009,59,8901
2010,59,14697
2011,59,8986
2012,59,12
2013,59,17
2014,59,13
2015,59,18
2016,59,44
2017,59,51
2018,59,12
2019,59,14
2020,59,12
2008,60,52
2009,60,35
2010,60,30
2011,60,107
2012,60,25738
2013,60,18992
2014,60,10552
2015,60,25224
2016,60,15970
2017,60,24247
2018,60,24334
2019,60,17097
2020,60,18083
2008,61,9352
2009,61,24
2010,61,35
2011,61,42
2012,61,17490
2013,61,25040
2014,61,20732
2015,61,24602
2016,61,24
2017,61,34
2018,61,26
2019,61,40
2020,61,27
2008,62,12
2009,62,337
2010,62,292
2011,62,44
2012,62,21
2013,62,5625
2014,62,6567
2015,62,5402
2016,62,7776
2017,62,7752
2018,62,7019
2019,62,8632
2020,62,10260
2008,63,1
2009,63,3
2010,63,2
2011,63,3
2012,63,2
2013,63,19862
2014,63,15583
2015,63,12400
2016,63,19459
2017,63,65953
2018,63,6
2019,63,2
2020,63,54430
2008,64,4427000
2009,64,4614000
2010,64,4267000
2011,64,5175000
2012,64,5763000
2013,64,5744000
2014,64,4812000
2015,64,3559000
2016,64,3964000
2017,64,3575000
2018,64,1917000
2019,64,3138000
2020,64,4829000
2008,65,9049
2009,65,2985
2010,65,4212
2011,65,6354
2012,65,52595
2013,65,32824
2014,65,37533
2015,65,89862
2016,65,114160
2017,65,156285
2018,65,178410
2019,65,192493
2020,65,251491
2008,66,
2009,66,
2010,66,23
2011,66,13327
2012,66,21831
2013,66,89188
2014,66,54694
2015,66,276780
2016,66,60662
2017,66,79090
2018,66,96928
2019,66,102078
2020,66,146433
2008,67,
2009,67,
2010,67,
2011,67,
2012,67,402
2013,67,194
2014,67,196
2015,67,12192
2016,67,9521
2017,67,25475
2018,67,13028
2019,67,18951
2020,67,13031
2008,68,211
2009,68,14
2010,68,8
2011,68,253
2012,68,2866
2013,68,2939
2014,68,1867
2015,68,1209
2016,68,3499
2017,68,630
2018,68,530
2019,68,191
2020,68,141
2008,69,1300
2009,69,1700
2010,69,1500
