Date,Id,ppe gross
2011,54,63772
2012,54,39790
2013,54,41189
2014,54,48138
2015,54,56636
2016,54,63637
2017,54,65382
2018,54,89852
2019,54,116091
2020,54,125664
2008,55,120797
2009,55,125753
2010,55,127110
2011,55,128170
2012,55,135396
2013,55,139983
2014,55,150033
2015,55,169630
2016,55,178279
2017,55,179461
2018,55,198899
2019,55,228431
2020,55,235455
2008,56,68013
2009,56,60397
2010,56,61601
2011,56,24473
2012,56,
2013,56,
2014,56,
2015,56,
2016,56,
2017,56,
2018,56,
2019,56,
2020,56,
2008,57,
2009,57,34369
2010,57,52237
2011,57,69076
2012,57,75015
2013,57,79154
2014,57,86413
2015,57,97423
2016,57,100524
2017,57,112313
2018,57,140536
2019,57,
2020,57,
2008,58,1020000
2009,58,1152000
2010,58,1300000
2011,58,2040000
2012,58,2193000
2013,58,2297000
2014,58,2371000
2015,58,2596000
2016,58,2833000
2017,58,2951000
2018,58,4023000
2019,58,4544000
2020,58,4594000
2008,59,32590
2009,59,
2010,59,36440
2011,59,
2012,59,
2013,59,
2014,59,
2015,59,
2016,59,
2017,59,
2018,59,
2019,59,
2020,59,
2008,60,185126
2009,60,185456
2010,60,195022
2011,60,200776
2012,60,207650
2013,60,206396
2014,60,211060
2015,60,213566
2016,60,214513
2017,60,203464
2018,60,202176
2019,60,200832
2020,60,172108
2008,61,90821
2009,61,93931
2010,61,96812
2011,61,105416
2012,61,108653
2013,61,111230
2014,61,114377
2015,61,117010
2016,61,109887
2017,61,111431
2018,61,113929
2019,61,127503
2020,61,129179
2008,62,
2009,62,
2010,62,
2011,62,77038
2012,62,73159
2013,62,66249
2014,62,61944
2015,62,
2016,62,
2017,62,
2018,62,
2019,62,
2020,62,
2008,63,202993
2009,63,209374
2010,63,215758
2011,63,213318
2012,63,218831
2013,63,224454
2014,63,235566
2015,63,262076
2016,63,288296
2017,63,267367
2018,63,399815
2019,63,425757
2020,63,
2008,64,67729000
2009,64,69587000
2010,64,72731000
2011,64,73807000
2012,64,74837000
2013,64,72995000
2014,64,74675000
2015,64,76366000
2016,64,80672000
2017,64,80311000
2018,64,81256000
2019,64,85394000
2020,64,84675000
2008,65,60447
2009,65,58149
2010,65,55817
2011,65,101900
2012,65,102490
2013,65,121920
2014,65,126797
2015,65,130296
2016,65,140402
2017,65,144637
2018,65,
2019,65,
2020,65,
2008,66,
2009,66,
2010,66,
2011,66,375565
2012,66,417592
2013,66,433767
2014,66,450483
2015,66,476119
2016,66,524035
2017,66,564355
2018,66,606647
2019,66,730368
2020,66,761420
2008,67,
2009,67,
2010,67,104015
2011,67,103199
2012,67,
2013,67,52952
2014,67,
2015,67,52072
2016,67,
2017,67,
2018,67,
2019,67,
2020,67,
2008,68,
2009,68,
2010,68,8942
2011,68,9291
2012,68,8054
2013,68,4990
2014,68,
2015,68,
2016,68,
2017,68,
2018,68,
2019,68,
2020,68,
2008,69,1273600
2009,69,1632300
2010,69,1795900
2011,69,1910200
2012,69,2305900
2013,69,2201000
2014,69,2373800
2015,69,2792500
2016,69,3196500
2017,69,3179400
2018,69,
2019,69,
2020,69,
2008,70,20058
2009,70,21138
2010,70,22968
2011,70,24250
2012,70,27221
2013,70,27929
2014,70,29482
2015,70,30143
2016,70,31289
2017,70,31960
2018,70,32494
2019,70,35573
2020,70,37613
2008,71,15070
2009,71,16474
2010,71,17325
2011,71,17899
2012,71,17958
2013,71,18576
2014,71,22527
2015,71,25726
2016,71,26310
2017,71,29113
2018,71,32391
2019,71,44842
2020,71,44258
2008,72,188245
2009,72,198665
2010,72,202315
2011,72,223837
2012,72,235396
2013,72,243972
2014,72,329110
2015,72,336713
2016,72,347086
2017,72,
2018,72,
2019,72,
2020,72,
2008,73,137259
2009,73,138770
2010,73,139986
2011,73,144475
2012,73,145813
2013,73,147217
2014,73,146097
2015,73,147020
2016,73,176911
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,
2015,75,
2016,75,
2017,75,
2018,75,
2019,75,
2020,75,
2008,76,13793000
2009,76,17169000
2010,76,18197000
2011,76,19476000
2012,76,20439000
2013,76,21273000
2014,76,22326000
2015,76,22860000
2016,76,23211000
2017,76,24271000
2018,76,25006000
2019,76,25968000
2020,76,27069000
2008,77,2187221
2009,77,
2010,77,
2011,77,4203266
2012,77,4253537
2013,77,4833264
2014,77,4989100
2015,77,5025900
2016,77,5856813
2017,77,6016170
2018,77,6277399
2019,77,6711740
2020,77,7314751
2008,78,3836161
2009,78,2582730
2010,78,2755943
2011,78,2902428
2012,78,3111258
2013,78,3550425
2014,78,3629892
2015,78,3713000
2016,78,3833300
2017,78,3986700
2018,78,4102200
2019,78,4397800
2020,78,4475400
2008,79,252818
2009,79,375941
2010,79,159759
2011,79,166261
2012,79,170459
2013,79,172179
2014,79,172061
2015,79,173651
2016,79,213579
2017,79,215277
2018,79,316528
2019,79,334947
2020,79,361814
2008,80,484548
2009,80,508546
2010,80,533240
2011,80,79906
2012,80,59542
2013,80,61047
2014,80,59429
2015,80,60266
2016,80,59069
2017,80,64113
2018,80,66631
2019,80,73243
2020,80,75083
2008,81,10263000
2009,81,10965000
2010,81,10661000
2011,81,8504000
2012,81,8761000
2013,81,8979000
2014,81,
2015,81,9130000
2016,81,9337000
2017,81,9221000
2018,81,
2019,81,
2020,81,
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,23976
2013,82,25503
2014,82,32185
2015,82,
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,323782
2009,83,356860
2010,83,379170
2011,83,419051
2012,83,442198
2013,83,455127
2014,83,378152
2015,83,393755
2016,83,434321
2017,83,487787
2018,83,559602
2019,83,585495
2020,83,604158
2008,84,2921874
2009,84,3380086
2010,84,3802086
2011,84,3688235
2012,84,3826294
2013,84,3822815
2014,84,1796469
2015,84,1855868
2016,84,1816519
2017,84,1915565
2018,84,2187804
2019,84,2651844
2020,84,2664237
2008,85,761477
2009,85,779110
2010,85,738261
2011,85,759722
2012,85,774400
2013,85,713492
2014,85,676905
2015,85,674987
2016,85,813242
2017,85,826418
2018,85,901573
2019,85,897311
2020,85,919850
2008,86,2921874
2009,86,3380086
2010,86,3802086
2011,86,3688235
2012,86,3826294
2013,86,3822815
2014,86,1796469
2015,86,1855868
2016,86,1816519
2017,86,1915565
2018,86,2187804
2019,86,2651844
2020,86,2664237
2008,87,19487
2009,87,20263
2010,87,20522
2011,87,19892
2012,87,19539
2013,87,
2014,87,
2015,87,
2016,87,
2017,87,
2018,87,
2019,87,
2020,87,
2008,88,
2009,88,283
2010,88,
2011,88,
2012,88,84
2013,88,2577
2014,88,
2015,88,
2016,88,
2017,88,
2018,88,
2019,88,
2020,88,
2008,89,14698
2009,89,29933
2010,89,26626
2011,89,17590
2012,89,
2013,89,16907
2014,89,17447
2015,89,16048
2016,89,
2017,89,
2018,89,
2019,89,
2020,89,
2008,90,6573
2009,90,7204
2010,90,13478
2011,90,27868
2012,90,43375
2013,90,56093
2014,90,66296
2015,90,205697
2016,90,252721
2017,90,310180
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,
2014,91,
2015,91,
2016,91,
2017,91,
2018,91,
2019,91,
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,
2015,92,
2016,92,
2017,92,
2018,92,1661
2019,92,1539
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,157413
2009,95,175703
2010,95,221366
2011,95,230779
2012,95,254887
2013,95,263778
2014,95,286159
2015,95,315117
2016,95,353271
2017,95,403821
2018,95,515734
2019,95,1062778
2020,95,1153443
2008,96,321772
2009,96,293290
2010,96,299203
2011,96,307006
2012,96,294150
2013,96,292194
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,88602
2009,97,97381
2010,97,90187
2011,97,64346
2012,97,54667
2013,97,49905
2014,97,
2015,97,
2016,97,
2017,97,
2018,97,41616
2019,97,137883
2020,97,142333
2008,98,122703
2009,98,138448
2010,98,164967
2011,98,181781
2012,98,191237
2013,98,193890
2014,98,213330
2015,98,227356
2016,98,258776
2017,98,268044
2018,98,281655
2019,98,330774
2020,98,347882
2008,99,26088
2009,99,25132
2010,99,30868
2011,99,34892
2012,99,37292
2013,99,39987
