Date,Id,sg&a
2017,65,227223
2018,65,232889
2019,65,246113
2020,65,190510
2008,66,
2009,66,
2010,66,
2011,66,30550
2012,66,36798
2013,66,87923
2014,66,92463
2015,66,93872
2016,66,98156
2017,66,109352
2018,66,115259
2019,66,126150
2020,66,95941
2008,67,28583
2009,67,26940
2010,67,26593
2011,67,26211
2012,67,41589
2013,67,40242
2014,67,40668
2015,67,42966
2016,67,54954
2017,67,79893
2018,67,75307
2019,67,71154
2020,67,43177
2008,68,35951
2009,68,33456
2010,68,16565
2011,68,12574
2012,68,17299
2013,68,18372
2014,68,21056
2015,68,22540
2016,68,20699
2017,68,19706
2018,68,16822
2019,68,13787
2020,68,7606
2008,69,632900
2009,69,671800
2010,69,730800
2011,69,739200
2012,69,732600
2013,69,745800
2014,69,757900
2015,69,905500
2016,69,984900
2017,69,1013300
2018,69,
2019,69,
2020,69,
2008,70,23487
2009,70,20597
2010,70,19843
2011,70,20866
2012,70,7131
2013,70,7385
2014,70,9021
2015,70,33126
2016,70,34840
2017,70,35586
2018,70,21666
2019,70,19875
2020,70,21690
2008,71,6867
2009,71,10160
2010,71,11867
2011,71,20050
2012,71,20491
2013,71,10311
2014,71,11296
2015,71,16106
2016,71,31751
2017,71,32463
2018,71,37178
2019,71,39668
2020,71,28756
2008,72,57923
2009,72,50255
2010,72,52405
2011,72,57372
2012,72,103481
2013,72,105518
2014,72,114814
2015,72,138559
2016,72,128390
2017,72,132496
2018,72,131977
2019,72,147704
2020,72,153348
2008,73,2081
2009,73,1868
2010,73,2188
2011,73,2112
2012,73,5267
2013,73,5347
2014,73,6836
2015,73,7094
2016,73,8776
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,4266
2015,75,4796
2016,75,4928
2017,75,5281
2018,75,4047
2019,75,3577
2020,75,2021
2008,76,172000
2009,76,256000
2010,76,542000
2011,76,552000
2012,76,559000
2013,76,88000
2014,76,88000
2015,76,130000
2016,76,19000
2017,76,29000
2018,76,1000
2019,76,
2020,76,
2008,77,494838
2009,77,486201
2010,77,733437
2011,77,980769
2012,77,1297813
2013,77,1276652
2014,77,1237364
2015,77,1359190
2016,77,1468096
2017,77,1613839
2018,77,1729881
2019,77,1955681
2020,77,1816409
2008,78,741595
2009,78,798140
2010,78,855047
2011,78,923049
2012,78,964745
2013,78,1585308
2014,78,1706036
2015,78,1715000
2016,78,1808000
2017,78,2607300
2018,78,2681200
2019,78,2959500
2020,78,2997600
2008,79,18981
2009,79,42918
2010,79,45266
2011,79,48725
2012,79,44750
2013,79,70055
2014,79,61879
2015,79,69215
2016,79,70502
2017,79,70758
2018,79,105826
2019,79,151058
2020,79,163637
2008,80,47258
2009,80,62441
2010,80,82180
2011,80,132575
2012,80,159925
2013,80,169270
2014,80,137285
2015,80,144728
2016,80,134627
2017,80,140197
2018,80,142821
2019,80,46232
2020,80,53908
2008,81,1640000
2009,81,1839000
2010,81,2058000
2011,81,795000
2012,81,2576000
2013,81,3022000
2014,81,622000
2015,81,582000
2016,81,648000
2017,81,701000
2018,81,1003000
2019,81,879000
2020,81,874000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,4772
2013,82,7930
2014,82,9850
2015,82,14028
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,72841
2009,83,60546
2010,83,73370
2011,83,87341
2012,83,99840
2013,83,164002
2014,83,129770
2015,83,133654
2016,83,127218
2017,83,137609
2018,83,154197
2019,83,179782
2020,83,176760
2008,84,772780
2009,84,789474
2010,84,846819
2011,84,893140
2012,84,1578378
2013,84,1664172
2014,84,1306742
2015,84,1324139
2016,84,1315230
2017,84,1393686
2018,84,1452250
2019,84,878991
2020,84,839819
2008,85,176811
2009,85,161128
2010,85,167642
2011,85,171851
2012,85,17455
2013,85,17410
2014,85,13331
2015,85,58836
2016,85,60318
2017,85,65808
2018,85,70846
2019,85,82569
2020,85,82705
2008,86,772780
2009,86,789474
2010,86,846819
2011,86,893140
2012,86,1578378
2013,86,1664172
2014,86,1306742
2015,86,1324139
2016,86,1315230
2017,86,1393686
2018,86,1452250
2019,86,878991
2020,86,839819
2008,87,42674
2009,87,42914
2010,87,41717
2011,87,41043
2012,87,48388
2013,87,37685
2014,87,39638
2015,87,26438
2016,87,25016
2017,87,26097
2018,87,26550
2019,87,23349
2020,87,
2008,88,6828
2009,88,4753
2010,88,4351
2011,88,3858
2012,88,3405
2013,88,2399
2014,88,2380
2015,88,2595
2016,88,2537
2017,88,6018
2018,88,4478
2019,88,
2020,88,
2008,89,53719
2009,89,58940
2010,89,58855
2011,89,47422
2012,89,46638
2013,89,67964
2014,89,67332
2015,89,68165
2016,89,75531
2017,89,74452
2018,89,77465
2019,89,
2020,89,
2008,90,9657
2009,90,12041
2010,90,43636
2011,90,54150
2012,90,71189
2013,90,86965
2014,90,93913
2015,90,183237
2016,90,401514
2017,90,441088
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,9526
2013,91,13794
2014,91,20630
2015,91,26855
2016,91,20154
2017,91,23190
2018,91,32044
2019,91,37323
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,4032
2015,92,3533
2016,92,2759
2017,92,2495
2018,92,1889
2019,92,2225
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,221243
2009,95,224670
2010,95,235693
2011,95,256779
2012,95,513119
2013,95,513590
2014,95,544677
2015,95,369825
2016,95,398534
2017,95,469024
2018,95,505005
2019,95,572498
2020,95,502179
2008,96,124020
2009,96,102761
2010,96,116557
2011,96,60575
2012,96,12691
2013,96,11671
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,55815
2009,97,51280
2010,97,56660
2011,97,38896
2012,97,41753
2013,97,51632
2014,97,47340
2015,97,40947
2016,97,42290
2017,97,43856
2018,97,43579
2019,97,37968
2020,97,34745
2008,98,88424
2009,98,105407
2010,98,127563
2011,98,140691
2012,98,150843
2013,98,155820
2014,98,159968
2015,98,181419
2016,98,206673
2017,98,227029
2018,98,241013
2019,98,255231
2020,98,261343
2008,99,
2009,99,
2010,99,
2011,99,
2012,99,1560
2013,99,169169
2014,99,174105
2015,99,176660
2016,99,140989
2017,99,153329
2018,99,
2019,99,
2020,99,
2008,100,362652
2009,100,337854
2010,100,396079
2011,100,427457
2012,100,378593
2013,100,622543
2014,100,661516
2015,100,710837
2016,100,703972
2017,100,770179
2018,100,790145
2019,100,792594
2020,100,898236
2008,101,22144
2009,101,20210
2010,101,22389
2011,101,20352
