Date,Id,International_Sales
2012,48,1097000
2013,48,1227000
2014,48,932000
2015,48,1196000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,
2011,49,
2012,49,
2013,49,
2014,49,
2015,49,
2016,49,
2017,49,
2018,49,
2019,49,
2020,49,
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,0
2013,50,0
2014,50,0
2015,50,0
2016,50,0
2017,50,
2018,50,
2019,50,
2020,50,
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,0
2016,52,
2017,52,0
2018,52,0
2019,52,0
2020,52,
2008,53,155920
2009,53,127536
2010,53,138511
2011,53,147086
2012,53,139009
2013,53,125676
2014,53,126978
2015,53,160892
2016,53,184451
2017,53,177267
2018,53,101303
2019,53,120578
2020,53,107662
2008,54,190174
2009,54,124674
2010,54,162855
2011,54,184718
2012,54,124180
2013,54,126806
2014,54,147611
2015,54,179195
2016,54,205663
2017,54,246423
2018,54,280252
2019,54,326488
2020,54,335526
2008,55,340872
2009,55,272932
2010,55,349636
2011,55,380019
2012,55,423272
2013,55,412697
2014,55,420057
2015,55,489270
2016,55,525699
2017,55,547078
2018,55,578002
2019,55,564530
2020,55,435128
2008,56,279697
2009,56,
2010,56,195811
2011,56,261477
2012,56,304080
2013,56,292617
2014,56,140714
2015,56,135826
2016,56,167792
2017,56,207263
2018,56,173787
2019,56,164784
2020,56,143101
2008,57,128200
2009,57,139629
2010,57,149510
2011,57,184682
2012,57,234008
2013,57,225685
2014,57,235190
2015,57,251104
2016,57,272794
2017,57,
2018,57,117129
2019,57,
2020,57,
2008,58,1550000
2009,58,1095000
2010,58,1408000
2011,58,2732000
2012,58,6843000
2013,58,6245000
2014,58,6840000
2015,58,6245000
2016,58,6192000
2017,58,6566000
2018,58,8844000
2019,58,10227000
2020,58,8995000
2008,59,41866
2009,59,35244
2010,59,39655
2011,59,44194
2012,59,49038
2013,59,50734
2014,59,54351
2015,59,55652
2016,59,45620
2017,59,47900
2018,59,50045
2019,59,50340
2020,59,81182
2008,60,53455
2009,60,48928
2010,60,54103
2011,60,56506
2012,60,62154
2013,60,67356
2014,60,72686
2015,60,85673
2016,60,85133
2017,60,90186
2018,60,87611
2019,60,81580
2020,60,64121
2008,61,78900
2009,61,59940
2010,61,80439
2011,61,90639
2012,61,88593
2013,61,92773
2014,61,94670
2015,61,81678
2016,61,83701
2017,61,90538
2018,61,94108
2019,61,96820
2020,61,90308
2008,62,
2009,62,
2010,62,
2011,62,258712
2012,62,266209
2013,62,253132
2014,62,245180
2015,62,233664
2016,62,195241
2017,62,234511
2018,62,229597
2019,62,118372
2020,62,118993
2008,63,0
2009,63,0
2010,63,0
2011,63,0
2012,63,0
2013,63,0
2014,63,0
2015,63,0
2016,63,0
2017,63,0
2018,63,0
2019,63,0
2020,63,0
2008,64,8423000
2009,64,5396000
2010,64,8882000
2011,64,12148000
2012,64,11546000
2013,64,7255000
2014,64,6557000
2015,64,4975000
2016,64,4390000
2017,64,4813000
2018,64,4229000
2019,64,4159000
2020,64,3167000
2008,65,73565
2009,65,84606
2010,65,93373
2011,65,84700
2012,65,93669
2013,65,70135
2014,65,108491
2015,65,110914
2016,65,96084
2017,65,110122
2018,65,98608
2019,65,106607
2020,65,75649
2008,66,
2009,66,
2010,66,
2011,66,45914
2012,66,49857
2013,66,39093
2014,66,44073
2015,66,47985
2016,66,51520
2017,66,76938
2018,66,78245
2019,66,76331
2020,66,52999
2008,67,
2009,67,
2010,67,
2011,67,
2012,67,0
2013,67,0
2014,67,0
2015,67,0
2016,67,0
2017,67,0
2018,67,0
2019,67,0
2020,67,0
2008,68,14287
2009,68,11296
2010,68,0
2011,68,0
2012,68,0
2013,68,0
2014,68,
2015,68,
2016,68,
2017,68,
2018,68,
2019,68,
2020,68,
2008,69,2782200
2009,69,2973300
2010,69,3337700
2011,69,3512600
2012,69,4286400
2013,69,4231200
2014,69,4426100
2015,69,5323300
2016,69,5314500
2017,69,5458100
2018,69,
2019,69,
2020,69,
2008,70,
2009,70,
2010,70,
2011,70,
2012,70,1403
2013,70,1725
2014,70,2935
2015,70,3270
2016,70,3648
2017,70,4424
2018,70,4849
2019,70,5102
2020,70,6477
2008,71,
2009,71,
2010,71,
2011,71,
2012,71,
2013,71,11147
2014,71,11094
2015,71,9234
2016,71,9618
2017,71,10991
2018,71,14308
2019,71,13459
2020,71,9668
2008,72,
2009,72,
2010,72,
2011,72,
2012,72,467900
2013,72,474400
2014,72,502700
2015,72,587500
2016,72,505700
2017,72,530200
2018,72,552700
2019,72,586800
2020,72,706700
2008,73,0
2009,73,0
2010,73,0
2011,73,0
2012,73,0
2013,73,0
2014,73,0
2015,73,0
2016,73,0
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,
2015,75,
2016,75,
2017,75,
2018,75,
2019,75,
2020,75,
2008,76,
2009,76,0
2010,76,0
2011,76,0
2012,76,0
2013,76,0
2014,76,0
2015,76,0
2016,76,0
2017,76,0
2018,76,0
2019,76,0
2020,76,0
2008,77,0
2009,77,0
2010,77,0
2011,77,0
2012,77,0
2013,77,0
2014,77,0
2015,77,0
2016,77,0
2017,77,0
2018,77,0
2019,77,0
2020,77,0
2008,78,0
2009,78,0
2010,78,0
2011,78,0
2012,78,0
2013,78,0
2014,78,0
2015,78,0
2016,78,0
2017,78,0
2018,78,0
2019,78,0
2020,78,0
2008,79,
2009,79,0
2010,79,0
2011,79,0
2012,79,0
2013,79,0
2014,79,0
2015,79,0
2016,79,0
2017,79,0
2018,79,0
2019,79,0
2020,79,0
2008,80,0
2009,80,0
2010,80,0
2011,80,0
2012,80,0
2013,80,0
2014,80,0
2015,80,0
2016,80,0
2017,80,0
2018,80,0
2019,80,0
2020,80,
2008,81,
2009,81,
2010,81,
2011,81,
2012,81,
2013,81,
2014,81,0
2015,81,0
2016,81,0
2017,81,0
2018,81,0
2019,81,0
2020,81,0
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,0
2015,82,0
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,84542
2009,83,66582
2010,83,84220
2011,83,98330
2012,83,107836
2013,83,109390
2014,83,96519
2015,83,103521
2016,83,103887
2017,83,111409
2018,83,122432
2019,83,130251
2020,83,122561
2008,84,942400
2009,84,741200
2010,84,921500
2011,84,1255800
2012,84,1593400
2013,84,1405000
2014,84,1275600
2015,84,1406600
2016,84,1483800
2017,84,1585200
2018,84,1562800
2019,84,1503700
2020,84,1336200
2008,85,178894
2009,85,190347
2010,85,217918
2011,85,229942
2012,85,218310
2013,85,212964
2014,85,174036
2015,85,173628
2016,85,221031
2017,85,287767
2018,85,618767
2019,85,498381
2020,85,477488
2008,86,942400
2009,86,741200
2010,86,921500
2011,86,1255800
2012,86,1593400
2013,86,1405000
2014,86,1275600
2015,86,1406600
2016,86,1483800
2017,86,1585200
2018,86,1562800
2019,86,1503700
2020,86,1336200
2008,87,27049
2009,87,
2010,87,
2011,87,
2012,87,0
2013,87,
2014,87,
2015,87,
2016,87,
2017,87,
2018,87,
2019,87,
2020,87,
2008,88,1330
2009,88,457
2010,88,104
2011,88,40
2012,88,11
2013,88,12
2014,88,
2015,88,
2016,88,
2017,88,
2018,88,
2019,88,
2020,88,
2008,89,43452
2009,89,40528
2010,89,32993
2011,89,39889
2012,89,43137
2013,89,41425
2014,89,44953
2015,89,46465
2016,89,41808
2017,89,47434
2018,89,52147
2019,89,
2020,89,
2008,90,71036
2009,90,112451
2010,90,165048
2011,90,233511
2012,90,307368
2013,90,377710
2014,90,429443
2015,90,818423
2016,90,1745877
2017,90,1823362
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,6766
2013,91,13214
2014,91,21591
2015,91,23630
2016,91,23331
2017,91,25558
2018,91,37257
2019,91,41170
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,
2015,92,
2016,92,
2017,92,
2018,92,
2019,92,
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,169947
2009,95,170199
2010,95,179620
2011,95,269942
2012,95,622232
2013,95,269081
2014,95,273244
2015,95,785889
2016,95,
2017,95,
2018,95,0
2019,95,0
2020,95,0
2008,96,382420
2009,96,318358
2010,96,313244
2011,96,253924
2012,96,
2013,96,0
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,26705
2009,97,31489
2010,97,33181
2011,97,26238
2012,97,7572
2013,97,7832
2014,97,
2015,97,
2016,97,
2017,97,
2018,97,0
2019,97,0
2020,97,0
2008,98,193089
2009,98,247816
2010,98,308116
2011,98,338018
2012,98,325875
2013,98,318899
2014,98,323176
2015,98,263848
2016,98,323305
2017,98,359467
2018,98,359671
2019,98,381029
2020,98,489875
2008,99,
2009,99,
2010,99,
2011,99,
2012,99,
2013,99,58705
2014,99,72690
2015,99,72965
2016,99,71022
2017,99,73185
2018,99,
2019,99,
2020,99,
2008,100,1233194
2009,100,1138560
2010,100,1357084
2011,100,1538723
2012,100,1346116
2013,100,525800
2014,100,529506
2015,100,608632
2016,100,581155
2017,100,648578
2018,100,701715
2019,100,681194
2020,100,722808
2008,101,
2009,101,
2010,101,
2011,101,
2012,101,5671
2013,101,6902
2014,101,7128
2015,101,
2016,101,
2017,101,6236
2018,101,4138
2019,101,3204
2020,101,3468
2008,102,
2009,102,51283
2010,102,55275
2011,102,74167
2012,102,
2013,102,0
2014,102,0
2015,102,0
2016,102,0
2017,102,0
2018,102,0
2019,102,24984
2020,102,129041
2008,103,74004
2009,103,63123
2010,103,57950
2011,103,51343
2012,103,47831
2013,103,49800
2014,103,
2015,103,
2016,103,
2017,103,
2018,103,25500
2019,103,
2020,103,
2008,104,10547
2009,104,11110
2010,104,10486
2011,104,14998
2012,104,15686
2013,104,14541
2014,104,17527
2015,104,16327
2016,104,15787
2017,104,19367
2018,104,23402
2019,104,67916
2020,104,76062
2008,105,
2009,105,
2010,105,
2011,105,
2012,105,10299
2013,105,9714
2014,105,
2015,105,
2016,105,
2017,105,
2018,105,
2019,105,
2020,105,
2008,106,195456
2009,106,152851
2010,106,166983
2011,106,167543
2012,106,110850
2013,106,101190
2014,106,95986
2015,106,125455
2016,106,391879
2017,106,422155
2018,106,452825
2019,106,433953
2020,106,
2008,107,131514
2009,107,107749
2010,107,64390
2011,107,64471
2012,107,58637
2013,107,58914
2014,107,28684
2015,107,29972
2016,107,27292
2017,107,26034
2018,107,28386
2019,107,29167
2020,107,34744
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,
2014,108,0
2015,108,0
2016,108,0
2017,108,0
2018,108,0
2019,108,0
2020,108,0
2008,109,
2009,109,
2010,109,
2011,109,57794
2012,109,69740
2013,109,41048
2014,109,49522
2015,109,72764
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,
2009,110,
2010,110,
2011,110,
2012,110,
2013,110,0
2014,110,
2015,110,
2016,110,
2017,110,
2018,110,
2019,110,
2020,110,
2008,111,14608
2009,111,3677
2010,111,860
2011,111,1059
2012,111,1096
2013,111,939
2014,111,645
2015,111,
2016,111,
2017,111,
2018,111,
2019,111,
2020,111,
2008,112,516439
2009,112,468835
2010,112,461206
2011,112,610957
2012,112,681379
2013,112,699064
2014,112,777113
2015,112,991050
2016,112,1134747
2017,112,1279496
2018,112,1332718
2019,112,1402692
2020,112,
2008,113,
2009,113,112635
2010,113,327522
2011,113,388530
2012,113,383061
2013,113,378418
2014,113,427143
2015,113,519109
2016,113,618487
2017,113,690121
2018,113,740160
2019,113,705872
