Id,name
145,POLIGRAFICI PRINTING SPA
146,CLASS EDITORI SPA
147,ARNOLDO MONDADORI EDITORE SPA
148,POLIGRAFICI EDITORIALE SPA
149,GEDI GRUPPO EDITORIALE SPA
150,MEDIASET
151,TRIBOO SPA
152,MONDO TV FRANCE SA
153,RIZZOLI CORRIERE DELLA SERA MEDIAGROUP SPA
154,NOTORIOUS PICTURES SPA
155,LUCISANO MEDIA GROUP SPA
156,RAI WAY SPA
157,AXELERO SPA
158,CALEIDO GROUP SPA
159,MONDO TV SUISSE SA
160,GIGLIO GROUP SPA
161,DIGITOUCH SPA
162,GAMBERO ROSSO SPA
163,BFC MEDIA SPA
164,SOFTLAB SPA
165,
166,INFRASTRUTTURE WIRELESS ITALIANE SPA
167,SARAS
168,GAS PLUS SPA
169,ENI - ENTE NAZIONALE IDROCARBURI
170,ERG SPA
171,MAIRE TECNIMONT SPA
172,ROSETTI MARINO SPA
173,SAIPEM SPA
174,LUXOTTICA GROUP SPA
175,TOD'S SPA
176,BASICNET SPA
177,GEOX SPA
178,SAFILO GROUP
179,RATTI SPA
180,AEFFE S.P.A.
181,GIORGIO FEDON E FIGLI S.P.A.
182,STEFANEL S.P.A.
183,SALVATORE FERRAGAMO SPA
184,GIOVANNI CRESPI SPA
185,BRUNELLO CUCINELLI SPA
186,CSP INTERNATIONAL SPA
187,ITALIA INDEPENDENT GROUP SPA
188,MONCLER SPA
189,OVS SPA
190,COVER 50 SPA
191,PIERREL
192,NEWRON PHARMACEUTICALS SPA
193,MOLMED S.P.A.
194,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA
195,BIODUE SPA
196,REPLY SPA
197,ENGINEERING INGEGNERIA INFORMATICA SPA
198,BE THINK SOLVE EXECUTE SPA
199,CAD IT SPA
200,TISCALI SPA
201,REGISTER SPA
202,TXT E-SOLUTIONS SPA
203,TAS TECNOLOGIA AVANZATA DEI SISTEMI SPA
204,FULLSIX SPA
205,EXPRIVIA S.P.A.
206,NOEMALIFE SPA
207,BEST UNION COMPANY SPA
208,NEUROSOFT SOFTWARE PRODUCTION SA
209,SESA SPA
210,SOFTEC SPA
211,PRISMI SPA
212,EXPERTAI SPA
213,MC LINK SPA
214,GROWENS SPA
215,TECH-VALUE SPA
216,GO INTERNET SPA
217,PITECO SPA
218,FIERA MILANO SPA
219,POLIGRAFICA S FAUSTINO SPA
220,BIANCAMANO SPA
221,SERVIZI ITALIA S.P.A.
222,WM CAPITAL SPA
223,ZEPHYRO SPA
224,
225,CDR ADVANCE CAPITAL SPA
226,AMBIENTHESIS SPA
227,CERVED GROUP SPA
228,BASTOGI S.P.A.
229,BOMI ITALIA SPA
230,OPENJOBMETIS SPA AGENZIA PER IL LAVORO
231,IT WAY SPA
232,ESPRINET SPA
233,EI TOWERS SPA
234,EUROTECH SPA
235,EEMS ITALIA SPA
236,OLIDATA SPA
237,JUVENTUS FC SPA
238,A.S. ROMA SPA
239,FNM S.P.A.
240,SOCIETA SPORTIVA LAZIO SPA
241,I GRANDI VIAGGI SPA
242,AUTOGRILL SOCIETA PER AZIONI
243,
244,SNAITECH SPA
245,BANCA SISTEMA SPA
246,POSTE ITALIANE SPA
247,
248,
249,DEA CAPITAL S.P.A.
250,EQUITA GROUP SPA
251,
252,
253,GPI SPA
254,GRUPPO MUTUIONLINE S.P.A.
255,LVENTURE GROUP SPA
256,
257,TECHNOGYM SPA
258,WIIT SPA
259,
260,
261,
262,ENAV SPA
263,ITALIAONLINE SPA
264,BANCA MEDIOLANUM SPA
265,H-FARM SPA
266,ASSITECA SPA INTERNAZIONALE DI BROKERAGGIO ASSICURATIVO
267,
268,
269,ITALGAS SPA
270,4AIM SOCIETA DI INVESTIMENTO PER AZIONI A CAPITALE FISSO
271,VETRYA SPA
272,SOLUTIONS CAPITAL MANAGEMENT SIM SPA
273,DHH SPA
274,COIMA RES SPA SIIQ
275,SMRE SPA
276,
277,SITI B&T GROUP SPA
278,ILLA SPA
279,GEL SPA
280,
281,
282,
283,
284,
285,
286,SIRTI SPA
287,
288,CULTI MILANO SPA
289,
290,DIGITAL360 SPA
291,
292,INDEL B SPA
293,AVIO SPA
294,BFF BANK SPA
295,
296,TECHNICAL PUBLICATIONS SERVICE SPA
297,TELESIA SPA
298,ORSERO SPA
299,HEALTH ITALIA SPA
300,
301,
302,FERVI SPA
303,
304,
305,
306,
307,
308,ESAUTOMOTION SPA
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,REJNA SPA
319,
320,CIRCLE SPA
321,
322,
323,
324,
325,
