Date,Id,auditor fees
2013,59,162
2014,59,180
2015,59,195
2016,59,181
2017,59,237
2018,59,238
2019,59,162
2020,59,
2008,60,463
2009,60,479
2010,60,207
2011,60,464
2012,60,
2013,60,544
2014,60,528
2015,60,462
2016,60,475
2017,60,547
2018,60,451
2019,60,516
2020,60,
2008,61,178
2009,61,98
2010,61,183
2011,61,198
2012,61,191
2013,61,205
2014,61,108
2015,61,113
2016,61,93
2017,61,352
2018,61,212
2019,61,141
2020,61,140
2008,62,99
2009,62,99
2010,62,160
2011,62,191
2012,62,224
2013,62,
2014,62,
2015,62,
2016,62,
2017,62,227
2018,62,209
2019,62,197
2020,62,116
2008,63,158
2009,63,59
2010,63,66
2011,63,68
2012,63,
2013,63,70
2014,63,70
2015,63,99
2016,63,125
2017,63,117
2018,63,160
2019,63,181
2020,63,433
2008,64,7732
2009,64,6877
2010,64,7470
2011,64,7503
2012,64,
2013,64,4564
2014,64,8875
2015,64,11429
2016,64,6422
2017,64,6845
2018,64,6663
2019,64,5515
2020,64,5968
2008,65,80
2009,65,105
2010,65,129
2011,65,123
2012,65,
2013,65,
2014,65,
2015,65,
2016,65,141
2017,65,155
2018,65,195
2019,65,163
2020,65,170
2008,66,
2009,66,
2010,66,36
2011,66,
2012,66,
2013,66,
2014,66,
2015,66,641
2016,66,479
2017,66,881
2018,66,602
2019,66,892
2020,66,476
2008,67,
2009,67,
2010,67,
2011,67,
2012,67,122
2013,67,85
2014,67,85
2015,67,86
2016,67,65
2017,67,95
2018,67,52
2019,67,104
2020,67,
2008,68,148
2009,68,183
2010,68,925
2011,68,520
2012,68,
2013,68,
2014,68,
2015,68,
2016,68,
2017,68,
2018,68,
2019,68,
2020,68,
2008,69,4900
2009,69,4100
2010,69,4300
2011,69,4000
2012,69,4700
2013,69,4800
2014,69,3400
2015,69,5400
2016,69,3700
2017,69,37700
2018,69,
2019,69,
2020,69,
2008,70,
2009,70,
2010,70,
2011,70,
2012,70,82
2013,70,
2014,70,69
2015,70,57
2016,70,70
2017,70,149
2018,70,118
2019,70,113
2020,70,130
2008,71,
2009,71,
2010,71,
2011,71,
2012,71,
2013,71,37
2014,71,33
2015,71,35
2016,71,
2017,71,
2018,71,
2019,71,
2020,71,
2008,72,
2009,72,
2010,72,
2011,72,
2012,72,203
2013,72,45
2014,72,216
2015,72,196
2016,72,142
2017,72,68
2018,72,95
2019,72,319
2020,72,84
2008,73,
2009,73,
2010,73,
2011,73,
2012,73,
2013,73,
2014,73,
2015,73,
2016,73,
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,
2015,75,
2016,75,
2017,75,
2018,75,
2019,75,
2020,75,
2008,76,564
2009,76,2491
2010,76,200
2011,76,200
2012,76,1107
2013,76,965
2014,76,1513
2015,76,
2016,76,200
2017,76,200
2018,76,200
2019,76,400
2020,76,200
2008,77,536
2009,77,1123
2010,77,1614
2011,77,1602
2012,77,1015
2013,77,248
2014,77,274
2015,77,1118
2016,77,1485
2017,77,337
2018,77,1565
2019,77,1611
2020,77,1698
2008,78,763
2009,78,879
2010,78,1447
2011,78,1554
2012,78,1577
2013,78,796
2014,78,1608
2015,78,1522
2016,78,279
2017,78,245
2018,78,1052
2019,78,1121
2020,78,1288
2008,79,
2009,79,
2010,79,275
2011,79,257
2012,79,254
2013,79,265
2014,79,328
2015,79,245
2016,79,
2017,79,522
2018,79,400
2019,79,303
2020,79,341
2008,80,387
2009,80,228
2010,80,306
2011,80,511
2012,80,463
2013,80,589
2014,80,515
2015,80,352
2016,80,363
2017,80,392
2018,80,378
2019,80,520
2020,80,355
2008,81,
2009,81,
2010,81,
2011,81,
2012,81,
2013,81,
2014,81,
2015,81,1664
2016,81,
2017,81,
2018,81,2277
2019,81,
2020,81,
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,70
2014,82,95
2015,82,69
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,242
2009,83,158
2010,83,211
2011,83,194
2012,83,198
2013,83,201
2014,83,207
2015,83,204
2016,83,
2017,83,
2018,83,
2019,83,
2020,83,
2008,84,
2009,84,1817
2010,84,3624
2011,84,4034
2012,84,197
2013,84,3827
2014,84,4464
2015,84,3116
2016,84,2446
2017,84,2859
2018,84,2804
2019,84,3390
2020,84,2341
2008,85,498
2009,85,442
2010,85,437
2011,85,455
2012,85,575
2013,85,385
2014,85,377
2015,85,334
2016,85,411
2017,85,395
2018,85,646
2019,85,515
2020,85,501
2008,86,
