Date,Id,funds from operations
2015,49,2503
2016,49,1618
2017,49,482
2018,49,794
2019,49,1039
2020,49,1284
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,8265
2013,50,9503
2014,50,12208
2015,50,5507
2016,50,7088
2017,50,7489
2018,50,8771
2019,50,13157
2020,50,10370
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,2659
2015,52,2646
2016,52,3588
2017,52,8677
2018,52,6067
2019,52,4188
2020,52,4036
2008,53,27402
2009,53,2164
2010,53,15963
2011,53,19318
2012,53,13668
2013,53,6117
2014,53,16642
2015,53,21957
2016,53,27097
2017,53,39596
2018,53,25290
2019,53,26421
2020,53,19993
2008,54,15365
2009,54,-2033
2010,54,9073
2011,54,10402
2012,54,11055
2013,54,6687
2014,54,15634
2015,54,18558
2016,54,24293
2017,54,26892
2018,54,28380
2019,54,36361
2020,54,33341
2008,55,31528
2009,55,-4439
2010,55,42365
2011,55,35988
2012,55,33747
2013,55,42568
2014,55,46990
2015,55,49210
2016,55,70479
2017,55,80044
2018,55,75106
2019,55,72884
2020,55,37455
2008,56,12608
2009,56,-240
2010,56,1541
2011,56,7839
2012,56,16657
2013,56,18514
2014,56,20422
2015,56,19016
2016,56,22242
2017,56,30376
2018,56,34551
2019,56,27764
2020,56,21522
2008,57,38185
2009,57,32820
2010,57,35025
2011,57,33484
2012,57,32401
2013,57,20014
2014,57,20319
2015,57,26261
2016,57,14401
2017,57,22787
2018,57,15676
2019,57,
2020,57,
2008,58,351000
2009,58,248000
2010,58,239000
2011,58,245000
2012,58,348000
2013,58,303000
2014,58,254000
2015,58,354000
2016,58,480000
2017,58,449000
2018,58,374000
2019,58,614000
2020,58,523000
2008,59,13746
2009,59,9235
2010,59,13973
2011,59,14138
2012,59,14812
2013,59,15587
2014,59,19929
2015,59,21172
2016,59,22575
2017,59,28868
2018,59,32856
2019,59,30046
2020,59,31513
2008,60,-8293
2009,60,-3577
2010,60,8485
2011,60,23814
2012,60,-5916
2013,60,-7625
2014,60,11691
2015,60,5712
2016,60,10225
2017,60,13854
2018,60,838
2019,60,2059
2020,60,6223
2008,61,9751
2009,61,-3449
2010,61,14744
2011,61,14952
2012,61,5666
2013,61,-1954
2014,61,4154
2015,61,2402
2016,61,9084
2017,61,16637
2018,61,18254
2019,61,18318
2020,61,18556
2008,62,10123
2009,62,-10892
2010,62,24215
2011,62,21117
2012,62,8792
2013,62,6106
2014,62,11754
2015,62,4642
2016,62,8230
2017,62,5082
2018,62,10545
2019,62,5252
2020,62,9952
2008,63,9997
2009,63,9301
2010,63,8852
2011,63,10431
2012,63,9531
2013,63,8869
2014,63,7664
2015,63,13207
2016,63,14453
2017,63,23233
2018,63,31594
2019,63,34095
2020,63,50557
2008,64,7472000
2009,64,7563000
2010,64,8193000
2011,64,8552000
2012,64,8305000
2013,64,6678000
2014,64,5321000
2015,64,4415000
2016,64,6086000
2017,64,6090000
2018,64,5291000
2019,64,6275000
2020,64,4379000
2008,65,18958
2009,65,34572
2010,65,33164
2011,65,35393
2012,65,32537
2013,65,41129
2014,65,43663
2015,65,44278
2016,65,49216
2017,65,56344
