Date,Id,accounting standards
2020,54,IFRS
2008,55,IFRS
2009,55,IFRS
2010,55,IFRS
2011,55,IFRS
2012,55,IFRS
2013,55,IFRS
2014,55,IFRS
2015,55,IFRS
2016,55,IFRS
2017,55,IFRS
2018,55,IFRS
2019,55,IFRS
2020,55,IFRS
2008,56,IFRS
2009,56,IFRS
2010,56,IFRS
2011,56,IFRS
2012,56,IFRS
2013,56,IFRS
2014,56,IFRS
2015,56,IFRS
2016,56,IFRS
2017,56,IFRS
2018,56,IFRS
2019,56,IFRS
2020,56,IFRS
2008,57,IFRS
2009,57,IFRS
2010,57,IFRS
2011,57,IFRS
2012,57,IFRS
2013,57,IFRS
2014,57,IFRS
2015,57,IFRS
2016,57,IFRS
2017,57,IFRS
2018,57,IFRS
2019,57,
2020,57,
2008,58,IFRS
2009,58,IFRS
2010,58,IFRS
2011,58,IFRS
2012,58,IFRS
2013,58,IFRS
2014,58,IFRS
2015,58,IFRS
2016,58,IFRS
2017,58,IFRS
2018,58,IFRS
2019,58,IFRS
2020,58,IFRS
2008,59,IFRS
2009,59,IFRS
2010,59,IFRS
2011,59,IFRS
2012,59,IFRS
2013,59,IFRS
2014,59,IFRS
2015,59,IFRS
2016,59,IFRS
2017,59,IFRS
2018,59,IFRS
2019,59,IFRS
2020,59,IFRS
2008,60,IFRS
2009,60,IFRS
2010,60,IFRS
2011,60,IFRS
2012,60,IFRS
2013,60,IFRS
2014,60,IFRS
2015,60,IFRS
2016,60,IFRS
2017,60,IFRS
2018,60,IFRS
2019,60,IFRS
2020,60,IFRS
2008,61,IFRS
2009,61,IFRS
2010,61,IFRS
2011,61,IFRS
2012,61,IFRS
2013,61,IFRS
2014,61,IFRS
2015,61,IFRS
2016,61,IFRS
2017,61,IFRS
2018,61,IFRS
2019,61,IFRS
2020,61,IFRS
2008,62,IFRS
2009,62,IFRS
2010,62,IFRS
2011,62,IFRS
2012,62,IFRS
2013,62,IFRS
2014,62,IFRS
2015,62,IFRS
2016,62,IFRS
