Date,Id,salaries
2020,59,41461
2008,60,35922
2009,60,34540
2010,60,36784
2011,60,36930
2012,60,38619
2013,60,37905
2014,60,34473
2015,60,36537
2016,60,37162
2017,60,37719
2018,60,40948
2019,60,38063
2020,60,32182
2008,61,38386
2009,61,40262
2010,61,36386
2011,61,42082
2012,61,44213
2013,61,45720
2014,61,46358
2015,61,46313
2016,61,43483
2017,61,43979
2018,61,45897
2019,61,49250
2020,61,46118
2008,62,28943
2009,62,26272
2010,62,28795
2011,62,30209
2012,62,29851
2013,62,29561
2014,62,31571
2015,62,32369
2016,62,30764
2017,62,31763
2018,62,31413
2019,62,30195
2020,62,28525
2008,63,4537
2009,63,4176
2010,63,4534
2011,63,4848
2012,63,5093
2013,63,4755
2014,63,5221
2015,63,6096
2016,63,6354
2017,63,6482
2018,63,7242
2019,63,7513
2020,63,35167
2008,64,4241702
2009,64,3740671
2010,64,4021000
2011,64,3905000
2012,64,3894000
2013,64,3068000
2014,64,3107000
2015,64,3150000
2016,64,2947000
2017,64,2929000
2018,64,2889000
2019,64,2821000
2020,64,2601000
2008,65,37948
2009,65,37271
2010,65,37187
2011,65,36874
2012,65,37023
2013,65,41457
2014,65,37083
2015,65,35806
2016,65,38354
2017,65,37512
2018,65,37890
2019,65,38604
2020,65,27826
2008,66,
2009,66,
2010,66,
2011,66,81726
2012,66,85230
2013,66,87923
2014,66,92463
2015,66,93872
2016,66,98156
2017,66,109352
2018,66,115259
2019,66,126150
2020,66,95896
2008,67,14275
2009,67,14174
2010,67,14041
2011,67,14627
2012,67,14577
2013,67,14133
2014,67,14298
2015,67,14672
2016,67,18206
2017,67,26296
2018,67,26505
2019,67,25999
2020,67,
2008,68,10716
2009,68,8258
2010,68,4545
2011,68,4139
2012,68,4778
2013,68,4903
2014,68,5422
2015,68,5911
2016,68,5510
2017,68,5888
2018,68,4720
2019,68,4058
2020,68,2341
2008,69,1977400
2009,69,2016600
2010,69,2074300
2011,69,591400
2012,69,703700
2013,69,716600
2014,69,725200
2015,69,838300
2016,69,828600
2017,69,861500
2018,69,
2019,69,
2020,69,
2008,70,4661
2009,70,5018
2010,70,5832
2011,70,6298
2012,70,6661
2013,70,6896
2014,70,7911
2015,70,8196
2016,70,8629
2017,70,8406
2018,70,9853
2019,70,9650
2020,70,10711
2008,71,6157
2009,71,6692
2010,71,7367
2011,71,7880
2012,71,8048
2013,71,9534
2014,71,10301
2015,71,10747
2016,71,11819
2017,71,11799
2018,71,13040
2019,71,12839
2020,71,11903
2008,72,36845
2009,72,35329
2010,72,34869
2011,72,36922
2012,72,40579
2013,72,39857
2014,72,43878
2015,72,53854
2016,72,51480
2017,72,53266
2018,72,53402
2019,72,57459
2020,72,58158
2008,73,3032
2009,73,2913
2010,73,3220
2011,73,3168
2012,73,3058
2013,73,3131
2014,73,3432
2015,73,3194
2016,73,3950
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,4266
2015,75,4796
2016,75,4928
2017,75,5281
2018,75,4047
2019,75,3577
2020,75,2021
2008,76,146125
2009,76,275247
2010,76,399600
2011,76,387000
2012,76,343000
2013,76,373000
2014,76,343000
2015,76,389000
2016,76,167000
2017,76,171000
2018,76,201000
2019,76,180000
2020,76,188000
2008,77,137912
2009,77,143273
2010,77,200470
2011,77,262565
2012,77,261142
2013,77,273586
2014,77,270604
2015,77,357722
2016,77,359956
2017,77,389552
2018,77,393618
2019,77,442721
2020,77,449341
2008,78,331078
2009,78,352044
2010,78,361931
2011,78,369996
2012,78,382082
2013,78,482703
2014,78,496918
2015,78,511000
2016,78,524100
2017,78,551600
2018,78,551400
2019,78,560400
2020,78,572700
2008,79,15350
2009,79,22078
2010,79,22948
2011,79,24516
2012,79,20720
2013,79,20704
2014,79,18663
2015,79,19425
2016,79,19197
2017,79,18827
2018,79,30202
2019,79,46929
2020,79,43774
2008,80,15931
2009,80,18998
2010,80,21750
2011,80,24323
2012,80,25442
2013,80,28196
2014,80,23557
2015,80,22409
2016,80,25232
2017,80,25858
2018,80,26987
2019,80,15209
2020,80,17650
2008,81,223000
2009,81,240000
2010,81,253000
2011,81,214000
2012,81,218000
2013,81,226000
2014,81,221000
2015,81,232000
2016,81,295000
2017,81,311000
2018,81,337000
2019,81,308000
2020,81,321000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,2258
2013,82,4119
2014,82,5920
2015,82,7685
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,51401
2009,83,51367
2010,83,55084
2011,83,63360
2012,83,68055
2013,83,66567
2014,83,53895
2015,83,57115
2016,83,57897
2017,83,63924
2018,83,67474
2019,83,72130
2020,83,67096
2008,84,690604
2009,84,667570
2010,84,684344
2011,84,722935
2012,84,748354
2013,84,714147
2014,84,658094
2015,84,689896
2016,84,693250
2017,84,712529
2018,84,764907
2019,84,545671
2020,84,552753
2008,85,67862
2009,85,76940
2010,85,79942
2011,85,72660
2012,85,85685
2013,85,86306
2014,85,77443
2015,85,64631
2016,85,76587
2017,85,87939
2018,85,91583
2019,85,104842
2020,85,108677
2008,86,690604
2009,86,667570
2010,86,684344
2011,86,722935
2012,86,748354
2013,86,714147
2014,86,658094
2015,86,689896
2016,86,693250
2017,86,712529
2018,86,764907
2019,86,545671
2020,86,552753
2008,87,9780
2009,87,8474
2010,87,8860
2011,87,8191
2012,87,8525
2013,87,7339
2014,87,7129
2015,87,5278
2016,87,5462
2017,87,6791
2018,87,6359
2019,87,6466
2020,87,
2008,88,1805
2009,88,1266
2010,88,1098
2011,88,1064
2012,88,971
2013,88,
2014,88,
2015,88,
2016,88,
2017,88,
2018,88,
2019,88,
2020,88,
2008,89,24249
2009,89,28251
2010,89,27017
2011,89,26121
2012,89,26054
2013,89,27251
2014,89,25502
2015,89,25051
2016,89,28704
2017,89,29832
2018,89,31845
2019,89,
2020,89,
2008,90,11167
2009,90,14580
2010,90,20916
2011,90,24322
2012,90,31029
2013,90,35661
2014,90,34752
2015,90,75618
2016,90,215292
2017,90,244541
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,3561
2013,91,6306
2014,91,8951
2015,91,9221
2016,91,8232
2017,91,9713
2018,91,12601
2019,91,13787
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
