Date,Id,number of shares
2010,86,719210
2011,86,719210
2012,86,719210
2013,86,719210
2014,86,719210
2015,86,719210
2016,86,719210
2017,86,719210
2018,86,719210
2019,86,719210
2020,86,1277206
2008,87,7650
2009,87,7650
2010,87,7650
2011,87,7650
2012,87,1530
2013,87,1530
2014,87,1530
2015,87,1530
2016,87,109513
2017,87,109513
2018,87,109513
2019,87,129644
2020,87,140365
2008,88,139723
2009,88,148455
2010,88,152822
2011,88,162427
2012,88,189255
2013,88,225005
2014,88,246879
2015,88,265621
2016,88,296544
2017,88,319402
2018,88,1072032
2019,88,1484348
2020,88,1484348
2008,89,82600
2009,89,82600
2010,89,82600
2011,89,82600
2012,89,82600
2013,89,82600
2014,89,82600
2015,89,82600
2016,89,82600
2017,89,82600
2018,89,82600
2019,89,82600
2020,89,82600
2008,90,
2009,90,50404
2010,90,51764
2011,90,53074
2012,90,57313
2013,90,58207
2014,90,61936
2015,90,85220
2016,90,90835
2017,90,91163
2018,90,96009
2019,90,96009
2020,90,96009
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,13211
2014,91,13211
2015,91,13211
2016,91,13211
2017,91,14760
2018,91,14760
2019,91,620
2020,91,620
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,2916
2015,92,2983
2016,92,2983
2017,92,2983
2018,92,2983
2019,92,2983
2020,92,2983
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,5600
2015,93,5600
2016,93,5600
2017,93,5600
2018,93,5600
2019,93,5600
2020,93,5600
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,198420
2009,95,198420
2010,95,218262
2011,95,220672
2012,95,223289
2013,95,224101
2014,95,224598
2015,95,225398
2016,95,226212
2017,95,226330
2018,95,226354
2019,95,226389
2020,95,226389
2008,96,180503
2009,96,180503
2010,96,180503
2011,96,180503
2012,96,180503
2013,96,180503
2014,96,180503
2015,96,180503
