Date,Id,Market_Cap_Fis_Period_End
2019,52,32174
2020,52,
2008,53,131282
2009,53,133292
2010,53,153027
2011,53,146743
2012,53,152586
2013,53,154019
2014,53,134615
2015,53,284665
2016,53,263056
2017,53,525892
2018,53,400868
2019,53,550852
2020,53,418357
2008,54,65578
2009,54,56419
2010,54,59865
2011,54,47212
2012,54,74594
2013,54,75459
2014,54,127990
2015,54,193940
2016,54,452912
2017,54,502313
2018,54,244499
2019,54,639032
2020,54,520704
2008,55,264588
2009,55,223628
2010,55,329674
2011,55,322957
2012,55,375416
2013,55,472401
2014,55,518464
2015,55,954019
2016,55,1086716
2017,55,1794632
2018,55,1174031
2019,55,966620
2020,55,793693
2008,56,60000
2009,56,50368
2010,56,62598
2011,56,57461
2012,56,79944
2013,56,96970
2014,56,141419
2015,56,155362
2016,56,165845
2017,56,354335
2018,56,178592
2019,56,170286
2020,56,144951
2008,57,193662
2009,57,331992
2010,57,336419
2011,57,264487
2012,57,288612
2013,57,304326
2014,57,295694
2015,57,271569
2016,57,281972
2017,57,385111
2018,57,386217
2019,57,
2020,57,
2008,58,1970447
2009,58,2172338
2010,58,2282260
2011,58,2028048
2012,58,3174159
2013,58,3958147
2014,58,3240314
2015,58,4335919
2016,58,5224103
2017,58,5736760
2018,58,4437603
2019,58,5657309
2020,58,7659230
2008,59,56143
2009,59,79220
2010,59,106165
2011,59,92650
2012,59,107695
2013,59,152830
2014,59,173570
2015,59,236300
2016,59,235394
2017,59,361051
2018,59,338579
2019,59,401279
2020,59,315586
2008,60,101599
2009,60,137557
2010,60,131880
2011,60,89447
2012,60,67593
2013,60,84626
2014,60,79984
2015,60,95204
2016,60,73450
2017,60,82873
2018,60,56178
2019,60,43030
2020,60,59963
2008,61,42529
2009,61,31774
2010,61,59928
2011,61,40355
2012,61,37098
2013,61,39310
2014,61,42772
2015,61,24461
2016,61,40023
2017,61,140663
2018,61,96441
2019,61,98022
2020,61,88536
2008,62,38719
2009,62,40690
2010,62,41167
2011,62,48756
2012,62,36855
2013,62,44090
2014,62,45890
2015,62,57028
2016,62,48036
2017,62,70050
2018,62,48169
2019,62,47463
2020,62,44920
2008,63,53911
2009,63,70186
2010,63,56711
2011,63,55812
2012,63,77244
2013,63,91988
2014,63,95274
2015,63,99545
2016,63,175763
2017,63,273501
2018,63,224222
2019,63,249360
2020,63,352975
2008,64,22287741
2009,64,20938355
2010,64,18635896
2011,64,16022298
2012,64,13168748
2013,64,13901563
2014,64,17053346
2015,64,22752640
2016,64,17633213
2017,64,15178889
2018,64,10181758
2019,64,11721768
2020,64,7999369
2008,65,355516
2009,65,391626
2010,65,570984
2011,65,426839
2012,65,519974
2013,65,795099
2014,65,979250
2015,65,1269299
2016,65,1154211
2017,65,1431621
2018,65,1370417
2019,65,1353786
2020,65,1121614
2008,66,
2009,66,
2010,66,
2011,66,183750
2012,66,286901
2013,66,279258
2014,66,282754
2015,66,343077
2016,66,331382
2017,66,481638
2018,66,407256
2019,66,322393
2020,66,204553
2008,67,21200
2009,67,23975
2010,67,24050
2011,67,17350
2012,67,14510
2013,67,17450
2014,67,26840
2015,67,33280
2016,67,44968
2017,67,48468
2018,67,38220
2019,67,33880
2020,67,35000
2008,68,32229
2009,68,14408
2010,68,9045
2011,68,15660
2012,68,10037
2013,68,13853
2014,68,9144
2015,68,13194
2016,68,7398
2017,68,7498
2018,68,2870
2019,68,3778
2020,68,3173
2008,69,1965833
2009,69,3344626
2010,69,3552477
2011,69,2334684
2012,69,3096083
2013,69,4509664
2014,69,4371357
2015,69,4428749
2016,69,5488834
2017,69,5744612
2018,69,
2019,69,
2020,69,
2008,70,24257
2009,70,46424
2010,70,43914
2011,70,41823
2012,70,39523
2013,70,105185
2014,70,158510
2015,70,220303
2016,70,169101
2017,70,175682
2018,70,118360
2019,70,127896
2020,70,140447
2008,71,26255
2009,71,24920
2010,71,22143
2011,71,33820
2012,71,35600
2013,71,56782
2014,71,59452
2015,71,50410
2016,71,45710
2017,71,60876
2018,71,57672
2019,71,60698
2020,71,59808
2008,72,26466
2009,72,62263
2010,72,52149
2011,72,44954
2012,72,43212
2013,72,108384
2014,72,245092
2015,72,404550
2016,72,278070
2017,72,508090
2018,72,244570
2019,72,287056
2020,72,418096
2008,73,162788
2009,73,196875
2010,73,165488
2011,73,110250
2012,73,204187
2013,73,196144
2014,73,127687
2015,73,149153
2016,73,145766
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,13171
2015,75,10916
2016,75,11070
2017,75,9777
2018,75,5365
2019,75,2747
2020,75,1641
2008,76,6973622
2009,76,11714311
2010,76,12561132
2011,76,11507631
2012,76,11872863
2013,76,13742939
2014,76,14347995
2015,76,16902638
2016,76,13584449
2017,76,13932069
2018,76,12605911
2019,76,15428318
2020,76,15046262
2008,77,775879
2009,77,1106616
2010,77,1599111
2011,77,928454
2012,77,588595
2013,77,1420439
2014,77,1155622
2015,77,1901576
2016,77,1985807
2017,77,3190564
2018,77,2726752
2019,77,3582261
2020,77,2732045
2008,78,1576570
2009,78,1800524
2010,78,1717961
2011,78,1219193
2012,78,1347867
2013,78,2328915
2014,78,2859880
2015,78,3612755
2016,78,3219581
2017,78,4290046
2018,78,3902370
2019,78,5754311
2020,78,4352729
2008,79,43121
2009,79,80910
2010,79,84128
2011,79,49841
2012,79,47082
2013,79,80450
2014,79,84281
2015,79,122591
2016,79,122591
2017,79,176837
2018,79,326604
2019,79,394688
2020,79,449944
2008,80,340556
2009,80,341033
2010,80,355494
2011,80,302291
2012,80,283586
2013,80,398175
2014,80,405767
2015,80,485527
2016,80,605574
2017,80,788314
2018,80,692547
2019,80,854390
2020,80,787504
2008,81,6138373
2009,81,6826294
2010,81,6482333
2011,81,4270402
2012,81,4614363
2013,81,5172637
2014,81,4519112
2015,81,3825900
2016,81,4043505
2017,81,5102774
2018,81,5086643
2019,81,5538311
2020,81,5430771
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,195076
2015,82,62029
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,268413
2009,83,306961
2010,83,376223
2011,83,354815
2012,83,380169
2013,83,427698
2014,83,438954
2015,83,525099
2016,83,477914
2017,83,711196
2018,83,745374
2019,83,1113676
2020,83,1199613
2008,84,265748
2009,84,474679
2010,84,473959
2011,84,400600
2012,84,289554
2013,84,402398
2014,84,310699
2015,84,299191
2016,84,274019
2017,84,405312
2018,84,322154
2019,84,379213
2020,84,550110
2008,85,56670
2009,85,92939
2010,85,91957
2011,85,53270
2012,85,58257
2013,85,101931
2014,85,102460
2015,85,138993
2016,85,115316
2017,85,190253
2018,85,232834
2019,85,309068
2020,85,364459
2008,86,265748
2009,86,474679
2010,86,473959
2011,86,400600
2012,86,289554
2013,86,402398
2014,86,310699
2015,86,299191
2016,86,274019
2017,86,405312
2018,86,322154
2019,86,379213
2020,86,550110
2008,87,26739
2009,87,39216
2010,87,21874
2011,87,9888
2012,87,3161
2013,87,5963
2014,87,3443
2015,87,2981
2016,87,136124
2017,87,26951
2018,87,22012
2019,87,20743
2020,87,
2008,88,26561
2009,88,27464
2010,88,20264
2011,88,11874
2012,88,11166
2013,88,9990
2014,88,9480
2015,88,8977
2016,88,22770
2017,88,20927
2018,88,4486
2019,88,
2020,88,
2008,89,188509
2009,89,73682
2010,89,71592
2011,89,73364
2012,89,75878
2013,89,82206
2014,89,132438
2015,89,119032
2016,89,75040
2017,89,83284
2018,89,71805
2019,89,
2020,89,
2008,90,
2009,90,263108
2010,90,504264
2011,90,458180
2012,90,683067
2013,90,1911049
2014,90,1139635
2015,90,4495250
2016,90,3602524
2017,90,3900885
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,31336
2014,91,12550
2015,91,10575
2016,91,12247
2017,91,78228
2018,91,61300
2019,91,25977
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,18198
2015,92,14857
2016,92,9039
2017,92,19958
2018,92,
2019,92,15215
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,158579
2009,95,581263
2010,95,797402
2011,95,700836
2012,95,812749
2013,95,877057
2014,95,1065060
2015,95,1752775
2016,95,1984231
2017,95,2906080
2018,95,3180268
2019,95,5720785
2020,95,7651715
2008,96,132128
2009,96,171297
2010,96,119132
2011,96,55938
2012,96,52743
2013,96,54151
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,96768
2009,97,63029
2010,97,39053
2011,97,7085
2012,97,10112
2013,97,11158
2014,97,17537
2015,97,19878
2016,97,23765
2017,97,23287
2018,97,22059
2019,97,23196
2020,97,25471
2008,98,784300
2009,98,1368400
2010,98,1793872
2011,98,1055350
2012,98,1644605
2013,98,1854437
2014,98,1813927
2015,98,2663699
2016,98,3080155
2017,98,4099556
2018,98,3864268
2019,98,6322842
2020,98,9308237
2008,99,0
2009,99,104945
2010,99,58197
2011,99,34833
2012,99,33773
2013,99,39868
2014,99,66730
2015,99,62339
2016,99,61718
2017,99,
2018,99,
2019,99,
2020,99,
2008,100,215280
2009,100,472794
2010,100,879060
2011,100,1021085
2012,100,1632540
2013,100,1774565
2014,100,2238015
2015,100,4136665
2016,100,3375710
2017,100,3771885
2018,100,3303950
2019,100,2818075
2020,100,3858060
2008,101,13408
2009,101,12762
2010,101,13471
2011,101,19063
2012,101,17139
2013,101,18312
2014,101,17484
2015,101,15413
2016,101,19476
2017,101,23286
2018,101,22810
2019,101,18545
2020,101,10606
2008,102,47219
2009,102,109536
2010,102,81781
2011,102,46712
2012,102,60157
2013,102,103867
2014,102,103371
2015,102,123164
2016,102,115098
2017,102,150279
2018,102,80910
2019,102,189865
2020,102,195984
2008,103,19869
2009,103,37006
2010,103,27615
2011,103,19083
2012,103,14054
2013,103,16800
2014,103,40449
2015,103,40785
2016,103,39923
2017,103,56216
2018,103,31830
2019,103,
2020,103,
2008,104,85700
2009,104,35000
2010,104,59450
2011,104,114000
2012,104,80700
2013,104,70700
2014,104,105400
2015,104,88250
2016,104,61450
2017,104,70850
2018,104,95000
2019,104,102500
2020,104,73500
2008,105,5797
2009,105,14173
2010,105,16383
2011,105,9117
2012,105,11107
2013,105,15377
2014,105,13988
2015,105,10992
2016,105,6687
2017,105,13294
2018,105,9048
2019,105,6884
2020,105,6768
2008,106,107926
2009,106,94988
2010,106,121018
2011,106,80297
2012,106,88474
2013,106,134101
2014,106,140561
2015,106,125842
2016,106,148819
2017,106,234676
2018,106,204749
2019,106,149146
2020,106,179564
2008,107,17795
2009,107,12623
2010,107,12929
2011,107,19841
2012,107,15001
2013,107,38196
2014,107,27732
2015,107,21034
2016,107,49960
2017,107,64595
2018,107,48951
2019,107,47138
2020,107,43824
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,131908
2014,108,129216
2015,108,423485
2016,108,559935
2017,108,813423
2018,108,686755
2019,108,731625
2020,108,468037
2008,109,
2009,109,
2010,109,
2011,109,
2012,109,
2013,109,339200
2014,109,211650
2015,109,361131
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,37996
2009,110,11271
2010,110,5360
2011,110,1401
2012,110,4403
2013,110,5218
2014,110,3181
2015,110,2125
2016,110,1681
2017,110,15741
2018,110,7004
2019,110,7031
2020,110,6948
2008,111,90844
2009,111,88391
2010,111,40157
2011,111,27209
2012,111,22972
2013,111,28116
2014,111,24926
2015,111,9070
2016,111,7850
2017,111,6154
2018,111,6142
2019,111,17778
2020,111,25369
2008,112,450731
2009,112,435244
2010,112,499224
2011,112,486554
2012,112,529524
2013,112,1031030
2014,112,1336657
2015,112,1799841
2016,112,2261059
2017,112,2661455
2018,112,2129923
2019,112,2763063
2020,112,
2008,113,102925
2009,113,143278
2010,113,146238
2011,113,76845
2012,113,66836
2013,113,141664
2014,113,252748
2015,113,435938
2016,113,524111
2017,113,1158303
2018,113,470339
2019,113,406787
2020,113,515811
2008,114,14419
2009,114,23648
2010,114,18905
2011,114,14265
2012,114,11862
2013,114,12067
2014,114,14797
2015,114,32621
2016,114,28505
2017,114,35356
2018,114,17333
2019,114,19429
2020,114,
2008,115,47777
2009,115,35482
2010,115,56537
2011,115,49648
