Date,Id,Oancf
2012,46,377918
2013,46,447224
2014,46,567737
2015,46,625839
2016,46,564897
2017,46,368021
2018,46,645606
2019,46,758432
2020,46,802966
2008,47,608000
2009,47,258000
2010,47,902000
2011,47,316000
2012,47,794000
2013,47,609000
2014,47,822000
2015,47,769000
2016,47,718000
2017,47,875000
2018,47,1051000
2019,47,935000
2020,47,854000
2008,48,353000
2009,48,911000
2010,48,663000
2011,48,1276000
2012,48,1100000
2013,48,743000
2014,48,1033000
2015,48,1295000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,500
2011,49,-544
2012,49,-1067
2013,49,-2869
2014,49,
2015,49,3736
2016,49,4117
2017,49,505
2018,49,347
2019,49,515
2020,49,1463
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,11207
2014,50,10933
2015,50,9659
2016,50,1488
2017,50,6598
2018,50,6290
2019,50,12089
2020,50,7811
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,6577
2016,52,1923
2017,52,6696
2018,52,3748
2019,52,959
2020,52,
2008,53,32599
2009,53,4475
2010,53,6146
2011,53,17585
2012,53,17953
2013,53,3886
2014,53,12634
2015,53,21666
2016,53,17765
2017,53,36980
2018,53,20098
2019,53,23525
2020,53,11191
2008,54,3453
2009,54,3354
2010,54,9567
2011,54,-107
2012,54,13561
2013,54,10492
2014,54,14545
2015,54,8267
2016,54,30322
2017,54,17149
2018,54,11938
2019,54,37726
2020,54,44132
2008,55,38000
2009,55,15604
2010,55,55580
2011,55,36858
2012,55,52862
2013,55,50372
2014,55,54315
2015,55,61679
2016,55,55625
2017,55,72544
2018,55,68059
2019,55,72850
2020,55,68115
2008,56,6691
2009,56,14534
2010,56,572
2011,56,13415
2012,56,15337
2013,56,19350
2014,56,20590
2015,56,4303
2016,56,40004
2017,56,31729
2018,56,13035
2019,56,16210
2020,56,29034
2008,57,24201
2009,57,46375
2010,57,32388
2011,57,18989
2012,57,35946
2013,57,26061
2014,57,27508
2015,57,23540
2016,57,37847
2017,57,40483
2018,57,22745
2019,57,
2020,57,
2008,58,417000
2009,58,286000
2010,58,233000
2011,58,442000
2012,58,423000
2013,58,284000
2014,58,253000
2015,58,597000
2016,58,547000
2017,58,537000
2018,58,378000
2019,58,681000
2020,58,619000
2008,59,12467
2009,59,11632
2010,59,14071
2011,59,9442
2012,59,11530
2013,59,17107
2014,59,18279
2015,59,18095
2016,59,25454
2017,59,23229
2018,59,22355
2019,59,34054
2020,59,29312
2008,60,-7812
2009,60,1164
2010,60,24631
2011,60,11910
2012,60,-5843
2013,60,-8782
2014,60,18784
2015,60,1581
2016,60,10901
2017,60,10899
2018,60,-689
2019,60,473
2020,60,2616
2008,61,5914
2009,61,4825
2010,61,-1531
2011,61,2043
2012,61,12213
2013,61,12557
2014,61,-2982
2015,61,5974
2016,61,15177
2017,61,19039
2018,61,14448
2019,61,15199
2020,61,15267
2008,62,55097
2009,62,-4833
2010,62,-36114
2011,62,19651
2012,62,18102
2013,62,26896
2014,62,14679
2015,62,6720
2016,62,15962
2017,62,-13101
2018,62,3228
2019,62,25491
2020,62,4979
2008,63,3429
2009,63,8468
2010,63,8381
2011,63,8020
2012,63,8467
2013,63,10726
2014,63,8464
2015,63,20477
2016,63,23262
2017,63,31068
2018,63,27120
2019,63,36197
2020,63,57226
2008,64,8405000
2009,64,5475000
2010,64,6873000
2011,64,8512000
2012,64,8521000
2013,64,6868000
2014,64,4698000
2015,64,5051000
2016,64,5661000
2017,64,5399000
2018,64,4592000
2019,64,5950000
2020,64,6551000
2008,65,11878
2009,65,26751
2010,65,35164
2011,65,36203
2012,65,34909
2013,65,22468
2014,65,65354
2015,65,62694
2016,65,88497
2017,65,66613
2018,65,57181
2019,65,78387
2020,65,30783
2008,66,
2009,66,
2010,66,-12
2011,66,47943
2012,66,20151
2013,66,31356
2014,66,52795
2015,66,48308
2016,66,52742
2017,66,61049
2018,66,49061
2019,66,67289
2020,66,74601
2008,67,1535
2009,67,4320
2010,67,2059
2011,67,1314
2012,67,7324
2013,67,6801
2014,67,6053
2015,67,882
2016,67,-2344
2017,67,7403
2018,67,4936
2019,67,10015
2020,67,24195
2008,68,6205
2009,68,9718
2010,68,3865
2011,68,-485
2012,68,-127
2013,68,-2384
2014,68,-484
2015,68,-1411
2016,68,-1483
2017,68,-2114
2018,68,-530
2019,68,728
2020,68,-3268
2008,69,258800
2009,69,317600
2010,69,325300
2011,69,284800
2012,69,368200
2013,69,434700
2014,69,342200
2015,69,308000
2016,69,355400
2017,69,329800
2018,69,
2019,69,
2020,69,
2008,70,4930
2009,70,4117
2010,70,4014
2011,70,743
2012,70,12037
2013,70,19478
2014,70,8123
2015,70,13714
2016,70,9700
2017,70,10614
2018,70,11302
2019,70,11418
2020,70,15428
2008,71,65
2009,71,3240
2010,71,1087
2011,71,2740
2012,71,1076
2013,71,6843
2014,71,3432
2015,71,914
2016,71,7158
2017,71,5354
2018,71,5429
2019,71,1299
2020,71,3367
2008,72,-19179
2009,72,56563
2010,72,20336
2011,72,41557
2012,72,16901
2013,72,22256
2014,72,51779
2015,72,54966
2016,72,51492
2017,72,35132
2018,72,41245
2019,72,32255
2020,72,35438
2008,73,-32
2009,73,2042
2010,73,1592
2011,73,2645
2012,73,-362
2013,73,2601
2014,73,2446
2015,73,-11
2016,73,-374
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,1871
2015,75,-138
2016,75,907
2017,75,1001
2018,75,2080
2019,75,2124
2020,75,-1491
2008,76,1053000
2009,76,1164000
2010,76,1775000
2011,76,1537000
2012,76,820000
2013,76,1839000
2014,76,1535000
2015,76,2054000
2016,76,1627000
2017,76,1864000
2018,76,1826000
2019,76,1486000
2020,76,1597000
2008,77,258432
2009,77,237757
2010,77,345371
2011,77,194160
2012,77,387988
2013,77,481550
2014,77,373606
2015,77,494934
2016,77,492286
2017,77,521760
2018,77,682292
2019,77,631711
2020,77,824300
2008,78,427078
2009,78,234008
2010,78,325093
2011,78,365134
2012,78,243115
2013,78,503091
2014,78,507328
2015,78,557000
2016,78,663100
2017,78,754800
2018,78,621500
2019,78,729700
2020,78,891400
2008,79,24550
2009,79,2374
2010,79,18686
2011,79,20622
2012,79,27102
2013,79,22706
2014,79,18353
2015,79,35034
2016,79,30924
2017,79,26220
2018,79,41120
2019,79,23642
2020,79,59158
2008,80,133439
2009,80,33709
2010,80,32470
2011,80,3207
2012,80,45266
2013,80,95992
2014,80,55877
2015,80,69249
2016,80,68462
2017,80,57255
2018,80,75964
2019,80,56716
2020,80,63411
2008,81,538000
2009,81,1161000
2010,81,982000
2011,81,25000
2012,81,519000
2013,81,413000
2014,81,858000
2015,81,1213000
2016,81,808000
2017,81,961000
2018,81,588000
2019,81,1173000
2020,81,417000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,
2015,82,
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,45043
2009,83,44099
2010,83,61961
2011,83,57103
2012,83,40593
2013,83,40093
2014,83,42006
2015,83,44155
2016,83,48162
2017,83,56510
2018,83,68929
2019,83,64580
2020,83,76603
2008,84,-29075
2009,84,292379
2010,84,234374
2011,84,221070
2012,84,100294
2013,84,805786
2014,84,28466
2015,84,181815
2016,84,215076
2017,84,89638
2018,84,239195
2019,84,242720
2020,84,412134
2008,85,6729
2009,85,26184
2010,85,41685
2011,85,44970
2012,85,16589
2013,85,23845
2014,85,28569
2015,85,27935
2016,85,28609
2017,85,34298
2018,85,56426
2019,85,61183
2020,85,72838
2008,86,-29075
2009,86,292379
2010,86,234374
2011,86,221070
2012,86,100294
2013,86,805786
2014,86,28466
2015,86,181815
2016,86,215076
2017,86,89638
2018,86,239195
2019,86,242720
2020,86,412134
2008,87,7326
2009,87,-2106
2010,87,3624
2011,87,-6260
2012,87,4676
2013,87,-2339
2014,87,-1304
2015,87,-1213
2016,87,-1689
2017,87,-785
2018,87,-1182
2019,87,-868
2020,87,
2008,88,-1825
2009,88,-1468
2010,88,340
2011,88,-1158
2012,88,-873
2013,88,-3345
2014,88,-2134
2015,88,-789
2016,88,77
2017,88,-1685
2018,88,-1169
2019,88,
2020,88,
2008,89,16634
2009,89,-6266
2010,89,-141
2011,89,5324
2012,89,1415
2013,89,-1017
2014,89,-2330
2015,89,-7652
2016,89,7154
2017,89,8602
2018,89,1485
2019,89,
2020,89,
2008,90,-1824
2009,90,18421
2010,90,-494
2011,90,14889
2012,90,26979
2013,90,36319
2014,90,24052
2015,90,55071
2016,90,76231
2017,90,117314
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,2586
2014,91,1071
2015,91,791
2016,91,2767
2017,91,2225
2018,91,1453
2019,91,-214
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,
2015,92,-206
2016,92,-1334
2017,92,17
2018,92,1810
2019,92,-1684
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
