Date,Id,retained earnings
2017,67,19736
2018,67,20360
2019,67,13709
2020,67,17724
2008,68,4000
2009,68,-23679
2010,68,-30676
2011,68,1676
2012,68,2329
2013,68,6237
2014,68,2946
2015,68,-696
2016,68,-1177
2017,68,-6439
2018,68,-9940
2019,68,-12587
2020,68,-15885
2008,69,543100
2009,69,449200
2010,69,282000
2011,69,224300
2012,69,1259300
2013,69,1454700
2014,69,1644800
2015,69,1764500
2016,69,1817900
2017,69,1903200
2018,69,
2019,69,
2020,69,
2008,70,2911
2009,70,3588
2010,70,3993
2011,70,2592
2012,70,18158
2013,70,26794
2014,70,35450
2015,70,44624
2016,70,39769
2017,70,39875
2018,70,47086
2019,70,44056
2020,70,45063
2008,71,872
2009,71,1028
2010,71,1222
2011,71,1331
2012,71,787
2013,71,8759
2014,71,10004
2015,71,9288
2016,71,11109
2017,71,12566
2018,71,14763
2019,71,13717
2020,71,11839
2008,72,18159
2009,72,34408
2010,72,41986
2011,72,43230
2012,72,74420
2013,72,88876
2014,72,117614
2015,72,155623
2016,72,165979
2017,72,184139
2018,72,194691
2019,72,207049
2020,72,245234
2008,73,8459
2009,73,6066
2010,73,7194
2011,73,8453
2012,73,109353
2013,73,109351
2014,73,109590
2015,73,145502
2016,73,117613
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,2633
2015,75,-2347
2016,75,-3369
2017,75,-5766
2018,75,-6393
2019,75,-11961
2020,75,-14291
2008,76,1105000
2009,76,-187000
2010,76,-7000
2011,76,-61000
2012,76,598000
2013,76,1117000
2014,76,1802000
2015,76,2309000
2016,76,2738000
2017,76,2646000
2018,76,2889000
2019,76,3232000
2020,76,3559000
2008,77,325138
2009,77,282539
2010,77,199897
2011,77,-51097
2012,77,152559
2013,77,496275
2014,77,486993
2015,77,479200
2016,77,584879
2017,77,742531
2018,77,768846
2019,77,885252
2020,77,970857
2008,78,141556
2009,78,115521
2010,78,346287
2011,78,369439
2012,78,397613
2013,78,753329
2014,78,872296
2015,78,910000
2016,78,979700
2017,78,1099200
2018,78,1215000
2019,78,1330100
2020,78,1527100
2008,79,-444
2009,79,10450
2010,79,18179
2011,79,20814
2012,79,26151
2013,79,61702
2014,79,63230
2015,79,71850
