Date,Id,capex
2013,65,21609
2014,65,4695
2015,65,5697
2016,65,8540
2017,65,5169
2018,65,5769
2019,65,9768
2020,65,13203
2008,66,
2009,66,
2010,66,0
2011,66,44356
2012,66,34038
2013,66,36655
2014,66,35830
2015,66,32282
2016,66,40263
2017,66,50396
2018,66,50565
2019,66,52756
2020,66,36696
2008,67,15637
2009,67,4274
2010,67,2042
2011,67,1417
2012,67,597
2013,67,781
2014,67,2107
2015,67,3914
2016,67,4095
2017,67,9849
2018,67,16210
2019,67,12113
2020,67,9424
2008,68,1161
2009,68,9265
2010,68,211
2011,68,350
2012,68,325
2013,68,267
2014,68,1902
2015,68,938
2016,68,874
2017,68,646
2018,68,463
2019,68,16
2020,68,
2008,69,142400
2009,69,96200
2010,69,142300
2011,69,125400
2012,69,93000
2013,69,138100
2014,69,144000
2015,69,162900
2016,69,194600
2017,69,201000
2018,69,
2019,69,
2020,69,
2008,70,2698
2009,70,1209
2010,70,2078
2011,70,1448
2012,70,799
2013,70,940
2014,70,1665
2015,70,724
2016,70,1220
2017,70,1318
2018,70,1051
2019,70,1023
2020,70,1479
2008,71,1324
2009,71,1496
2010,71,928
2011,71,638
2012,71,1126
2013,71,920
2014,71,4127
2015,71,2935
2016,71,927
2017,71,2865
2018,71,3903
2019,71,12696
2020,71,650
2008,72,7649
2009,72,10769
2010,72,4556
2011,72,21966
2012,72,12037
2013,72,9129
2014,72,17240
2015,72,8392
2016,72,12407
2017,72,17634
2018,72,38739
2019,72,60487
2020,72,14018
2008,73,1722
2009,73,1636
2010,73,1407
2011,73,4518
2012,73,2928
2013,73,1712
2014,73,464
2015,73,3201
2016,73,26774
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,1594
2015,75,38
2016,75,168
2017,75,837
2018,75,381
2019,75,3155
2020,75,184
2008,76,1071000
2009,76,1053000
2010,76,1056000
2011,76,1160000
2012,76,341000
2013,76,348000
2014,76,366000
2015,76,393000
2016,76,832000
2017,76,950000
2018,76,772000
2019,76,852000
2020,76,1001000
2008,77,328639
2009,77,278592
2010,77,490139
2011,77,493254
2012,77,339749
