Date,Id,che
2015,159,
2016,159,177
2017,159,58
2018,159,261
2019,159,211
2020,159,
2008,160,
2009,160,
2010,160,
2011,160,38
2012,160,13
2013,160,67
2014,160,399
2015,160,1200
2016,160,1817
2017,160,6209
2018,160,2889
2019,160,6514
2020,160,5087
2008,161,
2009,161,
2010,161,
2011,161,
2012,161,
2013,161,
2014,161,2448
2015,161,8053
2016,161,7811
2017,161,8057
2018,161,5508
2019,161,8729
2020,161,9125
2008,162,
2009,162,
2010,162,
2011,162,
2012,162,
2013,162,
2014,162,830
2015,162,1917
2016,162,291
2017,162,789
2018,162,158
2019,162,115
2020,162,487
2008,163,
2009,163,
2010,163,
2011,163,
2012,163,
2013,163,
2014,163,5
2015,163,1103
2016,163,1130
2017,163,991
2018,163,756
2019,163,619
2020,163,2129
2008,164,42203
2009,164,46888
2010,164,37984
2011,164,36128
2012,164,27563
2013,164,23291
2014,164,26998
2015,164,9442
2016,164,2912
2017,164,5177
2018,164,3039
2019,164,1386
2020,164,1536
2008,165,
2009,165,
2010,165,
2011,165,
2012,165,
2013,165,
2014,165,
2015,165,
2016,165,
2017,165,
2018,165,
2019,165,
2020,165,
2008,166,
2009,166,
2010,166,
2011,166,
2012,166,
2013,166,
2014,166,
2015,166,71851
2016,166,85688
2017,166,54430
2018,166,122262
2019,166,81687
2020,166,120415
2008,167,85644
2009,167,132673
2010,167,109635
2011,167,182186
2012,167,345276
2013,167,541472
2014,167,928058
2015,167,946376
2016,167,479837
2017,167,519816
2018,167,404554
2019,167,483391
2020,167,712674
2008,168,7320
2009,168,7985
2010,168,12691
2011,168,11206
2012,168,4341
2013,168,6384
2014,168,11725
2015,168,35122
2016,168,18165
2017,168,14371
2018,168,16619
2019,168,13747
2020,168,4798
2008,169,7257000
2009,169,2890000
2010,169,2767000
2011,169,3481000
2012,169,8947000
2013,169,11024000
2014,169,15194000
2015,169,13730000
2016,169,14326000
2017,169,14813000
2018,169,18982000
2019,169,15327000
2020,169,16463000
2008,170,1609555
2009,170,1805617
2010,170,1365948
2011,170,552413
2012,170,1036582
2013,170,1050592
2014,170,1228172
2015,170,863425
2016,170,535958
2017,170,842399
2018,170,823883
2019,170,675947
2020,170,740412
2008,171,553016
2009,171,477694
2010,171,624840
2011,171,596459
2012,171,478230
2013,171,211884
2014,171,169125
2015,171,371649
2016,171,525826
2017,171,656200
2018,171,663430
2019,171,757556
2020,171,720006
2008,172,11415
2009,172,25911
2010,172,39501
2011,172,46616
2012,172,39144
2013,172,64258
2014,172,103096
2015,172,86491
2016,172,104033
2017,172,98632
2018,172,139888
2019,172,149895
