Date,Id,dividend payout
2012,117,0
2013,117,0
2014,117,0
2015,117,0
2016,117,0
2017,117,0
2018,117,0
2019,117,0
2020,117,0
2008,118,
2009,118,
2010,118,
2011,118,
2012,118,
2013,118,
2014,118,
2015,118,
2016,118,
2017,118,
2018,118,
2019,118,
2020,118,
2008,119,14.57
2009,119,14.57
2010,119,14.57
2011,119,14.57
2012,119,14.57
2013,119,14.57
2014,119,14.57
2015,119,14.57
2016,119,14.57
2017,119,14.57
2018,119,14.57
2019,119,14.57
2020,119,14.57
2008,120,0
2009,120,0
2010,120,0
2011,120,0
2012,120,0
2013,120,0
2014,120,0
2015,120,0
2016,120,0
2017,120,0
2018,120,0
2019,120,0
2020,120,0
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,
2013,121,
2014,121,
2015,121,
2016,121,
2017,121,
2018,121,
2019,121,
2020,121,
2008,122,16.16
2009,122,16.16
2010,122,16.16
2011,122,16.16
2012,122,16.16
2013,122,16.16
2014,122,16.16
2015,122,16.16
2016,122,16.16
2017,122,16.16
2018,122,16.16
2019,122,16.16
2020,122,16.16
2008,123,0
2009,123,0
2010,123,0
2011,123,0
2012,123,0
2013,123,0
2014,123,0
2015,123,0
2016,123,0
2017,123,0
2018,123,0
2019,123,0
2020,123,0
2008,124,0
2009,124,0
2010,124,0
2011,124,0
2012,124,0
2013,124,0
2014,124,0
2015,124,0
2016,124,0
2017,124,0
2018,124,0
2019,124,0
2020,124,0
2008,125,60.41
2009,125,60.41
2010,125,60.41
2011,125,60.41
2012,125,60.41
2013,125,60.41
2014,125,60.41
2015,125,60.41
2016,125,60.41
2017,125,60.41
2018,125,60.41
2019,125,60.41
2020,125,60.41
2008,126,0
2009,126,0
2010,126,0
2011,126,0
2012,126,0
2013,126,0
2014,126,0
2015,126,0
2016,126,0
2017,126,0
2018,126,0
2019,126,0
2020,126,0
2008,127,54.28
2009,127,54.28
2010,127,54.28
2011,127,54.28
2012,127,54.28
2013,127,54.28
2014,127,54.28
2015,127,54.28
2016,127,54.28
2017,127,54.28
2018,127,54.28
2019,127,54.28
2020,127,54.28
2008,128,
2009,128,
2010,128,
2011,128,
2012,128,
2013,128,
2014,128,
2015,128,
2016,128,
2017,128,
2018,128,
2019,128,
2020,128,
2008,129,
2009,129,
2010,129,
2011,129,
2012,129,
2013,129,
2014,129,
2015,129,
2016,129,
2017,129,
2018,129,
2019,129,
2020,129,
2008,130,
2009,130,
2010,130,
2011,130,
2012,130,
2013,130,
2014,130,
2015,130,
2016,130,
2017,130,
2018,130,
2019,130,
2020,130,
2008,131,0
2009,131,0
2010,131,0
2011,131,0
2012,131,0
2013,131,0
2014,131,0
2015,131,0
2016,131,0
2017,131,0
2018,131,0
2019,131,0
2020,131,0
2008,132,0
2009,132,0
2010,132,0
2011,132,0
2012,132,0
2013,132,0
2014,132,0
2015,132,0
2016,132,0
2017,132,0
2018,132,0
2019,132,0
2020,132,0
2008,133,
2009,133,
2010,133,
2011,133,
2012,133,
2013,133,
2014,133,
2015,133,
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,0
2009,134,0
2010,134,0
2011,134,0
2012,134,0
2013,134,0
2014,134,0
2015,134,0
2016,134,0
2017,134,0
2018,134,0
2019,134,0
2020,134,0
2008,135,0
2009,135,0
2010,135,0
2011,135,0
2012,135,0
2013,135,0
2014,135,0
2015,135,0
2016,135,0
2017,135,0
2018,135,0
2019,135,0
2020,135,0
2008,136,7.43
2009,136,7.43
2010,136,7.43
2011,136,7.43
2012,136,7.43
2013,136,7.43
2014,136,7.43
2015,136,7.43
2016,136,7.43
2017,136,7.43
2018,136,7.43
2019,136,7.43
2020,136,7.43
2008,137,
2009,137,
2010,137,
2011,137,
2012,137,
2013,137,
2014,137,
2015,137,
2016,137,
2017,137,
2018,137,
2019,137,
2020,137,
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,0
2009,139,0
2010,139,0
2011,139,0
2012,139,0
2013,139,0
2014,139,0
2015,139,0
2016,139,0
2017,139,0
2018,139,0
2019,139,0
2020,139,0
2008,140,
2009,140,
2010,140,
2011,140,
2012,140,
2013,140,
2014,140,
2015,140,
2016,140,
2017,140,
2018,140,
2019,140,
2020,140,
2008,141,0
2009,141,0
2010,141,0
2011,141,0
2012,141,0
2013,141,0
2014,141,0
2015,141,0
2016,141,0
2017,141,0
2018,141,0
2019,141,0
2020,141,0
2008,142,28.17
2009,142,28.17
2010,142,28.17
2011,142,28.17
2012,142,28.17
2013,142,28.17
2014,142,28.17
2015,142,28.17
2016,142,28.17
2017,142,28.17
2018,142,28.17
2019,142,28.17
2020,142,28.17
2008,143,0
2009,143,0
2010,143,0
2011,143,0
2012,143,0
2013,143,0
2014,143,0
2015,143,0
2016,143,0
2017,143,0
2018,143,0
2019,143,0
2020,143,0
2008,144,0
2009,144,0
2010,144,0
2011,144,0
2012,144,0
2013,144,0
2014,144,0
2015,144,0
2016,144,0
2017,144,0
2018,144,0
2019,144,0
2020,144,0
2008,145,
2009,145,
2010,145,
2011,145,
2012,145,
2013,145,
2014,145,
2015,145,
2016,145,
2017,145,
2018,145,
2019,145,
2020,145,
2008,146,0
2009,146,0
2010,146,0
2011,146,0
2012,146,0
2013,146,0
2014,146,0
2015,146,0
2016,146,0
2017,146,0
2018,146,0
2019,146,0
2020,146,0
2008,147,0
2009,147,0
