Date,Id,current assets
2016,50,11991
2017,50,12526
2018,50,10961
2019,50,10129
2020,50,30282
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,13054
2015,52,15391
2016,52,33689
2017,52,30086
2018,52,34838
2019,52,32454
2020,52,41289
2008,53,108654
2009,53,68265
2010,53,79238
2011,53,78141
2012,53,76717
2013,53,73366
2014,53,87979
2015,53,91092
2016,53,102112
2017,53,115434
2018,53,218394
2019,53,171393
2020,53,156781
2008,54,193012
2009,54,179499
2010,54,202225
2011,54,205617
2012,54,133144
2013,54,144663
2014,54,187264
2015,54,183431
2016,54,235950
2017,54,269281
2018,54,272982
2019,54,314362
2020,54,353535
2008,55,204472
2009,55,193743
2010,55,234407
2011,55,322964
2012,55,261261
2013,55,282075
2014,55,253395
2015,55,293097
2016,55,338982
2017,55,456466
2018,55,460446
2019,55,413510
2020,55,322748
2008,56,203932
2009,56,156098
2010,56,161255
2011,56,210239
2012,56,192342
2013,56,184503
2014,56,212371
2015,56,237659
2016,56,261889
2017,56,315453
2018,56,336661
2019,56,286247
2020,56,273480
2008,57,122559
2009,57,154727
2010,57,174432
2011,57,182708
2012,57,189865
2013,57,209491
2014,57,197743
2015,57,206792
2016,57,202866
2017,57,189673
2018,57,221940
2019,57,
2020,57,
2008,58,2123000
2009,58,2002000
2010,58,2651000
2011,58,3477000
2012,58,3536000
2013,58,3347000
2014,58,3298000
2015,58,3424000
2016,58,3527000
2017,58,3964000
2018,58,4871000
2019,58,4955000
2020,58,4673000
2008,59,62481
2009,59,60606
2010,59,72948
2011,59,71765
2012,59,70711
2013,59,71336
2014,59,76959
2015,59,84702
2016,59,91800
2017,59,93189
2018,59,97320
2019,59,96334
2020,59,116074
2008,60,144598
2009,60,184422
2010,60,193762
2011,60,187756
2012,60,157844
2013,60,132487
2014,60,118807
2015,60,141279
2016,60,141279
2017,60,144656
2018,60,144337
2019,60,107061
2020,60,115183
2008,61,72440
2009,61,88232
2010,61,93063
2011,61,100120
2012,61,89131
2013,61,89064
2014,61,86930
2015,61,85241
2016,61,77061
2017,61,79239
2018,61,75919
2019,61,86712
2020,61,97277
2008,62,153225
2009,62,142663
2010,62,228809
2011,62,216366
2012,62,185423
2013,62,158708
2014,62,178329
2015,62,155716
2016,62,161169
2017,62,182218
2018,62,177649
2019,62,157343
2020,62,164244
2008,63,30660
2009,63,20213
2010,63,21498
2011,63,26802
2012,63,29568
2013,63,39461
2014,63,36608
2015,63,42578
2016,63,48226
2017,63,101368
2018,63,82277
2019,63,60438
2020,63,122497
2008,64,14693000
2009,64,17683000
2010,64,15978000
2011,64,16555000
2012,64,16211000
2013,64,13252000
2014,64,12452000
2015,64,10926000
2016,64,11662000
2017,64,10331000
2018,64,8729000
2019,64,9461000
2020,64,10812000
2008,65,472472
2009,65,507263
2010,65,555801
2011,65,540586
2012,65,589571
2013,65,583286
2014,65,574410
2015,65,633101
2016,65,681243
2017,65,734536
2018,65,771524
2019,65,794339
2020,65,721527
2008,66,
2009,66,
2010,66,
2011,66,110374
2012,66,115763
2013,66,176510
2014,66,175709
2015,66,420642
2016,66,196062
2017,66,164870
2018,66,188504
2019,66,215299
2020,66,233835
2008,67,40075
2009,67,37191
2010,67,39889
2011,67,42456
2012,67,37506
2013,67,35950
2014,67,36689
2015,67,41122
2016,67,60457
2017,67,78611
2018,67,67468
2019,67,63015
2020,67,86786
2008,68,63306
2009,68,55223
2010,68,15277
2011,68,21290
2012,68,21922
2013,68,19356
2014,68,18499
2015,68,17993
2016,68,20697
2017,68,16670
2018,68,14194
2019,68,8691
2020,68,5285
2008,69,2652900
2009,69,2692800
2010,69,2570100
2011,69,2671300
2012,69,2133600
2013,69,2283900
2014,69,2408500
2015,69,2002700
2016,69,2615900
2017,69,2206000
2018,69,
2019,69,
2020,69,
2008,70,23665
2009,70,25575
2010,70,28640
2011,70,30230
2012,70,43805
2013,70,48793
2014,70,46111
2015,70,46744
2016,70,42850
2017,70,40262
2018,70,51121
2019,70,53322
2020,70,46331
2008,71,15944
2009,71,16985
2010,71,19575
2011,71,20882
2012,71,22749
2013,71,24044
2014,71,22703
2015,71,20411
2016,71,23651
2017,71,24964
2018,71,23717
2019,71,25038
2020,71,31560
2008,72,282441
2009,72,247067
2010,72,242051
2011,72,296673
2012,72,321003
2013,72,336128
2014,72,378448
2015,72,402888
2016,72,379620
2017,72,400330
2018,72,434058
2019,72,423017
2020,72,470814
2008,73,8347
2009,73,6604
2010,73,7087
2011,73,8917
2012,73,9589
2013,73,8761
2014,73,9734
2015,73,40026
2016,73,35779
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,15963
2015,75,16774
2016,75,17361
2017,75,15865
2018,75,12672
2019,75,7688
2020,75,4411
2008,76,636000
2009,76,1437000
2010,76,1468000
2011,76,1823000
2012,76,2480000
2013,76,2762000
2014,76,2510000
2015,76,2310000
2016,76,1543000
2017,76,2556000
2018,76,3372000
2019,76,4384000
2020,76,4958000
2008,77,1287230
2009,77,1139326
2010,77,1897550
2011,77,2003941
2012,77,1920357
2013,77,1691973
2014,77,1835293
2015,77,1811594
2016,77,2127399
2017,77,1916952
2018,77,1759052
2019,77,1723247
2020,77,2254411
2008,78,1879036
2009,78,1804270
2010,78,1984317
2011,78,2062284
2012,78,2146055
2013,78,2791613
2014,78,2781470
2015,78,2487000
2016,78,2473700
2017,78,2747400
2018,78,2999700
2019,78,3185900
2020,78,3775500
2008,79,80046
2009,79,122715
2010,79,147441
2011,79,164215
2012,79,146659
2013,79,139794
2014,79,134938
2015,79,122477
2016,79,119162
2017,79,125301
2018,79,204654
2019,79,221439
2020,79,214215
2008,80,309138
2009,80,234933
2010,80,288538
2011,80,440726
2012,80,415151
2013,80,315996
2014,80,338212
2015,80,255272
2016,80,210730
2017,80,238532
2018,80,287291
2019,80,173373
2020,80,150747
2008,81,3284000
2009,81,3526000
2010,81,3937000
2011,81,5032000
2012,81,5220000
2013,81,4936000
2014,81,5611000
2015,81,4686000
2016,81,3683000
2017,81,2952000
2018,81,2989000
2019,81,2977000
2020,81,2289000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,316046
2013,82,391233
2014,82,504420
2015,82,558781
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,125234
2009,83,136329
2010,83,153011
2011,83,167308
2012,83,178994
2013,83,180233
2014,83,206233
2015,83,231905
2016,83,197855
2017,83,189884
2018,83,197027
2019,83,232508
2020,83,236728
2008,84,3272993
2009,84,2476754
2010,84,2882252
2011,84,2945584
2012,84,3192310
2013,84,2830738
2014,84,1340994
2015,84,1412396
2016,84,1349077
2017,84,1347959
2018,84,1218476
2019,84,1055007
2020,84,1150810
2008,85,208839
2009,85,191425
2010,85,209398
2011,85,180966
2012,85,174889
2013,85,162848
2014,85,141548
2015,85,158272
2016,85,192052
2017,85,184853
2018,85,230053
2019,85,243011
2020,85,250933
2008,86,3272993
2009,86,2476754
2010,86,2882252
2011,86,2945584
2012,86,3192310
2013,86,2830738
2014,86,1340994
2015,86,1412396
2016,86,1349077
2017,86,1347959
2018,86,1218476
2019,86,1055007
2020,86,1150810
2008,87,46115
2009,87,39352
2010,87,32027
2011,87,38188
2012,87,26698
2013,87,19410
2014,87,19781
2015,87,15061
2016,87,16310
2017,87,15402
2018,87,12367
2019,87,12333
2020,87,
2008,88,17412
2009,88,15334
2010,88,10476
2011,88,8846
2012,88,3628
2013,88,3481
2014,88,3870
2015,88,3043
2016,88,10971
2017,88,9717
2018,88,11516
2019,88,
2020,88,
2008,89,228432
2009,89,203475
2010,89,171127
2011,89,152904
2012,89,137326
2013,89,128567
2014,89,134553
2015,89,146051
2016,89,155069
2017,89,151370
2018,89,153815
2019,89,
2020,89,
2008,90,56407
2009,90,92017
2010,90,122283
2011,90,143010
2012,90,198173
2013,90,248949
2014,90,372644
2015,90,790962
2016,90,881218
2017,90,1115482
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,2287
2013,91,4094
2014,91,3664
2015,91,2657
2016,91,6019
2017,91,6476
2018,91,13074
2019,91,12723
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,11087
2015,92,11427
2016,92,8954
2017,92,9374
2018,92,7126
2019,92,5708
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
