Date,Id,free fcash flow
2015,47,0.048
2016,47,0.077
2017,47,0.068
2018,47,0.133
2019,47,0.025
2020,47,0.099
2008,48,
2009,48,
2010,48,-0.022
2011,48,-0.137
2012,48,-0.049
2013,48,-0.032
2014,48,-0.107
2015,48,-0.307
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,-0.283
2011,49,-0.255
2012,49,-0.018
2013,49,-0.031
2014,49,
2015,49,0.02
2016,49,-0.03
2017,49,-0.038
2018,49,0.013
2019,49,0.015
2020,49,0.021
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,127.081
2014,50,0.887
2015,50,-2.739
2016,50,-0.117
2017,50,0.304
2018,50,0.74
2019,50,2.47
2020,50,-1.537
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,0.176
2016,52,-0.291
2017,52,0.119
2018,52,-0.621
2019,52,-1.21
2020,52,
2008,53,-0.255
2009,53,-1.033
2010,53,0.459
2011,53,0.401
2012,53,-0.123
2013,53,-0.468
2014,53,0.404
2015,53,0.611
2016,53,0.45
2017,53,0.91
2018,53,-0.207
2019,53,-0.701
2020,53,-0.114
2008,54,-0.052
2009,54,-0.68
2010,54,0.194
2011,54,0.251
2012,54,0.447
2013,54,-0.01
2014,54,0.263
2015,54,0.238
2016,54,0.391
2017,54,0.743
2018,54,-0.306
2019,54,0.372
2020,54,1.178
2008,55,0.319
2009,55,-0.245
2010,55,0.654
2011,55,0.39
2012,55,0.285
2013,55,0.462
2014,55,0.455
2015,55,0.364
2016,55,0.74
2017,55,0.882
2018,55,0.471
2019,55,0.37
2020,55,-0.018
2008,56,0.521
2009,56,-0.216
2010,56,-0.013
2011,56,0.452
2012,56,1.6
2013,56,1.804
2014,56,1.443
2015,56,1.179
2016,56,1.569
2017,56,2.078
2018,56,2.212
2019,56,1.49
2020,56,1.656
2008,57,0.249
2009,57,0.21
2010,57,0.211
2011,57,0.192
2012,57,0.157
2013,57,-0.036
2014,57,0.075
2015,57,0.097
2016,57,-0.12
2017,57,-0.011
2018,57,-0.068
2019,57,
2020,57,
2008,58,0.93
2009,58,0.446
2010,58,0.438
2011,58,0.338
2012,58,0.782
2013,58,0.493
2014,58,0.096
2015,58,0.267
2016,58,0.705
2017,58,0.507
2018,58,0.008
2019,58,0.969
2020,58,0.824
2008,59,0.31
2009,59,0.1
2010,59,0.692
2011,59,0.56
2012,59,-0.029
2013,59,0.357
2014,59,0.397
2015,59,0.501
2016,59,0.454
2017,59,0.317
2018,59,0.102
2019,59,0.262
2020,59,0.555
2008,60,-0.082
2009,60,-0.06
2010,60,-0.017
2011,60,0.066
2012,60,-0.088
2013,60,-0.048
2014,60,0.051
2015,60,0.023
2016,60,0.036
2017,60,
2018,60,
2019,60,0.004
2020,60,0.029
2008,61,-0.704
2009,61,-0.557
2010,61,0.871
2011,61,0.38
2012,61,-0.272
2013,61,-0.639
2014,61,-0.092
2015,61,-0.164
2016,61,0.432
2017,61,0.515
2018,61,0.264
2019,61,-0.134
2020,61,0.873
2008,62,0.032
2009,62,-0.822
2010,62,0.344
2011,62,0.447
2012,62,0.087
2013,62,0.024
2014,62,0.339
2015,62,-0.007
2016,62,0.053
2017,62,-0.189
2018,62,0.107
2019,62,-0.074
2020,62,0.294
2008,63,0.034
2009,63,0.013
2010,63,0.013
2011,63,0.035
2012,63,0.023
2013,63,0.02
2014,63,-0.05
2015,63,-0.082
2016,63,-0.093
2017,63,0.057
2018,63,0.057
2019,63,0.099
2020,63,0.197
2008,64,0.153
