Date,Id,historic volatility
2020,56,0.4731
2008,57,0.3455
2009,57,0.3812
2010,57,0.3578
2011,57,0.3493
2012,57,0.313
2013,57,0.2557
2014,57,0.1949
2015,57,0.1824
2016,57,0.2142
2017,57,0.2337
2018,57,0.2715
2019,57,0.2594
2020,57,0.2432
2008,58,0.4852
2009,58,0.5133
2010,58,0.461
2011,58,0.4308
2012,58,0.4207
2013,58,0.3476
2014,58,0.2593
2015,58,0.251
2016,58,0.2252
2017,58,0.2053
2018,58,0.2127
2019,58,0.2366
2020,58,0.3043
2008,59,0.2725
2009,59,0.2928
2010,59,0.2838
2011,59,0.3216
2012,59,0.2944
2013,59,0.2525
2014,59,0.2394
2015,59,0.2547
2016,59,0.2022
2017,59,0.2266
2018,59,0.2524
2019,59,0.2607
2020,59,0.3245
2008,60,0.4057
2009,60,0.4698
2010,60,0.4676
2011,60,0.4748
2012,60,0.381
2013,60,0.3553
2014,60,0.282
2015,60,0.2747
2016,60,0.2655
2017,60,0.2595
2018,60,0.2434
2019,60,0.2215
2020,60,0.31
2008,61,0.2485
2009,61,0.2345
2010,61,0.2592
2011,61,0.3042
2012,61,0.3308
2013,61,0.3342
2014,61,0.347
2015,61,0.385
2016,61,0.406
2017,61,0.5916
2018,61,0.6138
2019,61,0.6106
2020,61,0.6133
2008,62,0.226
2009,62,0.2378
2010,62,0.2278
2011,62,0.2894
2012,62,0.2864
2013,62,0.2463
2014,62,0.2377
2015,62,0.2386
2016,62,0.1694
2017,62,0.2143
2018,62,0.2364
2019,62,0.2526
2020,62,0.2614
2008,63,0.4054
2009,63,0.4706
2010,63,0.4145
2011,63,0.4363
2012,63,0.4867
2013,63,0.4168
2014,63,0.3726
2015,63,0.3754
2016,63,0.3825
2017,63,0.3313
2018,63,0.3691
2019,63,0.3513
2020,63,0.3565
2008,64,0.2357
2009,64,0.2461
2010,64,0.255
2011,64,0.2617
2012,64,0.3091
2013,64,0.3085
2014,64,0.3005
2015,64,0.3045
2016,64,0.331
2017,64,0.2926
2018,64,0.2759
2019,64,0.2871
2020,64,0.3484
2008,65,0.2178
2009,65,0.202
2010,65,0.2145
2011,65,0.2227
2012,65,0.2345
2013,65,0.1972
2014,65,0.2147
2015,65,0.2045
2016,65,0.2037
2017,65,0.1867
2018,65,0.2051
2019,65,0.192
2020,65,0.2779
2008,66,
2009,66,
2010,66,
2011,66,0.0719
2012,66,0.1885
2013,66,0.1696
2014,66,0.1742
2015,66,0.1739
2016,66,0.1781
2017,66,0.1779
2018,66,0.1939
2019,66,0.1867
2020,66,0.2532
2008,67,0.3063
2009,67,0.2748
2010,67,0.276
2011,67,0.3282
2012,67,0.3315
2013,67,0.3003
2014,67,0.4107
2015,67,0.4278
2016,67,0.3955
2017,67,0.4033
2018,67,0.3886
2019,67,0.2202
2020,67,0.1896
2008,68,0.2982
2009,68,0.3258
2010,68,0.3131
2011,68,4.8888
2012,68,4.8869
2013,68,4.9083
2014,68,4.9093
2015,68,4.9219
2016,68,0.5103
2017,68,0.5359
2018,68,0.4812
2019,68,0.5623
2020,68,0.494
2008,69,0.2895
2009,69,0.2846
2010,69,0.2602
2011,69,0.3027
2012,69,0.314
