Date,Id,total liabilities
2013,44,83049
2014,44,74874
2015,44,71647
2016,44,60362
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,3914626
2009,46,4391221
2010,46,4730768
2011,46,4858782
2012,46,5023911
2013,46,5338749
2014,46,5113030
2015,46,4836342
2016,46,4884529
2017,46,5256701
2018,46,6026208
2019,46,6610013
2020,46,7115344
2008,47,6109000
2009,47,7147000
2010,47,7086000
2011,47,7262000
2012,47,7979000
2013,47,7290000
2014,47,6831000
2015,47,6234000
2016,47,6745000
2017,47,6635000
2018,47,6546000
2019,47,6797000
2020,47,7845000
2008,48,6448000
2009,48,6809000
2010,48,5524000
2011,48,6892000
2012,48,7855000
2013,48,8355000
2014,48,9543000
2015,48,10143000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,2573
2011,49,2951
2012,49,2031
2013,49,6439
2014,49,21828
2015,49,17288
2016,49,12195
2017,49,11219
2018,49,5530
2019,49,4531
2020,49,4240
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,77487
2013,50,77588
2014,50,48702
2015,50,57454
2016,50,61368
2017,50,88796
2018,50,84174
2019,50,77446
2020,50,83734
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,14125
2015,52,13284
2016,52,37114
2017,52,37328
2018,52,49160
2019,52,53607
2020,52,71848
2008,53,93581
2009,53,81060
2010,53,79378
2011,53,59691
2012,53,64797
2013,53,73367
2014,53,77538
2015,53,72627
2016,53,95244
2017,53,111471
2018,53,84862
2019,53,180911
2020,53,177562
2008,54,61780
2009,54,57909
2010,54,74905
2011,54,87931
2012,54,66242
2013,54,77210
2014,54,92821
2015,54,95573
2016,54,101462
2017,54,124380
2018,54,134291
2019,54,178054
2020,54,220411
2008,55,266263
2009,55,259028
2010,55,296307
2011,55,366809
2012,55,357118
2013,55,359860
2014,55,318361
2015,55,343557
2016,55,357040
2017,55,435909
2018,55,399952
2019,55,356866
2020,55,296230
2008,56,324604
2009,56,277175
2010,56,271879
2011,56,318296
2012,56,288938
2013,56,256121
2014,56,275397
2015,56,294668
2016,56,315408
2017,56,353206
2018,56,361361
2019,56,330343
2020,56,312242
2008,57,42067
2009,57,55338
