Date,Id,other proceeds
2017,50,0
2018,50,0
2019,50,0
2020,50,25324
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,4217
2016,52,206
2017,52,9
2018,52,16
2019,52,24
2020,52,
2008,53,0
2009,53,0
2010,53,0
2011,53,0
2012,53,
2013,53,0
2014,53,0
2015,53,0
2016,53,0
2017,53,0
2018,53,0
2019,53,0
2020,53,0
2008,54,
2009,54,689
2010,54,64
2011,54,187
2012,54,2048
2013,54,668
2014,54,462
2015,54,0
2016,54,0
2017,54,0
2018,54,0
2019,54,2866
2020,54,1137
2008,55,
2009,55,0
2010,55,0
2011,55,8780
2012,55,3792
2013,55,1728
2014,55,10490
2015,55,0
2016,55,0
2017,55,0
2018,55,0
2019,55,0
2020,55,0
2008,56,24677
2009,56,0
2010,56,5600
2011,56,3
2012,56,15
2013,56,15647
2014,56,0
2015,56,0
2016,56,0
2017,56,0
2018,56,0
2019,56,0
2020,56,0
2008,57,0
2009,57,0
2010,57,0
2011,57,0
2012,57,0
2013,57,0
2014,57,28
2015,57,0
2016,57,4339
2017,57,0
2018,57,0
2019,57,
2020,57,
2008,58,
2009,58,0
2010,58,0
2011,58,0
2012,58,1000
2013,58,0
2014,58,0
2015,58,3000
2016,58,0
2017,58,3000
2018,58,496000
2019,58,2000
2020,58,1000
2008,59,
2009,59,0
2010,59,0
2011,59,0
2012,59,0
2013,59,0
2014,59,0
2015,59,0
2016,59,0
2017,59,0
2018,59,371
2019,59,101
2020,59,640
2008,60,380
2009,60,69
2010,60,0
2011,60,0
2012,60,3016
2013,60,2
2014,60,0
2015,60,0
2016,60,0
2017,60,0
2018,60,0
2019,60,0
2020,60,0
2008,61,0
2009,61,0
2010,61,0
2011,61,0
2012,61,0
2013,61,0
2014,61,0
2015,61,0
2016,61,0
2017,61,1129
2018,61,0
2019,61,0
