Date,Id,inventories
2020,50,0
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,60
2015,52,147
2016,52,481
2017,52,805
2018,52,1608
2019,52,6818
2020,52,6364
2008,53,26759
2009,53,20387
2010,53,27748
2011,53,30605
2012,53,31614
2013,53,28573
2014,53,29719
2015,53,32534
2016,53,38233
2017,53,47553
2018,53,23482
2019,53,25547
2020,53,30012
2008,54,58346
2009,54,51745
2010,54,57626
2011,54,71297
2012,54,45465
2013,54,48372
2014,54,50481
2015,54,58061
2016,54,62138
2017,54,66567
2018,54,85892
2019,54,97037
2020,54,111594
2008,55,52138
2009,55,39082
2010,55,45308
2011,55,59630
2012,55,49153
2013,55,53803
2014,55,62416
2015,55,69477
2016,55,82344
2017,55,85938
2018,55,95826
2019,55,102921
2020,55,78271
2008,56,106187
2009,56,71808
2010,56,70151
2011,56,84982
2012,56,81084
2013,56,66214
2014,56,77504
2015,56,93993
2016,56,98561
2017,56,113035
2018,56,135863
2019,56,127818
2020,56,118689
2008,57,33526
2009,57,33075
2010,57,39728
2011,57,70610
2012,57,60627
2013,57,68228
2014,57,61287
2015,57,69548
2016,57,62598
2017,57,62619
2018,57,86286
2019,57,
2020,57,
2008,58,514000
2009,58,443000
2010,58,600000
2011,58,929000
2012,58,897000
2013,58,920000
2014,58,981000
2015,58,979000
2016,58,906000
2017,58,954000
2018,58,1515000
2019,58,1523000
2020,58,1531000
2008,59,32378
2009,59,28587
2010,59,29724
2011,59,37202
2012,59,36815
2013,59,36758
2014,59,38291
2015,59,39191
2016,59,38796
2017,59,41673
2018,59,50619
2019,59,50828
2020,59,50435
2008,60,67599
2009,60,65416
2010,60,67095
2011,60,65823
2012,60,55643
2013,60,45496
2014,60,46691
2015,60,54971
2016,60,54275
2017,60,45803
2018,60,57015
2019,60,48018
2020,60,49756
2008,61,21952
2009,61,16898
2010,61,31183
2011,61,28897
2012,61,24489
2013,61,22071
2014,61,19104
2015,61,22674
2016,61,21589
2017,61,20264
2018,61,22978
2019,61,24548
2020,61,20301
2008,62,71213
2009,62,61578
2010,62,100489
2011,62,116635
2012,62,100543
2013,62,82516
2014,62,94898
2015,62,79968
2016,62,72428
2017,62,82376
2018,62,95786
2019,62,82308
2020,62,76231
2008,63,495
2009,63,476
2010,63,260
2011,63,0
2012,63,0
2013,63,0
2014,63,0
2015,63,0
2016,63,0
2017,63,0
2018,63,0
2019,63,0
2020,63,1963
2008,64,478000
2009,64,480000
2010,64,433000
2011,64,483000
2012,64,467000
2013,64,365000
2014,64,313000
2015,64,254000
2016,64,270000
2017,64,290000
2018,64,389000
2019,64,260000
2020,64,242000
2008,65,123782
2009,65,110268
2010,65,138142
2011,65,127815
2012,65,98736
2013,65,100704
2014,65,116366
2015,65,119858
2016,65,142336
2017,65,147552
2018,65,158878
2019,65,170395
2020,65,134581
2008,66,
2009,66,
2010,66,0
2011,66,16313
2012,66,19194
2013,66,21131
2014,66,20610
2015,66,24295
2016,66,25732
2017,66,31888
2018,66,36210
2019,66,42728
2020,66,31238
2008,67,3606
2009,67,3219
2010,67,3753
2011,67,3963
2012,67,3812
2013,67,3473
2014,67,3438
2015,67,3541
2016,67,7698
2017,67,9114
2018,67,9971
2019,67,10755
2020,67,10337
2008,68,23562
2009,68,12655
2010,68,3757
2011,68,4309
2012,68,4266
2013,68,3402
2014,68,4395
2015,68,4736
2016,68,5091
2017,68,4676
2018,68,3542
2019,68,1562
2020,68,719
2008,69,333600
2009,69,377900
2010,69,392100
2011,69,382500
2012,69,503900
2013,69,451200
2014,69,531500
2015,69,585100
2016,69,723500
2017,69,682100
2018,69,
2019,69,
2020,69,
2008,70,2309
2009,70,2157
2010,70,2136
2011,70,6073
2012,70,6721
2013,70,6456
2014,70,7186
2015,70,7485
2016,70,7206
2017,70,7521
2018,70,6493
2019,70,6784
2020,70,8528
2008,71,3636
2009,71,3536
2010,71,4174
2011,71,4789
2012,71,6155
2013,71,6338
2014,71,6259
2015,71,4683
2016,71,5192
2017,71,5954
2018,71,6040
2019,71,6918
2020,71,6439
2008,72,149960
2009,72,146233
2010,72,139126
2011,72,176390
2012,72,188052
2013,72,194143
2014,72,212941
2015,72,199796
2016,72,186964
2017,72,209484
2018,72,204410
2019,72,219051
2020,72,247215
2008,73,4935
2009,73,4516
2010,73,3872
2011,73,5526
2012,73,5338
2013,73,5584
2014,73,5280
2015,73,6106
2016,73,9154
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,4095
2015,75,4737
2016,75,5091
2017,75,4668
2018,75,3553
2019,75,1562
2020,75,719
2008,76,131000
2009,76,420000
2010,76,451000
2011,76,261000
2012,76,202000
2013,76,156000
2014,76,155000
2015,76,152000
2016,76,118000
2017,76,86000
2018,76,109000
2019,76,112000
2020,76,98000
2008,77,45461
2009,77,42250
2010,77,46574
2011,77,69444
2012,77,122722
2013,77,107872
2014,77,81659
2015,77,96337
2016,77,94952
