Date,Id,short term debt
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,2809
2015,52,1665
2016,52,5356
2017,52,7096
2018,52,10656
2019,52,11814
2020,52,6140
2008,53,38723
2009,53,28959
2010,53,13187
2011,53,26666
2012,53,19335
2013,53,51654
2014,53,37412
2015,53,12148
2016,53,15086
2017,53,22732
2018,53,32791
2019,53,34436
2020,53,39645
2008,54,5548
2009,54,5613
2010,54,6460
2011,54,12997
2012,54,12398
2013,54,15756
2014,54,21130
2015,54,14270
2016,54,10336
2017,54,9161
2018,54,8308
2019,54,16703
2020,54,23827
2008,55,65014
2009,55,123251
2010,55,47794
2011,55,75222
2012,55,85998
2013,55,46643
2014,55,75975
2015,55,39367
2016,55,36233
2017,55,51113
2018,55,51076
2019,55,54099
2020,55,57766
2008,56,127803
2009,56,44160
2010,56,44837
2011,56,51715
2012,56,56513
2013,56,51830
2014,56,56534
2015,56,25700
2016,56,34894
2017,56,42525
2018,56,37028
2019,56,48914
2020,56,58192
2008,57,9730
2009,57,7578
2010,57,19992
2011,57,3978
2012,57,37645
2013,57,51044
2014,57,49518
2015,57,7395
2016,57,14181
2017,57,21812
2018,57,48186
2019,57,
2020,57,
2008,58,189000
2009,58,152000
2010,58,201000
2011,58,982000
2012,58,361000
2013,58,338000
2014,58,568000
2015,58,262000
2016,58,172000
2017,58,370000
2018,58,98000
2019,58,212000
2020,58,127000
2008,59,3315
2009,59,3601
2010,59,1024
2011,59,6664
2012,59,4219
2013,59,1647
2014,59,0
2015,59,0
2016,59,0
2017,59,0
2018,59,8667
2019,59,10514
2020,59,24270
2008,60,33897
2009,60,44432
2010,60,46147
2011,60,67761
2012,60,141767
2013,60,137961
2014,60,46434
2015,60,39600
2016,60,43790
2017,60,30818
2018,60,86702
2019,60,71038
2020,60,63311
2008,61,6939
2009,61,31268
2010,61,16220
2011,61,17064
2012,61,22297
2013,61,20608
2014,61,22061
2015,61,38352
2016,61,17126
2017,61,14991
2018,61,10817
2019,61,13714
2020,61,16336
2008,62,10349
2009,62,27095
2010,62,92831
2011,62,88195
2012,62,81511
2013,62,65904
2014,62,53402
2015,62,29184
2016,62,30133
2017,62,49824
2018,62,49931
2019,62,42187
2020,62,30519
2008,63,13007
2009,63,664
2010,63,1813
2011,63,1819
2012,63,1624
2013,63,0
2014,63,0
2015,63,559
2016,63,888
2017,63,17412
2018,63,11603
2019,63,6347
2020,63,27633
2008,64,6267000
2009,64,6986000
2010,64,6882000
2011,64,6091000
2012,64,5783000
2013,64,5896000
2014,64,4441000
2015,64,5549000
2016,64,3976000
2017,64,4681000
2018,64,5575000
2019,64,3759000
2020,64,4244000
2008,65,159073
2009,65,162852
2010,65,110527
2011,65,139741
2012,65,179973
2013,65,67704
2014,65,138019
2015,65,75671
2016,65,118472
2017,65,120161
2018,65,119578
2019,65,186713
2020,65,175990
2008,66,
2009,66,
2010,66,0
2011,66,129241
2012,66,87989
2013,66,53807
2014,66,55170
2015,66,323680
2016,66,64678
2017,66,62184
2018,66,102229
2019,66,55660
2020,66,58556
2008,67,8651
2009,67,13512
2010,67,11294
2011,67,11072
2012,67,10687
2013,67,10475
2014,67,9021
2015,67,10401
2016,67,24592
2017,67,30234
2018,67,20631
2019,67,37685
2020,67,83184
2008,68,36318
2009,68,39830
2010,68,24499
2011,68,3849
2012,68,2984
2013,68,1414
2014,68,2073
2015,68,6700
2016,68,8717
2017,68,8445
2018,68,5678
2019,68,5502
2020,68,6220
2008,69,213100
2009,69,38500
2010,69,7500
2011,69,26800
2012,69,56500
2013,69,46400
2014,69,39700
2015,69,138800
2016,69,249900
2017,69,216700
2018,69,
2019,69,
2020,69,
2008,70,317
2009,70,341
2010,70,346
2011,70,3286
2012,70,3255
2013,70,3027
2014,70,2163
2015,70,2406
2016,70,98
2017,70,100
2018,70,1963
2019,70,3129
2020,70,3146
2008,71,512
2009,71,113
2010,71,557
2011,71,76
2012,71,617
2013,71,511
2014,71,1087
2015,71,769
2016,71,1953
2017,71,1980
2018,71,1769
2019,71,2928
2020,71,3954
2008,72,103794
2009,72,83539
2010,72,64037
2011,72,89835
2012,72,100640
2013,72,85672
2014,72,89877
2015,72,95490
2016,72,73269
2017,72,73748
2018,72,108499
2019,72,131254
2020,72,141335
2008,73,3325
2009,73,3937
2010,73,505
2011,73,2034
2012,73,4603
2013,73,3879
2014,73,1245
2015,73,1031
2016,73,8642
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,890
2015,75,4344
2016,75,6103
2017,75,7479
2018,75,5573
2019,75,5254
2020,75,2308
2008,76,1037000
2009,76,2500000
2010,76,3164000
2011,76,4399000
2012,76,615000
2013,76,2250000
2014,76,2057000
2015,76,2729000
2016,76,2353000
2017,76,2443000
2018,76,3633000
2019,76,4131000
2020,76,5605000
2008,77,778370
2009,77,583078
2010,77,1041103
2011,77,1155554
2012,77,775063
2013,77,804189
2014,77,593372
2015,77,159194
2016,77,377554
2017,77,137622
2018,77,363717
2019,77,393238
2020,77,252766
2008,78,209555
2009,78,120187
2010,78,152436
2011,78,122150
2012,78,321327
2013,78,385153
2014,78,550784
2015,78,484000
2016,78,182300
2017,78,279600
2018,78,611600
2019,78,324900
2020,78,637000
2008,79,44683
2009,79,79144
2010,79,74431
2011,79,96964
2012,79,78998
2013,79,90245
2014,79,56151
2015,79,73658
2016,79,48818
2017,79,38634
2018,79,57650
2019,79,109363
2020,79,82261
2008,80,68052
2009,80,97151
2010,80,117170
2011,80,214757
2012,80,191811
2013,80,94222
2014,80,184914
2015,80,97933
2016,80,64490
2017,80,80378
2018,80,131044
2019,80,137070
2020,80,166127
2008,81,908000
2009,81,1332000
2010,81,1601000
2011,81,1238000
2012,81,1536000
2013,81,1040000
2014,81,783000
2015,81,334000
2016,81,1075000
2017,81,161000
2018,81,218000
2019,81,342000
2020,81,216000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,82145
2013,82,27925
2014,82,23987
2015,82,58449
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,43453
2009,83,73459
2010,83,93798
2011,83,96284
2012,83,107095
2013,83,113015
2014,83,92734
2015,83,92475
2016,83,96271
2017,83,60245
2018,83,81948
2019,83,127915
2020,83,104015
2008,84,639311
2009,84,259524
2010,84,861107
2011,84,858334
2012,84,921735
2013,84,2205267
2014,84,151303
2015,84,174844
2016,84,234930
2017,84,251177
2018,84,271721
2019,84,189646
2020,84,256307
2008,85,113658
2009,85,64901
2010,85,50416
2011,85,42764
2012,85,49275
2013,85,42728
2014,85,36196
2015,85,14839
2016,85,16174
2017,85,19512
2018,85,20354
2019,85,25610
2020,85,21062
2008,86,639311
2009,86,259524
2010,86,861107
2011,86,858334
2012,86,921735
2013,86,2205267
2014,86,151303
2015,86,174844
2016,86,234930
2017,86,251177
2018,86,271721
2019,86,189646
2020,86,256307
2008,87,19913
2009,87,20530
2010,87,27630
2011,87,30891
2012,87,28653
2013,87,30005
2014,87,21366
2015,87,37047
2016,87,5462
2017,87,3658
2018,87,4903
2019,87,4487
2020,87,
2008,88,5643
2009,88,4827
2010,88,3576
2011,88,3402
2012,88,1624
2013,88,1363
2014,88,2335
2015,88,2396
2016,88,3965
2017,88,3317
2018,88,1401
2019,88,
2020,88,
2008,89,7777
2009,89,25784
2010,89,11926
2011,89,13826
2012,89,15667
2013,89,28032
2014,89,26256
2015,89,38745
2016,89,33427
2017,89,45216
2018,89,29470
2019,89,
2020,89,
2008,90,4086
2009,90,313
2010,90,5600
2011,90,2527
2012,90,12007
2013,90,12904
2014,90,30534
2015,90,29313
2016,90,17633
2017,90,71378
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,147
2013,91,448
2014,91,1437
2015,91,874
2016,91,1102
2017,91,466
2018,91,2079
2019,91,3738
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,1019
2015,92,2649
2016,92,2102
2017,92,1972
2018,92,149
2019,92,109
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,66461
2009,95,63153
2010,95,45457
2011,95,45810
2012,95,119046
2013,95,11411
2014,95,14793
2015,95,14205
2016,95,13516
2017,95,291381
2018,95,38115
2019,95,245532
2020,95,154813
2008,96,217768
2009,96,209263
2010,96,203207
2011,96,193830
2012,96,155441
2013,96,139745
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,45865
2009,97,51869
2010,97,46838
2011,97,58959
2012,97,7327
2013,97,4612
2014,97,4281
2015,97,17448
2016,97,2809
2017,97,3829
2018,97,1864
2019,97,5877
2020,97,10794
2008,98,5315
2009,98,8792
2010,98,8822
2011,98,8552
2012,98,8066
2013,98,6752
2014,98,3007
2015,98,2300
2016,98,26512
2017,98,23910
2018,98,20601
2019,98,4812
2020,98,4209
2008,99,42112
2009,99,35648
2010,99,54960
2011,99,71803
2012,99,61626
2013,99,68932
2014,99,65550
2015,99,71080
2016,99,56550
2017,99,24995
2018,99,
2019,99,
2020,99,
2008,100,215103
2009,100,141973
2010,100,102755
2011,100,95942
2012,100,110971
2013,100,111588
2014,100,225507
2015,100,67749
2016,100,102923
2017,100,125458
2018,100,149845
2019,100,132585
2020,100,224265
2008,101,10517
2009,101,9520
2010,101,7773
2011,101,12801
2012,101,12029
2013,101,8434
2014,101,6701
2015,101,10081
2016,101,8370
2017,101,9181
2018,101,7564
2019,101,9621
2020,101,4765
2008,102,41324
2009,102,24961
2010,102,29449
2011,102,43665
2012,102,45205
2013,102,46568
2014,102,57376
2015,102,43411
2016,102,59025
2017,102,57040
2018,102,37792
2019,102,30842
2020,102,20109
2008,103,100514
2009,103,85091
2010,103,102117
2011,103,93954
2012,103,92510
2013,103,90925
2014,103,79614
2015,103,79194
2016,103,79664
2017,103,84483
2018,103,74133
2019,103,
2020,103,
2008,104,1466
2009,104,2768
2010,104,3357
2011,104,4670
2012,104,12706
2013,104,8358
2014,104,8273
2015,104,10320
2016,104,8487
2017,104,6678
2018,104,13249
2019,104,7363
2020,104,29798
2008,105,1779
2009,105,2418
2010,105,2898
2011,105,3939
2012,105,3850
2013,105,1983
2014,105,3591
2015,105,2287
2016,105,3274
2017,105,4248
2018,105,5847
2019,105,7134
2020,105,4290
2008,106,39586
2009,106,13754
2010,106,12330
2011,106,65866
2012,106,80351
2013,106,40965
2014,106,40736
2015,106,55433
2016,106,46441
2017,106,78453
2018,106,69247
2019,106,73269
2020,106,66775
2008,107,133140
2009,107,128449
2010,107,125649
2011,107,131047
2012,107,111580
2013,107,75040
2014,107,97306
2015,107,80305
2016,107,80040
2017,107,87495
2018,107,86066
2019,107,92346
2020,107,11025
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,42471
2014,108,42471
2015,108,68539
2016,108,77037
2017,108,99257
2018,108,86029
2019,108,101226
2020,108,124983
2008,109,
2009,109,5993
2010,109,62289
2011,109,8489
2012,109,9879
2013,109,12506
2014,109,4856
2015,109,7609
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,921
2009,110,1799
2010,110,2766
2011,110,2918
2012,110,28853
2013,110,924
2014,110,3428
2015,110,1696
2016,110,576
2017,110,282
2018,110,82
2019,110,233
2020,110,329
2008,111,48696
2009,111,61154
2010,111,48823
2011,111,26920
2012,111,21887
2013,111,23729
2014,111,22106
2015,111,24561
2016,111,36912
2017,111,281
2018,111,1236
2019,111,1397
2020,111,12417
2008,112,123303
2009,112,124573
2010,112,159741
2011,112,118526
2012,112,91837
2013,112,86378
2014,112,60833
2015,112,102389
2016,112,93538
2017,112,108459
2018,112,106529
2019,112,144370
2020,112,
2008,113,39635
2009,113,45278
2010,113,35752
2011,113,45864
2012,113,67325
2013,113,44884
2014,113,20812
2015,113,28698
2016,113,33880
2017,113,28889
2018,113,21528
2019,113,53526
2020,113,74538
2008,114,10729
2009,114,5204
2010,114,2482
2011,114,5195
2012,114,6902
2013,114,4302
2014,114,3250
2015,114,3347
2016,114,4766
2017,114,6867
2018,114,9663
2019,114,9716
2020,114,
2008,115,18064
2009,115,15498
2010,115,13041
2011,115,13419
2012,115,16689
2013,115,25519
2014,115,24726
2015,115,15706
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,18296
2009,116,6045
2010,116,5898
2011,116,17032
2012,116,24641
2013,116,17940
2014,116,19613
2015,116,23480
2016,116,14605
2017,116,17286
2018,116,18083
2019,116,19009
2020,116,30489
2008,117,30543
2009,117,38649
2010,117,20773
2011,117,25390
2012,117,29652
2013,117,38082
2014,117,36506
2015,117,45178
2016,117,67809
2017,117,75136
2018,117,69229
2019,117,71629
2020,117,83844
2008,118,123518
2009,118,284604
2010,118,149819
2011,118,194548
2012,118,152553
2013,118,144793
2014,118,162960
2015,118,133621
2016,118,87896
2017,118,72972
2018,118,14937
2019,118,15067
2020,118,23800
2008,119,105438
2009,119,178942
2010,119,133125
2011,119,122462
2012,119,97917
2013,119,82303
2014,119,92068
2015,119,89568
2016,119,127180
2017,119,175420
2018,119,173321
2019,119,217186
2020,119,192195
2008,120,
2009,120,
2010,120,
2011,120,29342
2012,120,26359
2013,120,71563
2014,120,931430
2015,120,1368831
2016,120,1132903
2017,120,1107278
2018,120,1121110
2019,120,1210810
2020,120,1690624
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,
2013,121,7532000
2014,121,9216915
2015,121,8926332
2016,121,9908496
2017,121,9694416
2018,121,9201344
2019,121,9543508
2020,121,9645363
2008,122,223506
2009,122,137525
2010,122,197209
2011,122,167376
2012,122,151458
2013,122,250635
2014,122,186118
2015,122,140722
2016,122,154211
2017,122,340791
2018,122,137178
2019,122,226495
2020,122,355187
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,1718
2015,123,2134
2016,123,3396
2017,123,4317
2018,123,12890
2019,123,18365
2020,123,14527
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,11102
2016,124,8736
2017,124,11388
2018,124,12692
2019,124,13320
2020,124,13080
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,18729
2016,125,41904
2017,125,42392
2018,125,48829
2019,125,79271
2020,125,76646
2008,126,331402
2009,126,189133
2010,126,197841
2011,126,247776
2012,126,119913
2013,126,351220
2014,126,29404
2015,126,24295
2016,126,12915
2017,126,17775
2018,126,15391
2019,126,116134
2020,126,29960
2008,127,15841
2009,127,6909
2010,127,48197
2011,127,235046
2012,127,228960
2013,127,256264
2014,127,257296
2015,127,256466
2016,127,245002
2017,127,247848
2018,127,245574
2019,127,245794
2020,127,244459
2008,128,612533
2009,128,248500
2010,128,293898
2011,128,301302
2012,128,334636
2013,128,257125
2014,128,335366
2015,128,194296
2016,128,709650
2017,128,276949
2018,128,368648
2019,128,
2020,128,
2008,129,53250
2009,129,55954
2010,129,24070
2011,129,40281
2012,129,43686
2013,129,113975
2014,129,24037
2015,129,28335
2016,129,47345
2017,129,796
2018,129,
2019,129,
2020,129,
2008,130,9428
2009,130,12540
2010,130,3911
2011,130,14915
2012,130,18375
2013,130,10080
2014,130,17687
2015,130,4128
2016,130,1780
2017,130,424
2018,130,279
2019,130,
2020,130,
2008,131,4236
2009,131,0
2010,131,0
2011,131,0
2012,131,0
2013,131,0
2014,131,2068
2015,131,4502
2016,131,4456
2017,131,9538
2018,131,14256
2019,131,25350
2020,131,46525
2008,132,840022
2009,132,954339
2010,132,2561332
2011,132,666799
2012,132,1359246
2013,132,3192444
2014,132,825453
2015,132,1627465
2016,132,2954537
2017,132,1889112
2018,132,3080928
2019,132,3543000
2020,132,6697000
2008,133,37755
2009,133,29830
2010,133,40657
2011,133,81727
2012,133,58800
2013,133,310912
2014,133,370294
2015,133,342195
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,604179
2009,134,239714
2010,134,285112
2011,134,292517
2012,134,663362
2013,134,267816
2014,134,362212
2015,134,228137
2016,134,805636
2017,134,346705
2018,134,492507
2019,134,1053762
2020,134,723546
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,11204
2013,135,9356
2014,135,10084
2015,135,10173
2016,135,5870
2017,135,5861
2018,135,4476
2019,135,3580
2020,135,3608
2008,136,53039
2009,136,61012
2010,136,58575
2011,136,58856
2012,136,42575
2013,136,33015
2014,136,23404
2015,136,12746
2016,136,25944
2017,136,1957
2018,136,1990
2019,136,20811
2020,136,6786
2008,137,403
2009,137,344
2010,137,987
2011,137,1404
2012,137,761
2013,137,816
2014,137,6687
2015,137,1134
2016,137,1129
2017,137,5789
2018,137,7095
2019,137,8138
2020,137,7848
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,29576
2009,139,5233
2010,139,7051
2011,139,8429
2012,139,5349
2013,139,4153
2014,139,3852
2015,139,2853
2016,139,2095
2017,139,3611
2018,139,3076
2019,139,5260
2020,139,5339
2008,140,50591
2009,140,30897
2010,140,25916
2011,140,27245
2012,140,52050
2013,140,46455
2014,140,5966
2015,140,38230
2016,140,3
2017,140,141
2018,140,3
2019,140,
2020,140,
2008,141,26446
2009,141,22266
2010,141,18544
2011,141,22032
2012,141,12334
2013,141,30544
2014,141,15789
2015,141,26517
2016,141,13534
2017,141,7645
2018,141,10557
2019,141,12892
2020,141,10916
2008,142,6652
