Date,Id,Net_income
2013,56,5429
2014,56,9763
2015,56,6017
2016,56,10102
2017,56,18515
2018,56,24056
2019,56,9046
2020,56,-7201
2008,57,30194
2009,57,26813
2010,57,29229
2011,57,30594
2012,57,27192
2013,57,16096
2014,57,15444
2015,57,15217
2016,57,13141
2017,57,22931
2018,57,18823
2019,57,
2020,57,
2008,58,237000
2009,58,248000
2010,58,148000
2011,58,-136000
2012,58,168000
2013,58,149000
2014,58,115000
2015,58,214000
2016,58,246000
2017,58,227000
2018,58,130000
2019,58,292000
2020,58,178000
2008,59,10857
2009,59,6887
2010,59,11340
2011,59,11400
2012,59,11539
2013,59,10503
2014,59,13542
2015,59,15933
2016,59,16927
2017,59,21104
2018,59,20926
2019,59,19946
2020,59,18975
2008,60,7748
2009,60,8062
2010,60,9380
2011,60,9841
2012,60,-19919
2013,60,-7190
2014,60,3429
2015,60,494
2016,60,3831
2017,60,3509
2018,60,-9187
2019,60,-1333
2020,60,-8937
2008,61,4636
2009,61,-9907
2010,61,9311
2011,61,8713
2012,61,586
2013,61,-8486
2014,61,-224
2015,61,-4769
2016,61,3948
2017,61,6864
2018,61,8151
2019,61,7042
2020,61,4353
2008,62,5252
2009,62,-15168
2010,62,10800
2011,62,10275
2012,62,1109
2013,62,111
2014,62,3795
2015,62,2949
2016,62,55
2017,62,4685
2018,62,5876
2019,62,1942
2020,62,2726
2008,63,-7540
2009,63,-9229
2010,63,-6479
2011,63,-3442
2012,63,-3552
2013,63,-876
2014,63,-7881
2015,63,3418
2016,63,2865
2017,63,11375
2018,63,10123
2019,63,10877
2020,63,15029
2008,64,2214000
2009,64,1581000
2010,64,3121000
2011,64,-4726000
2012,64,-1627000
2013,64,-674000
2014,64,1350000
2015,64,-72000
2016,64,1808000
2017,64,1121000
2018,64,-1411000
2019,64,916000
2020,64,7224000
2008,65,31708
2009,65,38111
2010,65,45121
2011,65,49043
2012,65,48299
2013,65,46737
2014,65,51105
2015,65,58083
2016,65,58524
2017,65,65504
2018,65,68505
2019,65,66609
2020,65,-2413
2008,66,
2009,66,
2010,66,-56
2011,66,2684
2012,66,-15422
2013,66,5662
2014,66,1712
2015,66,-19449
2016,66,16874
2017,66,19506
2018,66,23232
2019,66,18497
2020,66,-15344
2008,67,-1221
2009,67,800
2010,67,1001
2011,67,-1021
2012,67,-1099
2013,67,1270
2014,67,791
2015,67,517
2016,67,12015
2017,67,-261
2018,67,398
2019,67,-6511
2020,67,4132
2008,68,-2171
2009,68,-16728
2010,68,-3646
2011,68,11360
2012,68,244
2013,68,-124
2014,68,-2273
2015,68,-3380
2016,68,-2787
