Date,Id,market value
2019,43,11967.5
2020,43,12562.45
2008,44,27.88
2009,44,35.18
2010,44,45.57
2011,44,25.97
2012,44,12.53
2013,44,29.06
2014,44,15.1
2015,44,13.11
2016,44,9.62
2017,44,10.66
2018,44,10.66
2019,44,10.66
2020,44,10.66
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,2051.92
2009,46,1592.98
2010,46,1831.5
2011,46,1040.97
2012,46,969.84
2013,46,1762.28
2014,46,1903.91
2015,46,3024.1
2016,46,2459.75
2017,46,3279.66
2018,46,2557.71
2019,46,3927.07
2020,46,3652.35
2008,47,3981.92
2009,47,4592.84
2010,47,3223.76
2011,47,2276.06
2012,47,1370.02
2013,47,2664.54
2014,47,2623.81
2015,47,3928.66
2016,47,3853.47
2017,47,4830.94
2018,47,4926.49
2019,47,5238.21
2020,47,4086.87
2008,48,
2009,48,
2010,48,7904.99
2011,48,8069.99
2012,48,7025
2013,48,9154.99
2014,48,8670
2015,48,9415
2016,48,9450
2017,48,9450
2018,48,9450
2019,48,9450
2020,48,9450
2008,49,
2009,49,
2010,49,
2011,49,
2012,49,32.6
2013,49,56.28
2014,49,43.61
2015,49,27.34
2016,49,16.22
2017,49,20.11
2018,49,19.34
2019,49,17.8
2020,49,17.91
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,
2014,50,89.11
2015,50,75.97
2016,50,72.36
2017,50,77.56
2018,50,73.68
2019,50,63.98
2020,50,84.82
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,16.06
2016,52,19.54
2017,52,37.95
2018,52,35.7
2019,52,32.47
2020,52,29.39
2008,53,91.32
2009,53,92.32
2010,53,101.82
2011,53,97.64
2012,53,101.53
2013,53,102.48
2014,53,89.57
2015,53,189.41
2016,53,175.03
2017,53,349.91
2018,53,266.72
2019,53,445.28
2020,53,338.17
2008,54,66.87
2009,54,57.65
2010,54,61.17
2011,54,48.24
2012,54,74.92
2013,54,75.79
2014,54,127.99
2015,54,193.94
2016,54,452.91
2017,54,502.31
2018,54,244.5
2019,54,644.66
2020,54,520.57
2008,55,279.23
2009,55,237.88
2010,55,353.89
2011,55,336.07
2012,55,386.04
2013,55,483.94
2014,55,520.17
2015,55,958.52
2016,55,1092.36
2017,55,1801.32
2018,55,1192.31
2019,55,985.99
2020,55,818.25
2008,56,60
2009,56,68
2010,56,62.6
2011,56,57.46
2012,56,79.94
2013,56,81.28
2014,56,141.42
2015,56,155.36
2016,56,165.85
2017,56,354.33
2018,56,180.31
2019,56,171.93
2020,56,146.35
2008,57,203
2009,57,348
2010,57,352.64
2011,57,277.24
2012,57,305.54
2013,57,319
2014,57,309.95
2015,57,284.66
2016,57,295.57
2017,57,403.68
2018,57,404.84
2019,57,404.84
2020,57,404.84
2008,58,2004.06
2009,58,2209.25
2010,58,2320.87
2011,58,2057.1
2012,58,3219.78
2013,58,4015.01
2014,58,3283.19
2015,58,4390.76
2016,58,5287.98
2017,58,5913.35
2018,58,4523.59
2019,58,5762.42
2020,58,7797.63
2008,59,56.14
2009,59,79.22
2010,59,106.16
2011,59,92.65
2012,59,107.69
2013,59,152.83
2014,59,173.57
2015,59,236.3
2016,59,236.3
2017,59,367.2
2018,59,344.25
2019,59,408
2020,59,320.45
2008,60,102
2009,60,138.1
2010,60,132.4
2011,60,89.8
2012,60,67.86
2013,60,84.96
2014,60,80.3
2015,60,95.58
2016,60,73.74
2017,60,83.2
2018,60,56.4
2019,60,43.2
2020,60,60.2
2008,61,42.66
2009,61,32.18
2010,61,61.49
2011,61,41.51
2012,61,37.44
2013,61,39.77
2014,61,43.34
2015,61,24.84
2016,61,40.67
2017,61,142.92
2018,61,96.62
2019,61,98.21
2020,61,88.7
2008,62,41.07
2009,62,43.23
2010,62,43.74
2011,62,52.04
2012,62,39.55
2013,62,47.31
2014,62,49.25
2015,62,60.03
2016,62,50.57
2017,62,73.75
2018,62,50.91
2019,62,50.21
2020,62,47.54
2008,63,53.91
2009,63,70.19
2010,63,56.71
2011,63,55.81
2012,63,77.13
2013,63,91.99
2014,63,95.27
2015,63,99.54
2016,63,175.76
2017,63,273.5
2018,63,224.22
2019,63,261.18
2020,63,362.2
2008,64,15387.91
2009,64,14558.29
2010,64,12965.5
2011,64,11149.39
2012,64,9163.7
2013,64,9673.68
2014,64,11881.38
2015,64,15862.39
2016,64,12725.01
2017,64,10953.84
2018,64,7347.66
2019,64,8459.01
2020,64,5785.34
2008,65,359.24
2009,65,395.82
2010,65,577.1
2011,65,431.41
2012,65,525.55
2013,65,803.62
2014,65,979.25
2015,65,1269.3
2016,65,1154.21
2017,65,1431.62
2018,65,1370.42
2019,65,1353.78
2020,65,1121.61
2008,66,
2009,66,
2010,66,
