Date,Id,cogs
2017,65,1279697
2018,65,1313599
2019,65,1333535
2020,65,861546
2008,66,
2009,66,
2010,66,26
2011,66,153410
2012,66,158902
2013,66,114406
2014,66,113296
2015,66,117848
2016,66,127292
2017,66,147804
2018,66,153533
2019,66,158580
2020,66,122085
2008,67,69985
2009,67,62033
2010,67,66986
2011,67,70771
2012,67,54630
2013,67,53228
2014,67,55094
2015,67,49459
2016,67,61051
2017,67,97798
2018,67,98750
2019,67,99994
2020,67,120996
2008,68,75449
2009,68,84100
2010,68,51973
2011,68,30931
2012,68,28037
2013,68,28896
2014,68,31846
2015,68,35407
2016,68,33138
2017,68,29239
2018,68,25256
2019,68,19919
2020,68,6221
2008,69,2990500
2009,69,2952500
2010,69,3252500
2011,69,3424700
2012,69,4098600
2013,69,4225400
2014,69,4384100
2015,69,5142900
2016,69,5172600
2017,69,5288900
2018,69,
2019,69,
2020,69,
2008,70,24918
2009,70,25723
2010,70,29471
2011,70,30669
2012,70,76240
2013,70,79852
2014,70,87897
2015,70,65209
2016,70,65893
2017,70,64116
2018,70,51283
2019,70,43853
2020,70,49045
2008,71,18351
2009,71,17710
2010,71,19556
2011,71,20678
2012,71,22311
2013,71,16148
2014,71,16429
2015,71,15601
2016,71,14315
2017,71,14584
2018,71,16650
2019,71,17084
2020,71,15545
2008,72,360102
2009,72,339841
2010,72,352271
2011,72,400897
2012,72,442205
2013,72,458297
2014,72,458892
2015,72,530863
2016,72,467133
2017,72,479722
2018,72,499381
2019,72,514551
2020,72,610441
2008,73,3445
2009,73,5108
2010,73,5407
2011,73,3588
2012,73,2223
2013,73,2050
2014,73,3038
2015,73,1585
2016,73,792
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,41643
2015,75,46419
2016,75,46324
2017,75,41657
2018,75,35739
2019,75,27750
2020,75,11127
2008,76,217000
2009,76,274000
2010,76,384000
2011,76,370000
2012,76,436000
2013,76,893000
2014,76,900000
2015,76,987000
2016,76,495000
2017,76,449000
2018,76,453000
2019,76,393000
2020,76,506000
2008,77,1571590
2009,77,1274684
2010,77,1550553
2011,77,1915733
2012,77,2356063
2013,77,1438335
2014,77,1004729
2015,77,1001094
2016,77,974997
2017,77,1243706
2018,77,1344299
2019,77,1377354
2020,77,983239
2008,78,2514529
2009,78,3086303
2010,78,2424562
2011,78,2767020
2012,78,3065009
2013,78,2434484
2014,78,1948181
2015,78,2229000
2016,78,2149000
2017,78,2550000
2018,78,2937400
2019,78,3420400
2020,78,3365700
2008,79,114661
2009,79,138397
2010,79,122086
2011,79,125942
2012,79,172218
2013,79,138142
2014,79,110859
2015,79,104623
2016,79,80131
2017,79,74868
2018,79,127282
2019,79,198510
2020,79,145061
2008,80,719366
2009,80,636382
2010,80,681780
2011,80,868601
2012,80,806264
2013,80,574519
2014,80,359367
2015,80,346430
2016,80,249893
2017,80,271163
2018,80,332742
2019,80,1357
2020,80,1782
2008,81,8311000
2009,81,5788000
2010,81,7549000
2011,81,8577000
2012,81,8944000
2013,81,8865000
2014,81,10939000
2015,81,9959000
2016,81,8632000
2017,81,8431000
2018,81,7591000
2019,81,6949000
2020,81,4823000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,937530
2013,82,1273225
2014,82,1232280
2015,82,1602522
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,114199
2009,83,106899
2010,83,119707
2011,83,126002
2012,83,127312
2013,83,59212
2014,83,56843
2015,83,58720
2016,83,66901
2017,83,67737
2018,83,61255
2019,83,57968
2020,83,58073
2008,84,3544302
2009,84,3235797
2010,84,3592778
2011,84,3273065
2012,84,3064847
2013,84,3134781
2014,84,855033
2015,84,970833
2016,84,958148
2017,84,1051758
2018,84,1010127
2019,84,891812
2020,84,721098
2008,85,262181
2009,85,251533
2010,85,305978
2011,85,316109
2012,85,429034
2013,85,425274
2014,85,380605
2015,85,338373
2016,85,388940
2017,85,463059
2018,85,473134
2019,85,541092
2020,85,521175
2008,86,3544302
2009,86,3235797
2010,86,3592778
2011,86,3273065
2012,86,3064847
2013,86,3134781
2014,86,855033
2015,86,970833
2016,86,958148
2017,86,1051758
2018,86,1010127
2019,86,891812
2020,86,721098
2008,87,64718
2009,87,33603
2010,87,32166
2011,87,32708
2012,87,20369
2013,87,11934
2014,87,8831
2015,87,2029
2016,87,1709
2017,87,1955
2018,87,1765
2019,87,1665
2020,87,
2008,88,32980
2009,88,18606
2010,88,17513
2011,88,16403
2012,88,9279
2013,88,5321
2014,88,4408
2015,88,3859
2016,88,1724
2017,88,16484
2018,88,17607
2019,88,
2020,88,
2008,89,94147
2009,89,99341
2010,89,109612
2011,89,104297
2012,89,111741
2013,89,75284
2014,89,79677
2015,89,82454
2016,89,80249
2017,89,84330
2018,89,83453
2019,89,
2020,89,
2008,90,83923
2009,90,124159
2010,90,151403
2011,90,212598
2012,90,271202
2013,90,322698
2014,90,379127
2015,90,655765
2016,90,1319656
2017,90,1489800
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,139
2013,91,869
2014,91,1559
2015,91,1543
2016,91,1310
2017,91,1025
2018,91,3118
2019,91,2944
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,23674
2015,92,21345
2016,92,12738
2017,92,13859
2018,92,13127
2019,92,13013
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,347550
2009,95,348084
2010,95,372261
2011,95,427459
2012,95,188904
2013,95,192626
2014,95,206831
2015,95,505590
2016,95,543745
2017,95,583071
2018,95,625214
2019,95,768051
2020,95,696078
2008,96,342897
2009,96,290992
2010,96,254315
2011,96,219623
2012,96,1779
2013,96,1631
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,89824
2009,97,87279
2010,97,77634
2011,97,36838
2012,97,23401
2013,97,9219
2014,97,8952
2015,97,6609
2016,97,3169
2017,97,3234
2018,97,3487
2019,97,3457
2020,97,3977
2008,98,69182
2009,98,73286
2010,98,101506
2011,98,104152
2012,98,108937
2013,98,108716
2014,98,116985
2015,98,108773
2016,98,122275
2017,98,141965
2018,98,151371
2019,98,148402
2020,98,209434
2008,99,108743
2009,99,136302
2010,99,166849
2011,99,174761
2012,99,192318
2013,99,24798
2014,99,29363
2015,99,27409
2016,99,31683
2017,99,39393
2018,99,
2019,99,
2020,99,
2008,100,980831
2009,100,880036
2010,100,975515
2011,100,1073436
2012,100,868705
2013,100,705816
2014,100,756523
2015,100,828569
2016,100,797558
2017,100,842054
2018,100,910832
2019,100,947173
2020,100,1010313
2008,101,33307
2009,101,31898
2010,101,33531
2011,101,33267
2012,101,38415
2013,101,38655
2014,101,36874
2015,101,40717
2016,101,43940
2017,101,38697
2018,101,33089
2019,101,33169
2020,101,34030
2008,102,273575
2009,102,239395
2010,102,259612
2011,102,276046
2012,102,210142
2013,102,210885
2014,102,209013
2015,102,221079
2016,102,230471
2017,102,251939
2018,102,247664
2019,102,252232
2020,102,236015
2008,103,127070
2009,103,115066
2010,103,108436
2011,103,100630
2012,103,94337
2013,103,67616
2014,103,67386
2015,103,65319
2016,103,67517
2017,103,61512
2018,103,47952
2019,103,
2020,103,
2008,104,13470
2009,104,16778
2010,104,16376
2011,104,17800
2012,104,21963
2013,104,9815
2014,104,8601
2015,104,12474
2016,104,12995
2017,104,19255
2018,104,23733
2019,104,39780
2020,104,34231
2008,105,17839
2009,105,10427
2010,105,11029
2011,105,15127
2012,105,10355
2013,105,11937
2014,105,22439
2015,105,20878
2016,105,18212
2017,105,24519
2018,105,27820
2019,105,27751
2020,105,22950
2008,106,172266
2009,106,143244
2010,106,150166
2011,106,149775
2012,106,201445
2013,106,194181
2014,106,192385
2015,106,203489
2016,106,210288
2017,106,220397
2018,106,238561
2019,106,229359
2020,106,248010
2008,107,156347
2009,107,129374
2010,107,115130
2011,107,120690
2012,107,104951
2013,107,101775
2014,107,56291
2015,107,52433
2016,107,40064
2017,107,35971
2018,107,40691
2019,107,28663
2020,107,30350
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,0
2014,108,6
2015,108,109032
2016,108,181790
2017,108,215036
2018,108,269527
2019,108,318971
2020,108,281494
2008,109,
2009,109,16409
2010,109,19730
2011,109,25535
2012,109,27795
2013,109,17806
2014,109,23967
2015,109,28003
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,8869
2009,110,5547
2010,110,4114
2011,110,662
2012,110,2337
2013,110,1198
2014,110,900
2015,110,617
2016,110,1569
2017,110,847
2018,110,762
2019,110,708
2020,110,797
2008,111,33847
2009,111,20606
2010,111,777
2011,111,249
2012,111,308
2013,111,
2014,111,-59
2015,111,-139
2016,111,-128
2017,111,
2018,111,
2019,111,3940
2020,111,13138
2008,112,342091
2009,112,319544
2010,112,330703
2011,112,422324
2012,112,236716
2013,112,250806
2014,112,264903
2015,112,391867
2016,112,470558
2017,112,500747
2018,112,530055
2019,112,569406
2020,112,
2008,113,307287
2009,113,221751
2010,113,245425
2011,113,286862
2012,113,160632
2013,113,155975
2014,113,171197
2015,113,206105
2016,113,246325
2017,113,271630
2018,113,295535
2019,113,286385
2020,113,245230
2008,114,33790
2009,114,31094
2010,114,26444
2011,114,26013
2012,114,32785
2013,114,16230
2014,114,17515
2015,114,20032
2016,114,21192
2017,114,17003
2018,114,24214
2019,114,18869
2020,114,
2008,115,95236
2009,115,59132
2010,115,68050
2011,115,84615
2012,115,74300
2013,115,75883
2014,115,73584
2015,115,82724
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,101413
2009,116,73188
2010,116,83246
2011,116,87952
2012,116,49866
2013,116,46716
2014,116,51036
2015,116,52111
2016,116,47259
2017,116,55940
2018,116,56245
2019,116,64222
2020,116,75058
2008,117,69904
2009,117,51019
2010,117,62398
2011,117,70218
2012,117,74509
2013,117,73715
2014,117,76935
2015,117,113284
2016,117,84733
2017,117,118978
2018,117,130133
2019,117,133983
2020,117,120286
2008,118,715542
2009,118,394806
2010,118,521976
2011,118,686606
2012,118,671977
2013,118,508613
2014,118,428634
2015,118,396190
2016,118,352882
2017,118,358621
2018,118,381649
2019,118,-800006
2020,118,287584
2008,119,255015
2009,119,213157
2010,119,253743
2011,119,276584
2012,119,307428
2013,119,330034
2014,119,396624
2015,119,535617
2016,119,541214
2017,119,625084
2018,119,754880
2019,119,797447
2020,119,753869
2008,120,
2009,120,
2010,120,
2011,120,2266969
2012,120,2266711
2013,120,3552204
2014,120,4106113
2015,120,4228268
2016,120,4143389
2017,120,4657075
2018,120,5069849
2019,120,5532541
2020,120,5569818
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,20241000
2013,121,20178000
2014,121,19473483
2015,121,18606477
2016,121,17769770
2017,121,19070631
2018,121,19326824
2019,121,19395117
2020,121,18102427
2008,122,1648597
2009,122,1086836
2010,122,1374067
2011,122,1987185
2012,122,1337643
2013,122,2017667
2014,122,1615129
2015,122,1344691
2016,122,2006096
2017,122,1375255
2018,122,1286703
2019,122,1304330
2020,122,1113784
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,10749
2015,123,10269
2016,123,10466
2017,123,3631
2018,123,18330
2019,123,19282
2020,123,17552
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,12909
2016,124,18055
2017,124,23455
2018,124,24184
2019,124,26619
2020,124,28610
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,135135
2016,125,145739
2017,125,178393
2018,125,200978
2019,125,250162
2020,125,253159
2008,126,2651439
2009,126,1537930
2010,126,2273619
2011,126,2700983
2012,126,1921472
2013,126,1747531
2014,126,1489196
