Date,Id,total assets
2019,39,861005
2020,39,900453
2008,40,538297
2009,40,489108
2010,40,1324916
2011,40,1503961
2012,40,1447496
2013,40,1407561
2014,40,1468783
2015,40,1406470
2016,40,1466627
2017,40,1564516
2018,40,1590732
2019,40,1766063
2020,40,1943147
2008,41,156482
2009,41,153442
2010,41,93290
2011,41,93542
2012,41,83359
2013,41,83575
2014,41,72024
2015,41,65752
2016,41,63194
2017,41,212770
2018,41,231130
2019,41,286967
2020,41,294015
2008,42,127326000
2009,42,154219000
2010,42,162035000
2011,42,163794000
2012,42,165351000
2013,42,157909000
2014,42,159567000
2015,42,153793000
2016,42,148931000
2017,42,149287000
2018,42,157119000
2019,42,162314000
2020,42,154875000
2008,43,9267700
2009,43,9319700
2010,43,10774600
2011,43,12686700
2012,43,15149000
2013,43,14735100
2014,43,15059200
2015,43,15457100
2016,43,16041200
2017,43,16916800
2018,43,17127200
2019,43,17939700
2020,43,20518500
2008,44,75073
2009,44,110162
2010,44,107665
2011,44,117914
2012,44,109211
2013,44,101972
2014,44,88821
2015,44,83610
2016,44,71076
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,5359089
2009,46,5678124
2010,46,6112094
2011,46,6263736
2012,46,6460520
2013,46,6744188
2014,46,6615421
2015,46,6432395
2016,46,6642472
2017,46,7067907
2018,46,7929699
2019,46,8716723
2020,46,9438602
2008,47,10831000
2009,47,11742000
2010,47,11931000
2011,47,10855000
2012,47,11676000
2013,47,10638000
2014,47,10010000
2015,47,9493000
2016,47,10016000
2017,47,9648000
2018,47,10069000
2019,47,10448000
2020,47,11961000
2008,48,8644000
2009,48,9373000
2010,48,12868000
2011,48,14630000
2012,48,15827000
2013,48,16618000
2014,48,18472000
2015,48,19773000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,3252
2011,49,5088
2012,49,8968
2013,49,17948
2014,49,44448
2015,49,40851
2016,49,31754
2017,49,30116
2018,49,20209
2019,49,19292
2020,49,19262
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,108690
2013,50,111693
2014,50,96776
2015,50,103271
2016,50,106175
2017,50,132640
2018,50,127490
2019,50,122038
2020,50,158027
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,21241
2015,52,25329
2016,52,50328
2017,52,52725
2018,52,64524
2019,52,66369
2020,52,
2008,53,236962
2009,53,179911
2010,53,187978
2011,53,182722
2012,53,179027
2013,53,173674
2014,53,190226
2015,53,199115
2016,53,230075
2017,53,233612
2018,53,426082
2019,53,433441
2020,53,415724
2008,54,242777
2009,54,221273
2010,54,246629
2011,54,263042
2012,54,190541
2013,54,211516
2014,54,243357
2015,54,275112
2016,54,294161
2017,54,328676
2018,54,353527
2019,54,418687
2020,54,461076
2008,55,402081
2009,55,375723
2010,55,436471
2011,55,537059
2012,55,530521
2013,55,545107
2014,55,559652
2015,55,641817
2016,55,693434
2017,55,788938
2018,55,775761
2019,55,761037
2020,55,666588
2008,56,399692
2009,56,342152
2010,56,348124
2011,56,398417
2012,56,372887
2013,56,362182
2014,56,396105
2015,56,425579
2016,56,454360
2017,56,502160
2018,56,531133
2019,56,505456
2020,56,474706
2008,57,170799
2009,57,203630
2010,57,253725
2011,57,301389
2012,57,310261
2013,57,325472
2014,57,313177
2015,57,339407
2016,57,373700
2017,57,361472
2018,57,531633
2019,57,
2020,57,
2008,58,3054000
2009,58,2997000
2010,58,3735000
2011,58,5786000
2012,58,5891000
2013,58,5568000
2014,58,5545000
2015,58,6032000
2016,58,6181000
2017,58,6608000
2018,58,9982000
2019,58,10316000
2020,58,9723000
2008,59,95844
2009,59,96323
2010,59,109965
2011,59,122502
2012,59,130828
2013,59,134106
2014,59,144043
2015,59,153208
2016,59,161149
2017,59,168315
2018,59,192082
2019,59,200227
2020,59,218015
2008,60,300435
2009,60,354583
2010,60,391482
2011,60,399778
2012,60,352794
2013,60,309025
2014,60,291106
2015,60,283438
2016,60,273676
2017,60,263379
2018,60,253728
2019,60,227225
2020,60,215275
2008,61,150401
2009,61,144235
2010,61,150309
2011,61,160464
2012,61,148323
2013,61,150005
2014,61,148640
2015,61,144071
2016,61,132714
2017,61,131953
2018,61,130265
2019,61,151198
2020,61,158697
2008,62,226497
2009,62,216473
2010,62,308747
2011,62,295843
2012,62,261984
2013,62,231943
2014,62,245699
2015,62,214447
2016,62,221945
2017,62,238014
2018,62,231122
2019,62,209750
2020,62,207980
2008,63,214464
2009,63,196495
2010,63,190399
2011,63,185586
2012,63,182447
2013,63,178565
2014,63,172976
2015,63,194014
2016,63,216663
2017,63,267788
2018,63,272604
2019,63,257945
2020,63,488220
2008,64,84648000
2009,64,84982000
2010,64,87268000
2011,64,82222000
2012,64,76123000
2013,64,69181000
2014,64,70433000
2015,64,70379000
2016,64,69569000
2017,64,67790000
2018,64,64483000
2019,64,69162000
2020,64,65738000
2008,65,637629
2009,65,673754
2010,65,723354
2011,65,718505
2012,65,770198
2013,65,790589
2014,65,788692
2015,65,848271
2016,65,936950
2017,65,990544
2018,65,1026725
2019,65,1108163
2020,65,1054691
2008,66,
2009,66,
2010,66,52
2011,66,575086
2012,66,644795
2013,66,704429
2014,66,732715
2015,66,975610
2016,66,768635
2017,66,778871
2018,66,818974
2019,66,953401
2020,66,930697
2008,67,121005
2009,67,116532
2010,67,115658
2011,67,114631
2012,67,104759
2013,67,100447
2014,67,100469
2015,67,105354
2016,67,189381
2017,67,210710
2018,67,209479
2019,67,209087
2020,67,232346
2008,68,114164
2009,68,89781
2010,68,36796
2011,68,42315
2012,68,44387
2013,68,39229
2014,68,37686
2015,68,38312
2016,68,38615
2017,68,32476
2018,68,28732
2019,68,20864
2020,68,16205
2008,69,4325000
2009,69,4542700
2010,69,4562200
2011,69,4724500
2012,69,4335800
2013,69,4330000
2014,69,4582100
2015,69,4734200
2016,69,5569500
2017,69,5146500
2018,69,
2019,69,
2020,69,
2008,70,33209
2009,70,35337
2010,70,39453
2011,70,64547
2012,70,80244
2013,70,84739
2014,70,82378
2015,70,82000
2016,70,77482
2017,70,83144
2018,70,93189
2019,70,97000
2020,70,102620
2008,71,26419
2009,71,28224
2010,71,31175
2011,71,31993
2012,71,35482
2013,71,36737
2014,71,39056
2015,71,37674
2016,71,42681
2017,71,46232
2018,71,47393
2019,71,58899
2020,71,61212
2008,72,385316
2009,72,348478
2010,72,337751
2011,72,405777
2012,72,432385
2013,72,447468
2014,72,553658
2015,72,573571
2016,72,546753
2017,72,569274
2018,72,632506
2019,72,664056
2020,72,711876
2008,73,157150
2009,73,156650
2010,73,157112
2011,73,161749
2012,73,163524
2013,73,162105
2014,73,159601
2015,73,193626
2016,73,219033
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,21618
2015,75,21894
2016,75,20638
2017,75,18234
2018,75,14740
2019,75,11404
2020,75,7569
2008,76,11227000
2009,76,18969000
2010,76,19768000
2011,76,21150000
2012,76,22584000
2013,76,23836000
2014,76,24906000
2015,76,24880000
2016,76,20129000
2017,76,21816000
2018,76,22582000
2019,76,24043000
2020,76,25652000
2008,77,4240555
2009,77,4306183
2010,77,6659406
2011,77,6848462
2012,77,6817375
2013,77,6686285
2014,77,6629401
2015,77,6635577
2016,77,7531541
2017,77,7618017
2018,77,8207835
2019,77,8431422
2020,77,9184890
2008,78,5445418
2009,78,5768358
2010,78,6116953
2011,78,6365099
2012,78,6588018
2013,78,8082171
2014,78,8364630
2015,78,8183000
2016,78,8204800
2017,78,8637200
2018,78,8952400
2019,78,10188500
2020,78,10878200
2008,79,268524
2009,79,393478
2010,79,421477
2011,79,443465
2012,79,430983
2013,79,438710
2014,79,439328
2015,79,405633
2016,79,396456
2017,79,397171
2018,79,813613
2019,79,856485
2020,79,874243
2008,80,725146
2009,80,683913
2010,80,747590
2011,80,972414
2012,80,917905
2013,80,848438
2014,80,854674
2015,80,771121
2016,80,723546
2017,80,780450
2018,80,834172
2019,80,1278893
2020,80,1332984
2008,81,15009000
2009,81,16354000
2010,81,16331000
2011,81,15726000
2012,81,14728000
2013,81,14193000
2014,81,14433000
2015,81,12080000
2016,81,11172000
2017,81,9853000
2018,81,10124000
2019,81,10593000
2020,81,9194000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,341776
2013,82,420068
2014,82,539031
2015,82,599801
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,247817
2009,83,274626
2010,83,304774
2011,83,324610
2012,83,342077
2013,83,350232
2014,83,386245
2015,83,431518
2016,83,418410
2017,83,446516
2018,83,505611
2019,83,564038
2020,83,566317
2008,84,7008412
2009,84,6613287
2010,84,7493573
2011,84,7676777
2012,84,7854465
2013,84,6429374
2014,84,5844912
2015,84,3411199
2016,84,3331219
2017,84,3474103
2018,84,3461864
2019,84,4148181
2020,84,3398189
2008,85,482012
2009,85,461290
2010,85,468313
2011,85,434631
2012,85,413857
2013,85,382610
2014,85,363296
2015,85,365829
2016,85,401315
2017,85,408325
2018,85,503947
2019,85,515053
2020,85,514755
2008,86,7008412
2009,86,6613287
2010,86,7493573
2011,86,7676777
2012,86,7854465
2013,86,6429374
2014,86,5844912
2015,86,3411199
2016,86,3331219
2017,86,3474103
2018,86,3461864
2019,86,4148181
2020,86,3398189
2008,87,97158
2009,87,74404
2010,87,74154
2011,87,72706
2012,87,51301
2013,87,42719
2014,87,36844
2015,87,27662
2016,87,28237
2017,87,28977
2018,87,24763
2019,87,25864
2020,87,
2008,88,29670
2009,88,27505
2010,88,27604
2011,88,21351
2012,88,14734
2013,88,9289
2014,88,9653
2015,88,8797
2016,88,32285
2017,88,30578
2018,88,26354
2019,88,
2020,88,
2008,89,258020
2009,89,249131
2010,89,208658
2011,89,184734
2012,89,169088
2013,89,159904
2014,89,165311
2015,89,175971
2016,89,180058
2017,89,182479
2018,89,183269
2019,89,
2020,89,
2008,90,63404
2009,90,99354
2010,90,138314
2011,90,175122
2012,90,247510
2013,90,311901
2014,90,445050
2015,90,2748119
2016,90,2708572
2017,90,2944367
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,17041
2013,91,22446
2014,91,21572
2015,91,21240
2016,91,24049
2017,91,25919
2018,91,43040
2019,91,44052
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,14779
2015,92,15490
2016,92,13051
2017,92,12783
2018,92,9828
2019,92,7820
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,655956
2009,95,676062
2010,95,1112163
2011,95,1112631
2012,95,1120828
2013,95,1090542
2014,95,1208655
2015,95,1246242
2016,95,1365219
2017,95,1420119
2018,95,2143793
2019,95,2769911
2020,95,3144801
2008,96,437045
2009,96,419432
2010,96,403152
2011,96,341175
2012,96,326989
2013,96,259132
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,272321
2009,97,278244
2010,97,240049
2011,97,132158
2012,97,110714
2013,97,90984
2014,97,83686
2015,97,73000
2016,97,60705
2017,97,59035
2018,97,58443
2019,97,148048
2020,97,144199
2008,98,254873
2009,98,317997
2010,98,427971
2011,98,454082
2012,98,504812
2013,98,505744
2014,98,583497
2015,98,687708
2016,98,845629
2017,98,923552
2018,98,884982
2019,98,1031905
2020,98,1213366
2008,99,177836
2009,99,200541
2010,99,225401
2011,99,246461
2012,99,248389
2013,99,245435
2014,99,244345
2015,99,258163
2016,99,239116
2017,99,221507
2018,99,
2019,99,
2020,99,
2008,100,1453507
2009,100,1375617
2010,100,1507722
2011,100,1665034
2012,100,1486572
2013,100,1463449
2014,100,1697710
2015,100,1646605
2016,100,1759780
2017,100,2055224
2018,100,2086205
2019,100,2317675
2020,100,2825719
2008,101,48848
2009,101,50105
2010,101,48679
2011,101,44834
2012,101,43965
2013,101,48258
2014,101,41774
2015,101,48594
2016,101,49806
2017,101,48014
2018,101,44599
2019,101,47270
2020,101,61334
2008,102,304847
2009,102,287785
2010,102,322760
2011,102,320402
2012,102,327895
2013,102,322043
2014,102,332083
2015,102,346065
2016,102,354878
2017,102,371241
2018,102,358397
2019,102,367221
2020,102,414880
2008,103,215747
2009,103,177799
2010,103,179855
2011,103,155563
2012,103,152641
2013,103,145385
2014,103,164184
2015,103,163505
2016,103,165776
2017,103,161486
2018,103,119885
2019,103,
2020,103,
2008,104,40716
2009,104,48495
2010,104,51476
2011,104,58501
2012,104,64625
2013,104,76049
2014,104,68580
2015,104,72211
2016,104,70006
2017,104,88346
2018,104,97167
2019,104,153229
2020,104,203610
2008,105,16936
2009,105,14198
2010,105,14461
2011,105,14996
2012,105,17061
2013,105,12686
2014,105,17442
2015,105,16301
2016,105,16841
2017,105,22962
2018,105,29750
2019,105,38776
2020,105,36383
2008,106,235864
2009,106,204570
2010,106,203856
2011,106,333629
2012,106,343958
2013,106,332340
2014,106,340032
2015,106,413368
2016,106,398801
2017,106,484955
2018,106,503211
2019,106,516868
2020,106,577962
2008,107,329104
2009,107,276840
2010,107,272682
2011,107,219671
2012,107,183900
2013,107,179280
2014,107,140057
2015,107,93883
2016,107,90874
2017,107,98125
2018,107,101224
2019,107,124790
2020,107,125553
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,131398
2014,108,132637
2015,108,370418
2016,108,659659
2017,108,660310
2018,108,1138224
2019,108,1132587
2020,108,1121052
2008,109,
2009,109,97771
2010,109,97871
2011,109,103244
2012,109,118872
2013,109,128239
2014,109,155343
2015,109,190859
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
