Date,Id,working capital
2015,46,387289
2016,46,368770
2017,46,3686
2018,46,130694
2019,46,-195698
2020,46,-148698
2008,47,159000
2009,47,380000
2010,47,503000
2011,47,555000
2012,47,756000
2013,47,809000
2014,47,893000
2015,47,304000
2016,47,538000
2017,47,497000
2018,47,248000
2019,47,475000
2020,47,942000
2008,48,-4446000
2009,48,-4366000
2010,48,-1600000
2011,48,-1156000
2012,48,-797000
2013,48,-800000
2014,48,-690000
2015,48,-1204000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,-674
2011,49,537
2012,49,3529
2013,49,9299
2014,49,6394
2015,49,7235
2016,49,7843
2017,49,5344
2018,49,1775
2019,49,2028
2020,49,1540
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,-35942
2013,50,-42021
2014,50,-21814
2015,50,-30099
2016,50,-22020
2017,50,-37695
2018,50,-34809
2019,50,-28073
2020,50,2309
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,3526
2015,52,4761
2016,52,8330
2017,52,7320
2018,52,345
2019,52,-987
2020,52,2920
2008,53,38470
2009,53,15277
2010,53,37617
2011,53,26076
2012,53,29983
2013,53,-577
2014,53,25219
2015,53,47971
2016,53,47364
2017,53,44108
2018,53,153041
2019,53,103977
2020,53,85979
2008,54,133778
2009,54,130253
2010,54,135677
2011,54,128633
2012,54,80293
2013,54,77202
2014,54,102524
2015,54,94675
2016,54,141286
2017,54,154003
2018,54,154861
2019,54,162080
2020,54,172664
2008,55,44620
2009,55,-9127
2010,55,82303
2011,55,126700
2012,55,32412
2013,55,101868
2014,55,27316
2015,55,90988
2016,55,120502
2017,55,226081
2018,55,214194
2019,55,175163
2020,55,114268
2008,56,-57928
2009,56,13493
2010,56,13022
2011,56,11989
2012,56,12428
2013,56,16325
2014,56,18400
2015,56,69947
2016,56,63425
2017,56,63246
2018,56,90244
2019,56,72178
2020,56,61420
2008,57,81469
2009,57,102331
2010,57,101327
2011,57,114797
2012,57,95091
2013,57,93195
2014,57,82502
2015,57,134349
2016,57,111099
2017,57,91544
2018,57,77570
2019,57,
2020,57,
2008,58,709000
2009,58,810000
2010,58,1097000
2011,58,87000
2012,58,693000
2013,58,485000
2014,58,143000
2015,58,367000
2016,58,569000
2017,58,863000
2018,58,1108000
2019,58,909000
2020,58,970000
2008,59,42563
2009,59,44013
2010,59,52297
2011,59,45883
2012,59,45259
2013,59,49728
2014,59,55599
2015,59,65413
2016,59,70858
2017,59,70814
2018,59,63838
2019,59,64822
2020,59,69646
2008,60,61095
2009,60,83973
2010,60,72754
2011,60,67319
2012,60,-40003
2013,60,-59169
2014,60,15188
2015,60,39696
2016,60,33024
2017,60,54230
2018,60,-9721
2019,60,-18959
2020,60,-3582
2008,61,31468
2009,61,30350
2010,61,33497
2011,61,47686
2012,61,35624
2013,61,32060
2014,61,30960
2015,61,16620
2016,61,27813
2017,61,28581
2018,61,28821
2019,61,34244
2020,61,48168
2008,62,97071
2009,62,76877
2010,62,77570
2011,62,83571
2012,62,74618
2013,62,65776
2014,62,79313
2015,62,100823
2016,62,96708
2017,62,95220
2018,62,100886
2019,62,92594
2020,62,104294
2008,63,-3163
2009,63,-3113
2010,63,-2214
2011,63,1951
2012,63,3619
2013,63,15114
2014,63,11326
2015,63,6504
2016,63,8172
2017,63,34488
2018,63,20166
2019,63,1432
2020,63,3073
2008,64,-3730000
2009,64,-1572000
