Date,Id,cash flows per share
2012,75,
2013,75,
2014,75,0.244
2015,75,0.187
2016,75,0.473
2017,75,-0.256
2018,75,0.12
2019,75,-0.456
2020,75,-0.422
2008,76,0.435
2009,76,0.506
2010,76,0.521
2011,76,0.493
2012,76,0.365
2013,76,0.489
2014,76,0.48
2015,76,0.576
2016,76,0.519
2017,76,0.441
2018,76,0.489
2019,76,0.53
2020,76,0.557
2008,77,0.181
2009,77,0.142
2010,77,0.268
2011,77,0.27
2012,77,0.264
2013,77,0.267
2014,77,0.287
2015,77,0.317
2016,77,0.441
2017,77,0.46
2018,77,0.531
2019,77,0.503
2020,77,0.585
2008,78,0.274
2009,78,0.278
2010,78,0.242
2011,78,0.351
2012,78,0.347
2013,78,0.406
2014,78,0.441
2015,78,0.421
2016,78,0.458
2017,78,0.527
2018,78,0.514
2019,78,0.592
2020,78,0.581
2008,79,0.224
2009,79,0.197
2010,79,0.496
2011,79,0.241
2012,79,0.391
2013,79,0.368
2014,79,0.158
2015,79,0.499
2016,79,0.412
2017,79,0.33
2018,79,0.224
2019,79,0.214
2020,79,0.313
2008,80,0.156
2009,80,0.189
2010,80,0.228
2011,80,0.252
2012,80,0.247
2013,80,0.296
2014,80,0.244
2015,80,0.305
2016,80,0.33
2017,80,0.274
2018,80,0.338
2019,80,0.204
2020,80,0.339
2008,81,0.212
2009,81,0.193
2010,81,0.217
2011,81,0.11
2012,81,0.145
2013,81,0.115
2014,81,0.128
2015,81,0.233
2016,81,0.028
2017,81,0.1
2018,81,0.112
2019,81,0.138
2020,81,0.125
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,0.193
2013,82,1.763
2014,82,2.835
2015,82,-3.203
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,0.581
2009,83,0.572
2010,83,0.652
2011,83,0.681
2012,83,0.61
2013,83,0.585
2014,83,0.498
2015,83,0.636
2016,83,0.624
2017,83,0.734
2018,83,0.846
2019,83,0.916
2020,83,0.861
2008,84,0.286
2009,84,0.363
2010,84,0.383
2011,84,0.261
2012,84,0.343
2013,84,0.614
2014,84,0.166
2015,84,0.218
2016,84,0.234
2017,84,0.069
2018,84,0.328
2019,84,0.364
2020,84,0.34
2008,85,0.009
2009,85,0.047
2010,85,0.087
2011,85,0.05
2012,85,0.04
2013,85,0.086
2014,85,0.084
2015,85,0.075
2016,85,0.066
2017,85,0.101
2018,85,0.159
2019,85,0.144
2020,85,0.189
2008,86,0.286
2009,86,0.363
2010,86,0.383
2011,86,0.261
2012,86,0.343
2013,86,0.614
2014,86,0.166
2015,86,0.218
2016,86,0.234
2017,86,0.069
2018,86,0.328
2019,86,0.364
2020,86,0.34
2008,87,2.523
2009,87,1.096
2010,87,0.188
2011,87,-0.464
2012,87,-4.236
2013,87,-1.795
2014,87,-2.712
2015,87,-2.312
2016,87,0.072
2017,87,0.003
2018,87,-0.003
2019,87,-0.008
2020,87,
2008,88,-0.026
2009,88,-0.011
2010,88,-0.009
2011,88,-0.02
2012,88,-0.014
2013,88,-0.01
2014,88,-0.009
2015,88,-0.006
2016,88,-0.002
2017,88,-0.001
2018,88,0.001
2019,88,
2020,88,
2008,89,0.224
2009,89,-0.018
2010,89,-0.123
2011,89,-0.123
2012,89,-0.086
2013,89,-0.052
2014,89,-0.023
2015,89,0.042
2016,89,0.235
2017,89,0.02
2018,89,0.034
2019,89,
2020,89,
