Id,type security
263,Azioni Ordinaire
264,Azioni Ordinaire
265,Ordinary
266,Ordinary
267,
268,
269,Azioni Ordinaires
270,AZIONI ORDINAIRE
271,Azioni Ordinaire
272,Azioni Ordinaire
273,Azioni Ordinaire
274,Azioni Ordinaire
275,Azioni Ordinaire
276,
277,Azioni Ordinaire
278,Azioni Ordinaire
279,Azioni Ordinaire
280,
281,
282,
283,
284,
285,
286,Azioni Ordinarie
287,
288,AZIONI ORDINAIRE
289,
290,AZIONI ORDINAIRE
291,
292,AZIONI ORDINAIRE
293,Azioni Ordinaire
294,Azioni Ordinaire
295,
296,Azioni Ordinaire
297,Ordinary
298,Azioni Ordinaire
299,AZIONI ORDINAIRE
300,
301,
302,Ordinary
303,
304,
305,
306,
307,
308,Azioni Ordinaire
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,Azioni Ordinarie
319,
320,Azioni Ordinaire
321,
322,
323,
324,
325,
