Date,Id,R&D
2009,70,
2010,70,
2011,70,
2012,70,
2013,70,
2014,70,
2015,70,
2016,70,
2017,70,
2018,70,
2019,70,
2020,70,
2008,71,0
2009,71,0
2010,71,
2011,71,
2012,71,
2013,71,
2014,71,
2015,71,
2016,71,
2017,71,
2018,71,
2019,71,
2020,71,
2008,72,
2009,72,
2010,72,
2011,72,
2012,72,
2013,72,
2014,72,
2015,72,
2016,72,
2017,72,
2018,72,
2019,72,
2020,72,
2008,73,
2009,73,
2010,73,
2011,73,
2012,73,
2013,73,
2014,73,
2015,73,
2016,73,
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,
2015,75,
2016,75,
2017,75,
2018,75,
2019,75,
2020,75,
2008,76,
2009,76,
2010,76,
2011,76,
2012,76,
2013,76,
2014,76,
2015,76,
2016,76,
2017,76,
2018,76,
2019,76,
2020,76,
2008,77,
2009,77,
2010,77,
2011,77,
2012,77,
2013,77,
2014,77,
2015,77,
2016,77,
2017,77,
2018,77,
2019,77,
2020,77,
2008,78,
2009,78,
2010,78,
2011,78,
2012,78,
2013,78,
2014,78,
2015,78,
2016,78,
2017,78,
2018,78,
2019,78,
2020,78,
2008,79,
2009,79,
2010,79,
2011,79,
2012,79,
2013,79,475
2014,79,216
2015,79,175
2016,79,177
2017,79,145
2018,79,251
2019,79,
2020,79,
2008,80,
2009,80,
2010,80,
2011,80,
2012,80,
2013,80,
2014,80,
2015,80,
2016,80,
2017,80,
2018,80,
2019,80,
2020,80,
2008,81,
2009,81,
2010,81,
2011,81,
2012,81,
2013,81,
2014,81,
2015,81,
2016,81,
2017,81,
2018,81,
2019,81,
2020,81,
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,
2015,82,
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,
2009,83,
2010,83,
2011,83,
2012,83,
2013,83,
2014,83,
2015,83,
2016,83,
2017,83,
2018,83,
2019,83,
2020,83,
2008,84,
2009,84,
2010,84,
2011,84,
2012,84,
2013,84,
2014,84,
2015,84,
2016,84,
2017,84,
2018,84,
2019,84,
2020,84,
2008,85,
2009,85,
2010,85,
2011,85,
2012,85,
2013,85,
2014,85,
2015,85,
2016,85,
2017,85,
2018,85,
2019,85,
2020,85,
2008,86,
2009,86,
2010,86,
2011,86,
2012,86,
2013,86,
2014,86,
2015,86,
2016,86,
2017,86,
2018,86,
2019,86,
2020,86,
2008,87,
2009,87,
2010,87,
2011,87,
2012,87,
2013,87,
2014,87,
2015,87,
2016,87,
2017,87,
2018,87,
2019,87,
2020,87,
2008,88,
2009,88,
2010,88,
2011,88,
2012,88,
2013,88,0
2014,88,
2015,88,
2016,88,
2017,88,
2018,88,
2019,88,
2020,88,
2008,89,
2009,89,
2010,89,
2011,89,0
2012,89,0
2013,89,
2014,89,
2015,89,
2016,89,
2017,89,
2018,89,
2019,89,
2020,89,
2008,90,
2009,90,
2010,90,
2011,90,
2012,90,
2013,90,
2014,90,
2015,90,
2016,90,
2017,90,
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,
2014,91,
2015,91,
2016,91,
2017,91,
2018,91,
2019,91,
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,
2015,92,
2016,92,
2017,92,
2018,92,
2019,92,
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,
2009,95,
2010,95,
2011,95,
2012,95,
2013,95,
2014,95,
2015,95,
2016,95,
2017,95,
2018,95,
2019,95,
2020,95,
2008,96,
2009,96,
2010,96,
2011,96,
2012,96,
2013,96,
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,0
2009,97,0
2010,97,0
2011,97,0
2012,97,0
2013,97,
2014,97,
2015,97,
2016,97,
2017,97,
2018,97,
2019,97,
2020,97,
2008,98,13835
2009,98,16074
2010,98,18544
2011,98,19786
2012,98,21577
2013,98,22013
2014,98,22642
2015,98,24032
2016,98,32424
2017,98,37644
2018,98,39631
2019,98,41752
2020,98,43117
2008,99,
2009,99,
2010,99,
2011,99,
2012,99,
2013,99,
2014,99,
2015,99,
2016,99,
2017,99,
2018,99,
2019,99,
2020,99,
2008,100,
2009,100,
2010,100,
2011,100,
2012,100,
2013,100,
2014,100,42200
2015,100,46800
2016,100,48700
2017,100,39000
2018,100,
2019,100,52300
2020,100,
2008,101,
2009,101,
2010,101,
2011,101,
2012,101,
2013,101,
2014,101,
2015,101,
2016,101,
2017,101,
2018,101,
2019,101,
2020,101,
2008,102,4922
2009,102,4294
2010,102,6673
2011,102,5718
2012,102,5462
2013,102,8048
2014,102,7977
2015,102,7872
2016,102,7813
2017,102,9104
2018,102,8125
2019,102,8884
2020,102,9784
2008,103,
2009,103,
2010,103,
2011,103,
2012,103,
2013,103,
2014,103,
2015,103,
2016,103,2
2017,103,5
2018,103,18
2019,103,
2020,103,
2008,104,0
2009,104,
2010,104,
2011,104,
2012,104,
2013,104,
2014,104,
2015,104,
2016,104,
2017,104,
2018,104,
2019,104,
2020,104,
2008,105,
2009,105,
2010,105,
2011,105,
2012,105,23
2013,105,9
2014,105,
2015,105,
2016,105,
2017,105,
2018,105,
2019,105,
2020,105,
2008,106,4677
2009,106,5149
2010,106,4834
2011,106,4654
2012,106,7503
2013,106,6817
2014,106,7423
2015,106,
2016,106,
2017,106,
2018,106,
2019,106,
2020,106,
2008,107,
2009,107,
2010,107,
2011,107,
2012,107,
2013,107,
2014,107,
2015,107,
2016,107,
2017,107,
2018,107,
2019,107,
2020,107,
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,
2014,108,
2015,108,
2016,108,
2017,108,261
2018,108,235
2019,108,182
2020,108,129
2008,109,
2009,109,
2010,109,
2011,109,
2012,109,
2013,109,
2014,109,
2015,109,
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,
2009,110,
2010,110,
2011,110,
2012,110,
2013,110,
2014,110,
2015,110,
2016,110,
2017,110,
2018,110,
2019,110,
2020,110,
2008,111,
2009,111,
2010,111,
2011,111,
2012,111,
2013,111,
2014,111,
2015,111,
2016,111,
2017,111,
2018,111,
2019,111,
2020,111,
2008,112,23333
2009,112,25946
2010,112,26417
2011,112,29070
2012,112,33690
2013,112,37000
2014,112,36220
2015,112,40050
2016,112,48150
2017,112,53990
2018,112,55310
2019,112,53900
2020,112,
2008,113,
2009,113,
2010,113,
2011,113,
2012,113,
2013,113,
2014,113,
2015,113,
2016,113,
2017,113,
2018,113,
2019,113,
2020,113,
2008,114,691
2009,114,800
2010,114,1704
2011,114,1660
2012,114,271
2013,114,
2014,114,
2015,114,
2016,114,
2017,114,
2018,114,
2019,114,160
2020,114,
2008,115,
2009,115,
2010,115,
2011,115,
2012,115,
2013,115,
2014,115,
2015,115,
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,
2009,116,
2010,116,
2011,116,
2012,116,0
2013,116,
2014,116,0
2015,116,
2016,116,
2017,116,
2018,116,
2019,116,
2020,116,
2008,117,
2009,117,
2010,117,
2011,117,
2012,117,
2013,117,
2014,117,
2015,117,
2016,117,
2017,117,
2018,117,
2019,117,
2020,117,
2008,118,14802
2009,118,13989
2010,118,15948
2011,118,18168
2012,118,16914
2013,118,
2014,118,14276
2015,118,13764
2016,118,14670
2017,118,
2018,118,
2019,118,
2020,118,
2008,119,
2009,119,
2010,119,
2011,119,
2012,119,
2013,119,
2014,119,10751
2015,119,16083
2016,119,17234
2017,119,19234
2018,119,20055
2019,119,22818
2020,119,24175
2008,120,
2009,120,
2010,120,
2011,120,
2012,120,
2013,120,
2014,120,
2015,120,
2016,120,
2017,120,
2018,120,
2019,120,
2020,120,
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,362000
2013,121,362000
2014,121,337774
2015,121,378077
2016,121,470224
2017,121,510915
2018,121,530444
2019,121,558262
2020,121,510787
2008,122,24583
2009,122,18504
2010,122,42268
2011,122,52852
2012,122,55592
2013,122,41125
2014,122,41775
2015,122,40859
2016,122,32352
2017,122,20869
2018,122,31247
2019,122,25227
2020,122,31491
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,
2015,123,
2016,123,
2017,123,
2018,123,
2019,123,
2020,123,
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,
2016,124,
2017,124,
2018,124,
2019,124,
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,
2016,125,
2017,125,
2018,125,
2019,125,
2020,125,
2008,126,
2009,126,
2010,126,
2011,126,
2012,126,
2013,126,
2014,126,
2015,126,
2016,126,
2017,126,
2018,126,
2019,126,
2020,126,
2008,127,
2009,127,
2010,127,
2011,127,
2012,127,
2013,127,
2014,127,
2015,127,
2016,127,
2017,127,
2018,127,
2019,127,
2020,127,
2008,128,
2009,128,
2010,128,
2011,128,
2012,128,
2013,128,
2014,128,
2015,128,
2016,128,
2017,128,
2018,128,
2019,128,
2020,128,
2008,129,2842
2009,129,2438
2010,129,3616
2011,129,
2012,129,
2013,129,
2014,129,
2015,129,
2016,129,3505
2017,129,1727
2018,129,
2019,129,
2020,129,
2008,130,44512
2009,130,41112
2010,130,37000
2011,130,33900
2012,130,32260
2013,130,32036
2014,130,33044
2015,130,36914
2016,130,36688
2017,130,21019
2018,130,43860
2019,130,
2020,130,
2008,131,
2009,131,
2010,131,
2011,131,
2012,131,
2013,131,
2014,131,
2015,131,
2016,131,
2017,131,
2018,131,
2019,131,
2020,131,
2008,132,0
2009,132,0
2010,132,0
2011,132,
2012,132,
2013,132,
2014,132,
2015,132,
2016,132,
2017,132,
2018,132,
2019,132,
2020,132,
2008,133,
2009,133,
2010,133,
2011,133,
2012,133,
2013,133,
2014,133,
2015,133,
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,
2009,134,
2010,134,
2011,134,
2012,134,
2013,134,
2014,134,
2015,134,
2016,134,
2017,134,
2018,134,
2019,134,
2020,134,
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,
2013,135,
2014,135,
2015,135,
2016,135,
2017,135,
2018,135,
2019,135,
2020,135,
2008,136,
2009,136,
2010,136,
2011,136,
2012,136,
2013,136,
2014,136,
2015,136,
2016,136,
2017,136,
2018,136,
2019,136,
2020,136,
2008,137,
2009,137,
2010,137,
2011,137,
2012,137,
2013,137,
2014,137,
2015,137,
2016,137,
2017,137,
2018,137,
2019,137,
2020,137,
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,
2009,139,
2010,139,
2011,139,
2012,139,
2013,139,
2014,139,
2015,139,
2016,139,
2017,139,
2018,139,
2019,139,
2020,139,
2008,140,
2009,140,
2010,140,
2011,140,
2012,140,
2013,140,
2014,140,
2015,140,
2016,140,
2017,140,
2018,140,
2019,140,
2020,140,
2008,141,
2009,141,
2010,141,
2011,141,
2012,141,
2013,141,
2014,141,
2015,141,
2016,141,
2017,141,
2018,141,
2019,141,
2020,141,
2008,142,
2009,142,
2010,142,
2011,142,
2012,142,
2013,142,
2014,142,
2015,142,
2016,142,
2017,142,
2018,142,
2019,142,
2020,142,
