Date,Id,pretax income
2019,92,-2305
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,-2101
2009,95,46265
2010,95,53584
2011,95,72304
2012,95,72205
2013,95,36874
2014,95,66556
2015,95,88097
2016,95,107371
2017,95,130347
2018,95,138576
2019,95,150139
2020,95,139325
2008,96,-57860
2009,96,-23223
2010,96,-4899
2011,96,-38887
2012,96,5221
2013,96,-4560
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,2057
2009,97,-1750
2010,97,-17414
2011,97,-33889
2012,97,6764
2013,97,367
2014,97,1143
2015,97,-259
2016,97,576
2017,97,-1436
2018,97,1817
2019,97,1355
2020,97,-1630
2008,98,59887
2009,98,102737
2010,98,144932
2011,98,158256
2012,98,137406
2013,98,129339
2014,98,128124
2015,98,150102
2016,98,168196
2017,98,178706
2018,98,204365
2019,98,216287
2020,98,321373
2008,99,6106
2009,99,9931
2010,99,9127
2011,99,5864
2012,99,1741
2013,99,-501
2014,99,6957
2015,99,5227
2016,99,6292
2017,99,-13937
2018,99,
2019,99,
2020,99,
2008,100,58645
2009,100,57175
2010,100,111557
2011,100,142988
2012,100,154039
2013,100,157093
2014,100,171036
2015,100,199122
2016,100,227416
2017,100,229222
2018,100,223891
2019,100,195791
2020,100,256314
2008,101,617
2009,101,1586
2010,101,277
2011,101,-278
2012,101,-2910
2013,101,1283
2014,101,-1577
2015,101,754
2016,101,865
2017,101,93
2018,101,-1046
2019,101,247
2020,101,4794
2008,102,2879
2009,102,-1240
2010,102,8979
2011,102,6347
2012,102,7850
2013,102,2414
2014,102,6891
2015,102,13240
2016,102,-102
2017,102,4855
2018,102,4486
2019,102,11933
2020,102,6676
2008,103,-25990
2009,103,-7382
2010,103,-18722
2011,103,-2854
2012,103,1814
2013,103,1059
2014,103,7490
2015,103,7490
2016,103,8928
2017,103,-5243
2018,103,-47254
2019,103,
2020,103,
2008,104,10901
2009,104,11775
2010,104,11366
2011,104,14030
2012,104,11651
2013,104,5011
2014,104,5468
2015,104,5942
2016,104,5842
2017,104,5371
2018,104,7006
2019,104,37081
2020,104,-7504
2008,105,1200
2009,105,-1924
2010,105,-988
2011,105,-760
2012,105,51
2013,105,356
2014,105,287
2015,105,-892
2016,105,-348
2017,105,899
2018,105,-190
2019,105,-333
2020,105,435
2008,106,20905
2009,106,12766
2010,106,16558
2011,106,9044
2012,106,12056
2013,106,17427
2014,106,17163
2015,106,15092
2016,106,26530
2017,106,23135
2018,106,34860
2019,106,18881
2020,106,22814
2008,107,-35341
2009,107,-44572
2010,107,201
2011,107,-17190
2012,107,-11972
2013,107,-14563
2014,107,-19590
2015,107,-18163
2016,107,5611
2017,107,5083
2018,107,6474
2019,107,4478
2020,107,67129
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,-670
2014,108,-461
2015,108,-8167
2016,108,35306
2017,108,30909
2018,108,22605
2019,108,29769
2020,108,14287
2008,109,
2009,109,11736
2010,109,18624
2011,109,21284
2012,109,27078
2013,109,18524
2014,109,24110
2015,109,34566
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,-4132
2009,110,-7248
2010,110,-8568
2011,110,-5376
2012,110,-5015
2013,110,-139
2014,110,-631
2015,110,-887
2016,110,-2179
2017,110,1282
2018,110,-79
2019,110,-290
2020,110,47
2008,111,11100
2009,111,-14056
2010,111,1743
2011,111,2146
2012,111,-4670
2013,111,-3160
2014,111,-9408
2015,111,-5381
2016,111,-2598
2017,111,-910
2018,111,-566
2019,111,2805
2020,111,4268
2008,112,60374
2009,112,61061
2010,112,36300
2011,112,55945
2012,112,71511
2013,112,78981
2014,112,90793
2015,112,115092
2016,112,149153
2017,112,150584
2018,112,211938
2019,112,224371
2020,112,
2008,113,31321
2009,113,-36314
2010,113,-2529
2011,113,2500
2012,113,-5119
2013,113,14619
2014,113,22676
2015,113,38467
2016,113,52385
2017,113,60730
2018,113,58287
2019,113,23443
2020,113,3222
2008,114,-1333
2009,114,409
2010,114,1498
2011,114,928
2012,114,1172
2013,114,-1240
2014,114,3511
2015,114,3510
2016,114,3218
2017,114,-2425
2018,114,-1249
2019,114,-4198
2020,114,
2008,115,6087
2009,115,-9723
2010,115,46
2011,115,2909
2012,115,2465
2013,115,612
2014,115,2149
2015,115,7011
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,19497
2009,116,14548
2010,116,23776
2011,116,15454
2012,116,6219
2013,116,9811
2014,116,12157
2015,116,13473
2016,116,12446
2017,116,17804
2018,116,20960
2019,116,9776
2020,116,14509
2008,117,10274
2009,117,9576
2010,117,7998
2011,117,10755
2012,117,12196
2013,117,7844
2014,117,8321
2015,117,9105
2016,117,-6870
2017,117,-1512
2018,117,306
2019,117,4194
2020,117,-9038
2008,118,15870
