Date,Id,interest expenses on debt
2019,60,3064
2020,60,2285
2008,61,1188
2009,61,1589
2010,61,794
2011,61,1461
2012,61,1419
2013,61,1632
2014,61,1570
2015,61,1272
2016,61,786
2017,61,465
2018,61,199
2019,61,412
2020,61,463
2008,62,4003
2009,62,1144
2010,62,1794
2011,62,2733
2012,62,4052
2013,62,3874
2014,62,2669
2015,62,2903
2016,62,788
2017,62,2734
2018,62,1084
2019,62,862
2020,62,1086
2008,63,2159
2009,63,463
2010,63,155
2011,63,263
2012,63,194
2013,63,135
2014,63,220
2015,63,90
2016,63,45
2017,63,472
2018,63,741
2019,63,1121
2020,63,6029
2008,64,2341000
2009,64,2129000
2010,64,2108000
2011,64,1989000
2012,64,2015000
2013,64,1876000
2014,64,1845000
2015,64,2013000
2016,64,1525000
2017,64,1463000
2018,64,1288000
2019,64,1413000
2020,64,1240000
2008,65,13222
2009,65,2492
2010,65,2051
2011,65,3001
2012,65,6151
2013,65,8237
2014,65,8688
2015,65,5254
2016,65,4107
2017,65,3902
2018,65,3527
2019,65,5109
2020,65,4779
2008,66,
2009,66,
2010,66,0
2011,66,12479
2012,66,7771
2013,66,16406
2014,66,20473
2015,66,32979
2016,66,18822
2017,66,13837
2018,66,13482
2019,66,22670
2020,66,14568
2008,67,1564
2009,67,1218
2010,67,873
2011,67,1037
2012,67,1019
2013,67,699
2014,67,743
2015,67,628
2016,67,642
2017,67,986
2018,67,1253
2019,67,1389
2020,67,1750
2008,68,2768
2009,68,1584
2010,68,822
2011,68,398
2012,68,118
2013,68,250
2014,68,176
2015,68,212
2016,68,223
2017,68,427
2018,68,438
2019,68,458
2020,68,821
2008,69,48500
2009,69,45200
2010,69,27400
2011,69,4900
2012,69,5500
2013,69,8700
2014,69,10300
2015,69,14100
2016,69,18200
2017,69,21400
2018,69,
2019,69,
2020,69,
2008,70,202
2009,70,172
2010,70,93
2011,70,392
2012,70,1276
2013,70,1246
2014,70,1058
2015,70,571
2016,70,586
2017,70,166
2018,70,209
2019,70,185
2020,70,98
2008,71,101
2009,71,34
2010,71,23
2011,71,36
2012,71,13
2013,71,70
2014,71,44
2015,71,53
2016,71,47
2017,71,49
2018,71,36
2019,71,237
2020,71,315
2008,72,11047
2009,72,6064
2010,72,3637
2011,72,3633
2012,72,
2013,72,5084
2014,72,4622
2015,72,3897
2016,72,3038
2017,72,2466
2018,72,2485
2019,72,3658
2020,72,3089
2008,73,175
2009,73,186
2010,73,171
2011,73,196
2012,73,242
2013,73,370
2014,73,321
2015,73,260
2016,73,344
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,77
2015,75,109
2016,75,193
2017,75,155
2018,75,139
2019,75,277
2020,75,454
2008,76,276000
2009,76,190000
2010,76,225000
2011,76,262000
2012,76,320000
2013,76,489000
2014,76,385000
2015,76,379000
2016,76,634000
2017,76,281000
2018,76,242000
2019,76,204000
2020,76,171000
2008,77,95349
2009,77,122512
2010,77,51466
2011,77,79775
2012,77,102421
2013,77,100149
2014,77,98836
2015,77,94687
2016,77,132138
2017,77,89585
2018,77,123377
2019,77,87357
2020,77,60459
2008,78,50200
2009,78,23876
2010,78,13245
2011,78,91728
2012,78,107049
2013,78,128732
2014,78,132750
2015,78,117000
2016,78,105700
2017,78,96500
2018,78,96600
2019,78,96400
2020,78,79100
2008,79,4288
2009,79,2849
2010,79,2140
2011,79,3193
2012,79,3469
2013,79,2590
2014,79,2415
2015,79,1850
2016,79,1247
2017,79,1077
2018,79,979
2019,79,624
2020,79,969
2008,80,4975
2009,80,1933
2010,80,1466
2011,80,3689
2012,80,4361
2013,80,2715
2014,80,2225
2015,80,1137
2016,80,601
2017,80,554
2018,80,1023
2019,80,1075
2020,80,1543
2008,81,157000
2009,81,141000
2010,81,130000
2011,81,129000
2012,81,117000
2013,81,122000
2014,81,101000
2015,81,81000
2016,81,60000
2017,81,26000
2018,81,5000
2019,81,22000
2020,81,10000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,5660
2013,82,6125
2014,82,7022
2015,82,10893
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,3504
2009,83,1552
2010,83,1534
2011,83,2408
2012,83,3125
2013,83,3144
2014,83,2155
2015,83,2364
2016,83,1710
2017,83,1487
2018,83,916
2019,83,875
2020,83,1009
2008,84,162068
2009,84,111263
2010,84,121181
2011,84,132266
2012,84,135265
2013,84,
2014,84,74484
2015,84,45314
2016,84,44557
2017,84,43911
2018,84,42957
2019,84,43969
2020,84,52143
2008,85,8574
2009,85,6083
2010,85,4765
2011,85,4823
2012,85,3362
2013,85,2491
2014,85,1930
2015,85,1379
2016,85,4352
2017,85,769
2018,85,685
2019,85,1316
2020,85,868
2008,86,162068
2009,86,111263
2010,86,121181
2011,86,132266
2012,86,135265
2013,86,
2014,86,74484
2015,86,45314
2016,86,44557
2017,86,43911
2018,86,42957
2019,86,43969
2020,86,52143
2008,87,1979
2009,87,1084
2010,87,992
2011,87,1432
2012,87,2181
2013,87,2149
2014,87,1749
2015,87,901
2016,87,196
2017,87,156
2018,87,206
2019,87,284
2020,87,
2008,88,515
2009,88,288
2010,88,249
2011,88,255
2012,88,256
2013,88,214
2014,88,486
2015,88,595
2016,88,456
2017,88,1250
2018,88,375
2019,88,
2020,88,
2008,89,2283
2009,89,1541
2010,89,1675
2011,89,2557
2012,89,2287
2013,89,
2014,89,2867
2015,89,
2016,89,2749
2017,89,
2018,89,2540
2019,89,
2020,89,
2008,90,1112
2009,90,735
2010,90,95
2011,90,242
2012,90,554
2013,90,841
2014,90,1312
2015,90,2573
2016,90,2225
2017,90,1877
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,147
2014,91,415
2015,91,421
2016,91,360
2017,91,688
2018,91,471
2019,91,557
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,66
2015,92,72
2016,92,174
2017,92,172
2018,92,149
2019,92,83
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,16114
2009,95,11779
2010,95,10601
2011,95,26773
2012,95,24145
2013,95,27689
2014,95,21938
2015,95,24269
2016,95,18566
2017,95,18766
2018,95,13095
2019,95,25945
2020,95,28470
2008,96,16762
2009,96,12792
2010,96,13136
2011,96,10938
2012,96,8816
2013,96,6619
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,8558
2009,97,6874
2010,97,6462
2011,97,5432
2012,97,2217
2013,97,2326
2014,97,2065
2015,97,1880
2016,97,1381
2017,97,488
2018,97,477
2019,97,3077
2020,97,3104
2008,98,1389
2009,98,2642
2010,98,219
2011,98,264
2012,98,3042
2013,98,2853
2014,98,2467
2015,98,1189
2016,98,2453
2017,98,3819
2018,98,4004
2019,98,3517
2020,98,2943
2008,99,3048
2009,99,2124
2010,99,2419
2011,99,4177
2012,99,5853
2013,99,6570
2014,99,6780
2015,99,6154
2016,99,4306
2017,99,3673
2018,99,
2019,99,
2020,99,
2008,100,31532
2009,100,12859
2010,100,10871
2011,100,10987
2012,100,11935
2013,100,11826
2014,100,10819
2015,100,6880
2016,100,5630
2017,100,5634
