Date,Id,operating expense
2009,48,1101000
2010,48,1473000
2011,48,1528000
2012,48,1643000
2013,48,1628000
2014,48,1750000
2015,48,1943000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,
2011,49,
2012,49,
2013,49,1027
2014,49,3269
2015,49,3470
2016,49,3241
2017,49,2355
2018,49,2136
2019,49,2073
2020,49,1927
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,9376
2013,50,8065
2014,50,9508
2015,50,9316
2016,50,10045
2017,50,11272
2018,50,13284
2019,50,12665
2020,50,13259
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,25024
2015,52,28697
2016,52,28667
2017,52,37033
2018,52,50294
2019,52,49925
2020,52,52732
2008,53,126973
2009,53,125321
2010,53,133958
2011,53,138839
2012,53,134543
2013,53,121559
2014,53,118689
2015,53,145513
2016,53,162875
2017,53,191098
2018,53,145942
2019,53,157344
2020,53,153088
2008,54,202937
2009,54,163486
2010,54,186580
2011,54,210603
2012,54,146409
2013,54,149787
2014,54,167087
2015,54,198497
2016,54,228213
2017,54,280215
2018,54,321646
2019,54,366009
2020,54,383706
2008,55,358061
2009,55,311728
2010,55,360527
2011,55,382587
2012,55,448744
2013,55,408132
2014,55,414141
2015,55,482364
2016,55,508176
2017,55,525196
2018,55,549144
2019,55,550083
2020,55,465014
2008,56,347284
2009,56,246442
2010,56,252680
2011,56,300444
2012,56,336596
2013,56,322483
2014,56,334457
2015,56,349445
2016,56,377702
2017,56,424637
2018,56,437170
2019,56,408972
2020,56,324509
2008,57,147415
2009,57,134823
2010,57,143734
2011,57,191548
2012,57,238106
2013,57,235335
2014,57,238530
2015,57,255578
2016,57,277447
2017,57,289308
2018,57,342257
2019,57,
2020,57,
2008,58,4703000
2009,58,3429000
2010,58,4292000
2011,58,7208000
2012,58,7431000
2013,58,6885000
2014,58,6593000
2015,58,7001000
2016,58,7201000
2017,58,7545000
2018,58,9857000
2019,58,10973000
2020,58,9641000
2008,59,79088
2009,59,66412
2010,59,77507
2011,59,86735
2012,59,87783
2013,59,89020
2014,59,93544
2015,59,98601
2016,59,98987
2017,59,106668
2018,59,115563
2019,59,119959
2020,59,111533
2008,60,172592
2009,60,147927
2010,60,192544
2011,60,161086
2012,60,173898
2013,60,161953
2014,60,145995
2015,60,160710
2016,60,171597
2017,60,171730
2018,60,166979
2019,60,156074
2020,60,130638
2008,61,117402
2009,61,98882
2010,61,114333
2011,61,127376
2012,61,130915
2013,61,134424
2014,61,123665
2015,61,116021
2016,61,112309
2017,61,117294
2018,61,121935
2019,61,130981
2020,61,120575
2008,62,365971
2009,62,232661
2010,62,367989
2011,62,417883
2012,62,387450
2013,62,358921
2014,62,349333
2015,62,349904
2016,62,296961
2017,62,346321
2018,62,347916
2019,62,312525
2020,62,292894
2008,63,39276
2009,63,40777
2010,63,39774
2011,63,39287
2012,63,42396
2013,63,41608
2014,63,46481
2015,63,42885
2016,63,47420
2017,63,53147
2018,63,60654
2019,63,70567
2020,63,142360
2008,64,25053000
2009,64,21881000
2010,64,21961000
2011,64,23480000
2012,64,23425000
2013,64,18725000
2014,64,17392000
2015,64,16405000
2016,64,15422000
2017,64,16304000
2018,64,15844000
2019,64,14874000
2020,64,13749000
2008,65,1048432
2009,65,1075232
2010,65,1121888
2011,65,1169835
2012,65,1182622
2013,65,1286431
2014,65,1355039
2015,65,1391593
2016,65,1452643
2017,65,1527432
2018,65,1568170
2019,65,1597227
2020,65,1070895
2008,66,
2009,66,
2010,66,0
2011,66,254211
2012,66,274782
2013,66,286490
2014,66,294725
2015,66,306139
2016,66,319311
2017,66,360806
2018,66,386094
2019,66,418549
2020,66,330121
2008,67,
2009,67,
2010,67,
2011,67,
2012,67,103590
2013,67,98733
2014,67,99780
2015,67,95959
2016,67,121163
2017,67,185242
2018,67,181977
2019,67,181820
2020,67,175613
2008,68,115506
2009,68,121627
2010,68,69924
2011,68,43841
2012,68,46630
2013,68,48669
2014,68,56620
2015,68,59828
2016,68,55855
2017,68,51263
2018,68,43326
2019,68,36883
2020,68,17674
2008,69,3714800
2009,69,3726300
2010,69,4083700
2011,69,4265900
2012,69,5067300
2013,69,5098300
2014,69,5271400
2015,69,6233500
2016,69,6330200
2017,69,6510800
2018,69,
2019,69,
2020,69,
2008,70,
2009,70,
2010,70,
2011,70,
2012,70,85912
2013,70,89940
2014,70,99269
2015,70,100890
2016,70,103372
2017,70,102692
2018,70,75810
2019,70,67042
2020,70,74629
2008,71,
2009,71,
2010,71,
2011,71,
2012,71,
2013,71,49188
2014,71,50326
2015,71,50870
2016,71,50619
2017,71,51566
2018,71,58206
2019,71,61678
2020,71,53951
2008,72,
2009,72,
2010,72,
2011,72,
2012,72,563538
2013,72,584781
2014,72,594207
2015,72,697905
2016,72,620182
2017,72,635360
2018,72,659629
2019,72,691270
2020,72,795343
2008,73,7418
2009,73,8892
2010,73,9273
2011,73,7683
2012,73,10376
2013,73,10086
2014,73,12501
2015,73,11396
2016,73,12729
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,46766
2015,75,52324
2016,75,52580
2017,75,48858
2018,75,40890
2019,75,34960
2020,75,16556
2008,76,881000
2009,76,1194000
2010,76,1624000
2011,76,1629000
2012,76,1798000
2013,76,1789000
2014,76,1882000
2015,76,1982000
2016,76,1152000
2017,76,1167000
2018,76,1157000
2019,76,1140000
2020,76,1373000
2008,77,2225985
2009,77,1925623
2010,77,2502685
2011,77,3140965
2012,77,3906422
2013,77,3111664
2014,77,2570934
2015,77,2736395
2016,77,2838306
2017,77,3290450
2018,77,3502162
2019,77,3806905
2020,77,3300366
2008,78,3507891
2009,78,4173786
2010,78,3547859
2011,78,3980370
2012,78,4343612
2013,78,4429235
2014,78,4060300
2015,78,4368000
2016,78,4402300
2017,78,5649900
2018,78,6104500
2019,78,6877800
2020,78,6975300
2008,79,146616
2009,79,202991
2010,79,191678
2011,79,198663
2012,79,241863
2013,79,237963
2014,79,199287
2015,79,200233
2016,79,184744
2017,79,185524
2018,79,262043
2019,79,389146
2020,79,359773
2008,80,789057
2009,80,724934
2010,80,800076
2011,80,1034880
2012,80,1002754
2013,80,777546
2014,80,531230
2015,80,523944
2016,80,425329
2017,80,472181
2018,80,525785
2019,80,104102
2020,80,133529
2008,81,10504000
2009,81,8282000
2010,81,10274000
2011,81,9791000
2012,81,11736000
2013,81,11971000
2014,81,12116000
2015,81,11286000
2016,81,9828000
2017,81,9679000
2018,81,9179000
2019,81,8299000
2020,81,6220000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,946204
2013,82,1288525
2014,82,1275410
2015,82,1626124
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,209359
2009,83,191327
2010,83,216951
2011,83,238765
2012,83,254403
2013,83,252506
2014,83,212574
2015,83,223644
2016,83,225265
2017,83,240448
2018,83,254657
2019,83,280985
2020,83,281234
2008,84,4588785
2009,84,4148801
2010,84,4625954
2011,84,4300858
2012,84,5000493
2013,84,5401792
2014,84,2302671
2015,84,2465789
2016,84,2512439
2017,84,2636766
2018,84,2719732
2019,84,2028966
2020,84,1816699
2008,85,466987
2009,85,443066
2010,85,503424
2011,85,518772
2012,85,477635
2013,85,471845
2014,85,421651
2015,85,425061
2016,85,475942
2017,85,554478
2018,85,572581
2019,85,671497
2020,85,640047
2008,86,4588785
2009,86,4148801
2010,86,4625954
2011,86,4300858
2012,86,5000493
2013,86,5401792
2014,86,2302671
2015,86,2465789
2016,86,2512439
2017,86,2636766
2018,86,2719732
2019,86,2028966
2020,86,1816699
2008,87,109817
2009,87,82781
2010,87,77341
2011,87,78821
2012,87,71834
2013,87,53440
2014,87,52506
2015,87,30495
2016,87,28817
2017,87,30913
2018,87,32502
2019,87,30392
2020,87,
2008,88,50154
2009,88,24317
2010,88,22686
2011,88,26316
2012,88,18332
2013,88,8608
2014,88,8253
2015,88,6801
2016,88,8691
2017,88,24932
2018,88,26289
2019,88,
2020,88,
2008,89,151914
2009,89,163381
2010,89,163445
2011,89,155135
2012,89,161427
2013,89,146417
2014,89,150833
2015,89,154536
2016,89,160143
2017,89,162982
2018,89,165952
2019,89,
2020,89,
2008,90,96547
2009,90,139283
2010,90,199529
2011,90,275252
2012,90,357013
2013,90,431681
2014,90,501086
2015,90,878734
2016,90,1816769
2017,90,2042923
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,12855
2013,91,17846
2014,91,28554
2015,91,29719
2016,91,22654
2017,91,25447
2018,91,38155
2019,91,42067
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,29045
2015,92,26530
2016,92,17593
2017,92,19295
2018,92,17180
2019,92,19673
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,599529
2009,95,603534
2010,95,640615
2011,95,729406
2012,95,749526
2013,95,755112
2014,95,798560
2015,95,926167
2016,95,996193
2017,95,1114854
2018,95,1202376
2019,95,1531078
2020,95,1397233
2008,96,486243
2009,96,417305
2010,96,399977
2011,96,316100
2012,96,38298
2013,96,33374
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,154545
2009,97,153264
2010,97,144901
2011,97,83006
2012,97,70985
2013,97,66136
2014,97,61166
2015,97,50678
2016,97,48479
2017,97,52743
2018,97,50069
2019,97,48971
2020,97,45647
2008,98,173815
2009,98,199832
