Date,Id,total debt
2012,63,3762
2013,63,0
2014,63,0
2015,63,2000
2016,63,11925
2017,63,32534
2018,63,34614
2019,63,21150
2020,63,185239
2008,64,39917000
2009,64,40663000
2010,64,38918000
2011,64,39397000
2012,64,37303000
2013,64,34953000
2014,64,34597000
2015,64,34472000
2016,64,32556000
2017,64,30870000
2018,64,29209000
2019,64,32280000
2020,64,30256000
2008,65,187973
2009,65,206265
2010,65,217597
2011,65,196642
2012,65,233442
2013,65,229292
2014,65,219255
2015,65,258300
2016,65,295395
2017,65,315856
2018,65,337935
2019,65,392020
2020,65,451990
2008,66,
2009,66,
2010,66,0
2011,66,422933
2012,66,201671
2013,66,282140
2014,66,334128
2015,66,580578
2016,66,348182
2017,66,337079
2018,66,383640
2019,66,491562
2020,66,500098
2008,67,37704
2009,67,37200
2010,67,35758
2011,67,37418
2012,67,36703
2013,67,31681
2014,67,30455
2015,67,35177
2016,67,71111
2017,67,88513
2018,67,87155
2019,67,96247
2020,67,154281
2008,68,45226
2009,68,46135
2010,68,27120
2011,68,10156
2012,68,8164
2013,68,5357
2014,68,5508
2015,68,9428
2016,68,13132
2017,68,11679
2018,68,10186
2019,68,11963
2020,68,12906
2008,69,475000
2009,69,222700
2010,69,19300
2011,69,34800
2012,69,63800
2013,69,139600
2014,69,114600
2015,69,344400
2016,69,628900
2017,69,440900
2018,69,
2019,69,
2020,69,
2008,70,1305
2009,70,978
2010,70,636
2011,70,22792
2012,70,25140
2013,70,18506
2014,70,10799
2015,70,8481
2016,70,902
2017,70,818
2018,70,10708
2019,70,10845
2020,70,8067
2008,71,572
2009,71,353
2010,71,741
2011,71,149
2012,71,1843
2013,71,1413
2014,71,1885
2015,71,2404
2016,71,5816
2017,71,5258
2018,71,3477
2019,71,15543
2020,71,24923
2008,72,155726
2009,72,120308
2010,72,106234
2011,72,138624
2012,72,137554
2013,72,136361
2014,72,183787
2015,72,212124
2016,72,179397
2017,72,170968
2018,72,213682
2019,72,229431
2020,72,228610
2008,73,4691
2009,73,5251
2010,73,3705
2011,73,6168
2012,73,9515
2013,73,8494
2014,73,5550
2015,73,5012
2016,73,20411
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,2065
2015,75,6978
2016,75,8929
2017,75,8721
2018,75,6208
2019,75,7834
2020,75,8952
2008,76,6237000
2009,76,9986000
2010,76,10350000
2011,76,11199000
2012,76,12554000
2013,76,13328000
2014,76,13942000
2015,76,13796000
2016,76,11090000
2017,76,12619000
2018,76,13420000
2019,76,14774000
2020,76,15937000
2008,77,1739610
2009,77,1921117
2010,77,2870366
2011,77,3206967
2012,77,2972890
2013,77,2680312
2014,77,2764309
2015,77,2822797
2016,77,3223715
2017,77,3074564
2018,77,3301264
2019,77,3478830
2020,77,3988749
2008,78,1781388
2009,78,2274423
2010,78,2475040
2011,78,2532689
2012,78,2775677
2013,78,3678142
2014,78,3671436
2015,78,3428000
2016,78,3115400
2017,78,3171800
2018,78,3296200
2019,78,3857300
2020,78,4389200
2008,79,75206
2009,79,116973
2010,79,119309
2011,79,131697
2012,79,129381
2013,79,140441
2014,79,145807
2015,79,129933
2016,79,115055
2017,79,101106
2018,79,98679
2019,79,134324
2020,79,163214
2008,80,72815
2009,80,102223
2010,80,123396
2011,80,260265
2012,80,221844
2013,80,159623
2014,80,238859
2015,80,142184
2016,80,99388
2017,80,135015
2018,80,186155
2019,80,272594
2020,80,362689
2008,81,3207000
2009,81,4715000
2010,81,4334000
2011,81,4365000
2012,81,3506000
2013,81,3173000
2014,81,2371000
2015,81,1576000
2016,81,1290000
2017,81,382000
2018,81,571000
2019,81,957000
2020,81,839000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,91483
2013,82,36714
2014,82,31221
2015,82,66618
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,82376
2009,83,112084
2010,83,121564
2011,83,121914
2012,83,136090
2013,83,145147
2014,83,172010
2015,83,210810
2016,83,183850
2017,83,184853
2018,83,199716
2019,83,251625
2020,83,250064
2008,84,3338311
2009,84,2881013
2010,84,3579678
2011,84,3619050
2012,84,3759792
2013,84,3112499
2014,84,804521
2015,84,885120
2016,84,830487
2017,84,898152
2018,84,906979
2019,84,1759974
2020,84,1676732
2008,85,133591
2009,85,127573
2010,85,105947
2011,85,88697
2012,85,86317
2013,85,75050
2014,85,62921
2015,85,68119
2016,85,73801
2017,85,63789
2018,85,96212
2019,85,89596
2020,85,71907
2008,86,3338311
2009,86,2881013
2010,86,3579678
2011,86,3619050
2012,86,3759792
2013,86,3112499
2014,86,804521
2015,86,885120
2016,86,830487
2017,86,898152
2018,86,906979
2019,86,1759974
2020,86,1676732
2008,87,28801
2009,87,27890
2010,87,29443
2011,87,32521
2012,87,30209
2013,87,31196
2014,87,22311
2015,87,37914
2016,87,6337
2017,87,5665
2018,87,5967
2019,87,6933
2020,87,
2008,88,5910
2009,88,4827
2010,88,6393
2011,88,5900
2012,88,1624
2013,88,1363
2014,88,5692
2015,88,5309
2016,88,5836
2017,88,3533
2018,88,2222
2019,88,
2020,88,
2008,89,24408
2009,89,47813
2010,89,46282
2011,89,40142
2012,89,35246
2013,89,40795
2014,89,51234
2015,89,60686
2016,89,61319
2017,89,63535
2018,89,68099
2019,89,
2020,89,
2008,90,22821
2009,90,1006
2010,90,6446
2011,90,14049
2012,90,27106
2013,90,46752
2014,90,96606
2015,90,130532
2016,90,116615
2017,90,229044
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,162
2013,91,942
2014,91,1862
2015,91,3635
2016,91,4348
2017,91,1941
2018,91,9596
2019,91,10654
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,1019
2015,92,2649
2016,92,2941
2017,92,2690
2018,92,738
2019,92,597
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,287026
2009,95,233932
2010,95,482425
2011,95,446942
2012,95,403760
2013,95,428952
2014,95,453512
2015,95,408357
2016,95,412682
2017,95,415371
2018,95,910784
2019,95,1339291
2020,95,1561484
2008,96,246802
2009,96,224083
2010,96,215423
2011,96,245463
2012,96,196940
2013,96,186676
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,117578
2009,97,126866
2010,97,113870
2011,97,90304
2012,97,50341
2013,97,42033
2014,97,41833
2015,97,29122
2016,97,19754
2017,97,19077
2018,97,16067
2019,97,105400
2020,97,102890
2008,98,36553
2009,98,36654
2010,98,29621
2011,98,21353
2012,98,12614
2013,98,7175
2014,98,3217
2015,98,2300
2016,98,50400
2017,98,24012
2018,98,20682
2019,98,29278
2020,98,34660
2008,99,61874
2009,99,62000
2010,99,79607
2011,99,91269
2012,99,84781
2013,99,88900
2014,99,98928
2015,99,121688
2016,99,103848
2017,99,102032
2018,99,
2019,99,
2020,99,
2008,100,376392
2009,100,255067
2010,100,210689
2011,100,180405
2012,100,343146
2013,100,292020
2014,100,348818
2015,100,185997
2016,100,178806
2017,100,409369
2018,100,389018
2019,100,561007
2020,100,730989
2008,101,13746
2009,101,14584
2010,101,12889
2011,101,16261
2012,101,17407
2013,101,15585
2014,101,16693
2015,101,17004
2016,101,15299
2017,101,17392
2018,101,14548
2019,101,21825
2020,101,25474
2008,102,49915
2009,102,42170
2010,102,59982
2011,102,88826
2012,102,91881
2013,102,84339
2014,102,86665
2015,102,87468
2016,102,92749
2017,102,104194
2018,102,91894
2019,102,94526
2020,102,120189
2008,103,115744
2009,103,100590
2010,103,103193
2011,103,94834
2012,103,93206
2013,103,91334
2014,103,95002
2015,103,91301
2016,103,88610
2017,103,90276
2018,103,93203
2019,103,
2020,103,
2008,104,13853
2009,104,17290
2010,104,14651
2011,104,14405
2012,104,19040
2013,104,28958
2014,104,21194
2015,104,19717
2016,104,16964
2017,104,21270
2018,104,24389
2019,104,20961
2020,104,89542
2008,105,2384
2009,105,4381
2010,105,4883
2011,105,5303
2012,105,4349
2013,105,2580
2014,105,6155
2015,105,6073
2016,105,6103
2017,105,7255
2018,105,11238
2019,105,17274
2020,105,19069
2008,106,66314
2009,106,45186
2010,106,35071
2011,106,107264
2012,106,114677
2013,106,92205
2014,106,91741
2015,106,149273
2016,106,122548
2017,106,174183
2018,106,182575
2019,106,196848
2020,106,226289
2008,107,133630
2009,107,128663
2010,107,125758
2011,107,131109
2012,107,111580
2013,107,103765
2014,107,97306
2015,107,80305
2016,107,80040
2017,107,87495
2018,107,86066
2019,107,107917
2020,107,40583
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,42471
2014,108,42471
2015,108,70049
2016,108,267089
2017,108,278146
2018,108,605913
2019,108,584529
2020,108,601415
2008,109,
2009,109,45249
2010,109,109241
2011,109,58142
2012,109,49774
2013,109,21450
2014,109,27803
2015,109,39211
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,925
2009,110,4191
2010,110,4722
2011,110,5803
2012,110,30916
2013,110,2920
2014,110,3725
2015,110,2248
2016,110,576
2017,110,282
2018,110,82
2019,110,280
2020,110,362
2008,111,129652
2009,111,147918
2010,111,69893
2011,111,45639
2012,111,37147
2013,111,34137
2014,111,30266
2015,111,32075
2016,111,44315
2017,111,281
2018,111,1236
2019,111,26748
2020,111,34417
2008,112,217054
2009,112,215535
2010,112,220056
2011,112,241176
2012,112,206547
2013,112,220293
2014,112,259158
2015,112,331771
2016,112,314724
2017,112,275939
2018,112,389810
2019,112,808492
2020,112,
2008,113,48833
2009,113,63853
2010,113,44576
2011,113,73607
2012,113,74656
2013,113,61222
2014,113,65630
2015,113,51569
2016,113,41599
2017,113,48654
2018,113,56918
2019,113,106575
2020,113,141018
2008,114,11824
2009,114,6142
2010,114,4237
2011,114,6251
2012,114,9684
2013,114,6154
2014,114,5687
2015,114,9353
2016,114,16463
2017,114,18161
2018,114,18544
2019,114,16506
2020,114,
2008,115,29978
2009,115,27549
2010,115,26329
2011,115,29532
2012,115,29578
2013,115,39419
2014,115,40607
2015,115,37852
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,40885
2009,116,28315
2010,116,22314
2011,116,28971
2012,116,29900
2013,116,21835
2014,116,29786
2015,116,29868
2016,116,33497
2017,116,35046
2018,116,60489
2019,116,63055
2020,116,62642
2008,117,44241
2009,117,50802
2010,117,40754
2011,117,75450
2012,117,78056
2013,117,91587
2014,117,98367
2015,117,122587
2016,117,121725
2017,117,115176
2018,117,119551
2019,117,135773
2020,117,181229
2008,118,285083
2009,118,311041
2010,118,323640
2011,118,359302
2012,118,330374
2013,118,325685
2014,118,289945
2015,118,313965
2016,118,247562
2017,118,207465
2018,118,201312
2019,118,209142
2020,118,498277
2008,119,256092
2009,119,270834
2010,119,264843
2011,119,236031
2012,119,189618
2013,119,193996
2014,119,239128
2015,119,390117
2016,119,455154
2017,119,418480
2018,119,405479
2019,119,604598
2020,119,612670
2008,120,
2009,120,
2010,120,
2011,120,179307
2012,120,235807
2013,120,676290
2014,120,1565859
2015,120,1996421
2016,120,1682749
2017,120,1383492
2018,120,1892424
2019,120,2060723
2020,120,3815069
2008,121,
2009,121,
2010,121,
2011,121,20217000
2012,121,20633000
2013,121,21714000
2014,121,24562727
2015,121,24367818
2016,121,24111432
2017,121,21695676
2018,121,21401496
2019,121,22668396
2020,121,21800142
2008,122,355629
2009,122,276723
2010,122,331143
2011,122,374911
2012,122,375527
2013,122,433685
2014,122,388615
2015,122,455425
2016,122,564218
2017,122,499797
2018,122,474838
2019,122,525923
2020,122,601329
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,4725
2015,123,7457
2016,123,9266
2017,123,11510
2018,123,28913
2019,123,23730
2020,123,42880
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,20943
2016,124,19486
2017,124,25109
2018,124,25278
2019,124,31762
2020,124,37834
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,112431
2016,125,147856
2017,125,155678
2018,125,201078
2019,125,230286
2020,125,316483
2008,126,470709
2009,126,552208
2010,126,514716
2011,126,514445
2012,126,542963
2013,126,526528
2014,126,116551
2015,126,156714
2016,126,143813
2017,126,125619
2018,126,123479
2019,126,121556
2020,126,108422
2008,127,65841
2009,127,101909
2010,127,143197
2011,127,235041
2012,127,228954
2013,127,256264
2014,127,257296
2015,127,256466
2016,127,245002
2017,127,247848
2018,127,245574
2019,127,245794
2020,127,244459
2008,128,1690076
2009,128,1725821
2010,128,2237519
2011,128,2145015
2012,128,2360846
2013,128,2455757
2014,128,2876720
2015,128,2720790
2016,128,2629577
2017,128,2131601
2018,128,2626846
2019,128,
2020,128,
2008,129,99984
2009,129,97880
2010,129,79834
2011,129,98431
2012,129,133380
2013,129,160187
2014,129,223358
2015,129,258579
2016,129,261984
2017,129,256635
2018,129,
2019,129,
2020,129,
2008,130,15175
2009,130,16572
2010,130,5532
2011,130,15353
2012,130,18375
2013,130,10080
2014,130,17687
2015,130,4128
2016,130,1780
2017,130,424
2018,130,1037
2019,130,
2020,130,
2008,131,4236
2009,131,5839
2010,131,13555
2011,131,14870
2012,131,18416
2013,131,19287
2014,131,26768
2015,131,45036
2016,131,40715
2017,131,41865
2018,131,42420
2019,131,52941
2020,131,153671
2008,132,10366848
2009,132,11885516
2010,132,12374642
2011,132,10763899
2012,132,15384146
2013,132,17112280
2014,132,14298910
2015,132,15184261
2016,132,17133269
2017,132,17262705
2018,132,45684283
2019,132,45375000
2020,132,51028000
2008,133,205046
2009,133,271113
2010,133,287601
2011,133,326507
2012,133,334185
