Date,Id,operating income
2015,43,986000
2016,43,988100
2017,43,1043000
2018,43,1063200
2019,43,1105200
2020,43,1091200
2008,44,-12917
2009,44,-8829
2010,44,-7807
2011,44,-1308
2012,44,-734
2013,44,3696
2014,44,3629
2015,44,2834
2016,44,2270
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,351762
2009,46,146865
2010,46,762471
2011,46,280116
2012,46,246606
2013,46,385549
2014,46,363104
2015,46,316488
2016,46,433825
2017,46,319453
2018,46,358484
2019,46,407782
2020,46,436227
2008,47,590000
2009,47,467000
2010,47,389000
2011,47,296000
2012,47,287000
2013,47,526000
2014,47,517000
2015,47,572000
2016,47,702000
2017,47,737000
2018,47,738000
2019,47,693000
2020,47,551000
2008,48,772000
2009,48,632000
2010,48,648000
2011,48,725000
2012,48,1053000
2013,48,1127000
2014,48,1163000
2015,48,1051000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,35
2011,49,90
2012,49,156
2013,49,155
2014,49,738
2015,49,338
2016,49,-115
2017,49,-501
2018,49,42
2019,49,26
2020,49,337
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,450
2013,50,2669
2014,50,3592
2015,50,-812
2016,50,201
2017,50,-460
2018,50,1175
2019,50,3499
2020,50,2797
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,1453
2015,52,490
2016,52,1293
2017,52,4815
2018,52,1779
2019,52,-297
2020,52,-2881
2008,53,30134
2009,53,3484
2010,53,6616
2011,53,9805
2012,53,7930
2013,53,6984
2014,53,13012
2015,53,20499
2016,53,26156
2017,53,39980
2018,53,14342
2019,53,25008
2020,53,15615
2008,54,18733
2009,54,-14375
2010,54,3217
2011,54,533
2012,54,7299
2013,54,7593
2014,54,12922
2015,54,19173
2016,54,24433
2017,54,26246
2018,54,24374
2019,54,34752
2020,54,24377
2008,55,21759
2009,55,243
2010,55,32215
2011,55,42946
2012,55,13506
2013,55,42605
2014,55,50405
2015,55,52704
2016,55,68306
2017,55,80826
2018,55,81871
2019,55,62403
2020,55,14814
2008,56,19992
2009,56,-14556
2010,56,-2673
2011,56,9256
2012,56,12711
2013,56,13359
2014,56,16007
2015,56,15021
2016,56,16184
2017,56,24866
2018,56,29762
2019,56,18610
