Date,Id,disposal fixed assets
2012,62,133
2013,62,0
2014,62,748
2015,62,26
2016,62,68
2017,62,69
2018,62,347
2019,62,19
2020,62,13
2008,63,587
2009,63,544
2010,63,204
2011,63,2024
2012,63,210
2013,63,0
2014,63,0
2015,63,34
2016,63,179
2017,63,1315
2018,63,265
2019,63,480
2020,63,864
2008,64,97000
2009,64,66000
2010,64,448000
2011,64,992000
2012,64,77000
2013,64,-7000
2014,64,403000
2015,64,2011000
2016,64,984000
2017,64,485000
2018,64,1963000
2019,64,1414000
2020,64,1898000
2008,65,1956
2009,65,664
2010,65,1871
2011,65,1582
2012,65,1026
2013,65,1687
2014,65,2414
2015,65,3199
2016,65,555
2017,65,643
2018,65,838
2019,65,289
2020,65,379
2008,66,
2009,66,
2010,66,0
2011,66,0
2012,66,8061
2013,66,3344
2014,66,4064
2015,66,5399
2016,66,3672
2017,66,5401
2018,66,2133
2019,66,1988
2020,66,1786
2008,67,
2009,67,
2010,67,
2011,67,
2012,67,0
2013,67,0
2014,67,0
2015,67,0
2016,67,0
2017,67,446
2018,67,0
2019,67,0
2020,67,0
2008,68,0
2009,68,11663
2010,68,0
2011,68,112
2012,68,83
2013,68,0
2014,68,0
2015,68,0
2016,68,0
2017,68,0
2018,68,243
2019,68,1
2020,68,115
2008,69,1100
2009,69,0
2010,69,0
2011,69,0
2012,69,0
2013,69,0
2014,69,0
2015,69,0
2016,69,0
2017,69,0
2018,69,
2019,69,
2020,69,
2008,70,
2009,70,
2010,70,
2011,70,
2012,70,0
2013,70,0
2014,70,0
2015,70,0
2016,70,
2017,70,
2018,70,
2019,70,
2020,70,
2008,71,
2009,71,
2010,71,
2011,71,
2012,71,
2013,71,0
2014,71,0
2015,71,0
2016,71,0
2017,71,0
2018,71,0
2019,71,0
2020,71,0
2008,72,
2009,72,
2010,72,
2011,72,
2012,72,
2013,72,
2014,72,
2015,72,
2016,72,
2017,72,
2018,72,
2019,72,
2020,72,
2008,73,0
2009,73,0
2010,73,1478
2011,73,0
2012,73,
2013,73,
2014,73,
2015,73,
2016,73,
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,
2015,75,
2016,75,
2017,75,393
2018,75,
2019,75,
2020,75,
2008,76,2000
2009,76,8000
2010,76,4000
2011,76,11000
2012,76,13000
2013,76,3000
2014,76,3000
2015,76,6000
2016,76,1504000
2017,76,3000
2018,76,2000
2019,76,0
2020,76,2000
2008,77,5592
2009,77,19283
2010,77,23906
2011,77,
2012,77,
2013,77,
2014,77,
2015,77,
2016,77,
2017,77,
2018,77,
2019,77,
2020,77,
2008,78,
2009,78,
2010,78,
2011,78,5987
2012,78,22960
2013,78,4021
2014,78,8438
2015,78,8000
2016,78,20500
2017,78,7800
2018,78,21700
2019,78,172900
2020,78,5600
2008,79,3090
2009,79,1308
2010,79,2114
2011,79,2030
2012,79,1795
2013,79,1797
2014,79,2532
2015,79,616
2016,79,2255
2017,79,1315
2018,79,2325
2019,79,9093
2020,79,131
2008,80,433
2009,80,434
2010,80,230
2011,80,5
2012,80,75
2013,80,290
2014,80,160
2015,80,6
2016,80,2
2017,80,2
2018,80,29
2019,80,35
2020,80,0
2008,81,48000
2009,81,43000
2010,81,8000
2011,81,14000
2012,81,6000
2013,81,8000
2014,81,32000
2015,81,0
2016,81,57000
2017,81,12000
2018,81,38000
2019,81,3000
2020,81,3000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,
2015,82,
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,4777
2009,83,4400
2010,83,4915
2011,83,4792
2012,83,4661
2013,83,4461
2014,83,18846
2015,83,4351
2016,83,10428
2017,83,4826
2018,83,17583
2019,83,264
2020,83,1941
2008,84,0
2009,84,0
2010,84,
2011,84,8311
2012,84,514
2013,84,0
2014,84,0
2015,84,73204
2016,84,23689
2017,84,24206
2018,84,10829
2019,84,11283
2020,84,0
2008,85,6500
2009,85,0
2010,85,
2011,85,
2012,85,2365
2013,85,1079
2014,85,
2015,85,
2016,85,
2017,85,
2018,85,
2019,85,
2020,85,
2008,86,0
2009,86,0
2010,86,
2011,86,8311
2012,86,514
2013,86,0
2014,86,0
2015,86,73204
2016,86,23689
2017,86,24206
2018,86,10829
2019,86,11283
2020,86,0
2008,87,0
2009,87,0
2010,87,0
2011,87,180
2012,87,0
2013,87,
2014,87,
2015,87,729
2016,87,1330
2017,87,163
2018,87,78
2019,87,24
2020,87,
2008,88,0
2009,88,0
2010,88,0
2011,88,0
2012,88,0
2013,88,0
2014,88,0
2015,88,1
2016,88,0
2017,88,0
2018,88,0
2019,88,
2020,88,
2008,89,90
2009,89,83
2010,89,79
2011,89,3211
2012,89,35
2013,89,9
2014,89,116
2015,89,128
2016,89,30
2017,89,28
2018,89,25
2019,89,
2020,89,
2008,90,42
2009,90,0
2010,90,0
2011,90,0
2012,90,0
2013,90,0
2014,90,0
2015,90,0
2016,90,0
2017,90,0
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,
2014,91,
2015,91,
2016,91,
2017,91,
2018,91,
2019,91,
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,
2015,92,22
2016,92,0
2017,92,1
2018,92,1
2019,92,3
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,1978
2009,95,9540
2010,95,3524
2011,95,3112
2012,95,1820
2013,95,3686
2014,95,5245
2015,95,9682
2016,95,1369
2017,95,1506
2018,95,1825
2019,95,2235
2020,95,15751
2008,96,11487
2009,96,2169
2010,96,776
2011,96,255
2012,96,19
2013,96,0
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,30731
2009,97,
2010,97,1365
2011,97,3710
2012,97,
2013,97,
2014,97,
2015,97,
2016,97,
2017,97,
2018,97,
2019,97,
2020,97,
2008,98,847
2009,98,744
2010,98,1225
2011,98,1408
2012,98,2750
2013,98,2994
2014,98,2165
2015,98,1679
2016,98,2542
2017,98,4504
2018,98,3373
2019,98,3567
2020,98,1803
2008,99,
2009,99,
2010,99,
2011,99,
2012,99,
2013,99,347
2014,99,464
2015,99,343
2016,99,851
2017,99,455
2018,99,
2019,99,
2020,99,
2008,100,216
2009,100,1463
2010,100,2819
2011,100,1850
2012,100,352
2013,100,501
2014,100,1618
2015,100,1266
2016,100,2070
2017,100,387
2018,100,966
2019,100,535
2020,100,15
2008,101,
2009,101,
2010,101,
2011,101,
2012,101,225
2013,101,107
2014,101,7
2015,101,86
2016,101,108
2017,101,38
2018,101,24
2019,101,219
2020,101,0
2008,102,1190
2009,102,0
2010,102,0
2011,102,0
2012,102,0
2013,102,0
2014,102,0
2015,102,0
2016,102,0
2017,102,0
2018,102,0
2019,102,0
2020,102,0
2008,103,682
2009,103,1134
2010,103,807
2011,103,3832
2012,103,2844
2013,103,164
2014,103,321
2015,103,588
2016,103,142
2017,103,551
2018,103,1241
2019,103,
2020,103,
2008,104,
2009,104,
2010,104,
2011,104,
2012,104,
2013,104,0
2014,104,0
2015,104,0
2016,104,0
2017,104,620
2018,104,0
2019,104,43881
2020,104,0
2008,105,
2009,105,
2010,105,
2011,105,
2012,105,23
2013,105,16
2014,105,26
2015,105,29
2016,105,0
2017,105,0
2018,105,0
2019,105,0
2020,105,0
2008,106,702
2009,106,684
2010,106,2576
2011,106,
2012,106,
2013,106,484
2014,106,73
2015,106,61
2016,106,115
2017,106,184
2018,106,5624
2019,106,191
2020,106,54
2008,107,1809
2009,107,3028
2010,107,263
2011,107,2679
2012,107,3126
2013,107,443
2014,107,2238
2015,107,1
2016,107,243
2017,107,5
2018,107,20
2019,107,10
2020,107,0
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,0
2014,108,0
2015,108,0
2016,108,
2017,108,
2018,108,
2019,108,
2020,108,
2008,109,
2009,109,34
2010,109,4
2011,109,
2012,109,10
2013,109,93
2014,109,7
2015,109,0
2016,109,
