Date,Id,ppe net
2020,47,5162000
2008,48,6755000
2009,48,7200000
2010,48,8571000
2011,48,10172000
2012,48,10878000
2013,48,11851000
2014,48,13329000
2015,48,15364000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,1983
2011,49,3510
2012,49,4582
2013,49,6409
2014,49,30380
2015,49,28676
2016,49,20093
2017,49,21507
2018,49,15019
2019,49,14407
2020,49,13705
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,56648
2013,50,55115
2014,50,54238
2015,50,63239
2016,50,64610
2017,50,67406
2018,50,66899
2019,50,65234
2020,50,82816
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,7876
2015,52,8450
2016,52,11723
2017,52,16082
2018,52,19826
2019,52,24543
2020,52,36650
2008,53,71691
2009,53,65932
2010,53,63813
2011,53,59263
2012,53,55964
2013,53,51473
2014,53,50684
2015,53,50383
2016,53,53402
2017,53,49492
2018,53,53832
2019,53,75510
2020,53,78768
2008,54,26258
2009,54,29845
2010,54,29076
2011,54,27807
2012,54,21415
2013,54,21853
2014,54,26927
2015,54,32621
2016,54,39616
2017,54,39178
2018,54,61020
2019,54,81813
2020,54,85576
2008,55,52594
2009,55,50822
2010,55,50042
2011,55,49991
2012,55,51621
2013,55,51328
2014,55,57157
2015,55,68384
2016,55,72082
2017,55,69733
2018,55,77995
2019,55,99355
2020,55,103406
2008,56,35504
2009,56,26446
2010,56,25013
2011,56,24473
2012,56,24344
2013,56,24201
2014,56,26912
2015,56,28466
2016,56,35281
2017,56,35628
2018,56,36749
2019,56,69180
2020,56,64281
2008,57,15302
2009,57,16106
2010,57,30464
2011,57,34659
2012,57,35132
2013,57,35119
2014,57,36859
2015,57,41804
2016,57,42721
2017,57,47892
2018,57,59634
2019,57,
2020,57,
2008,58,806000
2009,58,872000
2010,58,949000
2011,58,1539000
2012,58,1539000
2013,58,1441000
2014,58,1414000
2015,58,1551000
2016,58,1631000
2017,58,1646000
2018,58,2629000
2019,58,2804000
2020,58,2648000
2008,59,32590
2009,59,35071
2010,59,36440
2011,59,50012
2012,59,59157
2013,59,61602
2014,59,65846
2015,59,65435
2016,59,66298
2017,59,72082
2018,59,83294
2019,59,92796
2020,59,91533
2008,60,85800
2009,60,82677
2010,60,86390
2011,60,87391
2012,60,83095
2013,60,76334
2014,60,78818
2015,60,78321
2016,60,77137
2017,60,66614
2018,60,63680
2019,60,61419
2020,60,40722
2008,61,42209
2009,61,41556
2010,61,40439
2011,61,44422
2012,61,43813
2013,61,42267
2014,61,40997
2015,61,39389
2016,61,36931
2017,61,35563
2018,61,38955
2019,61,47850
2020,61,44566
2008,62,70864
2009,62,71386
2010,62,77472
2011,62,77038
2012,62,73159
2013,62,66249
2014,62,61944
2015,62,54901
2016,62,58014
2017,62,54515
2018,62,52423
2019,62,51541
2020,62,43377
2008,63,125807
2009,63,122069
2010,63,118077
2011,63,108417
2012,63,104970
2013,63,101588
2014,63,105519
2015,63,124609
2016,63,146109
2017,63,116001
2018,63,188151
2019,63,194014
2020,63,240733
2008,64,15662000
2009,64,14902000
2010,64,16550000
2011,64,15948000
2012,64,15479000
2013,64,13219000
2014,64,13387000
2015,64,14867000
2016,64,16360000
2017,64,16547000
2018,64,16146000
2019,64,19505000
2020,64,18133000
2008,65,60447
2009,65,58149
2010,65,55817
2011,65,54264
2012,65,52573
2013,65,68282
2014,65,68962
2015,65,68563
2016,65,71729
2017,65,70149
2018,65,68168
2019,65,116397
2020,65,127366
2008,66,
2009,66,
2010,66,0
2011,66,138852
2012,66,149500
2013,66,152035
2014,66,153299
2015,66,154954
2016,66,165122
2017,66,180711
2018,66,189783
2019,66,267011
2020,66,245067
2008,67,63188
2009,67,63113
2010,67,61100
2011,67,58488
2012,67,55703
2013,67,52652
2014,67,51671
2015,67,52010
2016,67,107335
2017,67,110817
2018,67,120434
2019,67,124362
2020,67,123826
2008,68,8201
2009,68,12391
2010,68,3762
2011,68,3626
2012,68,2622
2013,68,1595
2014,68,3078
2015,68,3809
2016,68,4277
2017,68,3910
2018,68,3643
2019,68,2984
2020,68,2757
2008,69,646300
2009,69,774000
2010,69,864300
2011,69,899000
2012,69,999300
2013,69,934700
2014,69,996500
2015,69,1298100
2016,69,1489700
2017,69,1459500
2018,69,
2019,69,
2020,69,
2008,70,9346
2009,70,9614
2010,70,10638
2011,70,10911
2012,70,12524
2013,70,11939
2014,70,11992
2015,70,11048
2016,70,10546
2017,70,10303
2018,70,9863
2019,70,11726
2020,70,11466
2008,71,4320
2009,71,4987
2010,71,4996
2011,71,4754
2012,71,4957
2013,71,4962
2014,71,8137
2015,71,9725
2016,71,9089
2017,71,10372
2018,71,12487
2019,71,22351
2020,71,19674
2008,72,89019
2009,72,89749
2010,72,84586
2011,72,96835
2012,72,99183
2013,72,98899
2014,72,146646
2015,72,143305
2016,72,143915
2017,72,149919
2018,72,175939
2019,72,221636
2020,72,219475
2008,73,132390
2009,73,133173
2010,73,133675
2011,73,137322
2012,73,137649
2013,73,137773
2014,73,135829
2015,73,135715
2016,73,164562
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,1797
2015,75,1606
2016,75,1828
2017,75,1547
2018,75,1516
2019,75,2658
2020,75,2888
2008,76,10549000
2009,76,12684000
2010,76,13239000
2011,76,14053000
2012,76,14522000
2013,76,14851000
2014,76,15399000
2015,76,15478000
2016,76,15563000
2017,76,16033000
2018,76,16153000
2019,76,16439000
2020,76,16815000
2008,77,2187221
2009,77,2349683
2010,77,2642531
2011,77,2837578
2012,77,2813297
2013,77,3201332
2014,77,2992246
2015,77,2907076
2016,77,3470706
2017,77,3449344
2018,77,3471958
2019,77,3600408
2020,77,3831865
2008,78,2889134
2009,78,1765225
2010,78,1840232
2011,78,1884476
2012,78,1947597
2013,78,2129221
2014,78,2063698
2015,78,2028000
2016,78,2016400
2017,78,2013100
2018,78,2001100
2019,78,2087200
2020,78,2020100
2008,79,163199
2009,79,241203
2010,79,90515
2011,79,88994
2012,79,85353
2013,79,79775
2014,79,72798
2015,79,66470
2016,79,82240
2017,79,79130
2018,79,119060
2019,79,136787
2020,79,154112
2008,80,319279
2009,80,329970
2010,80,342078
2011,80,61983
2012,80,40534
2013,80,39277
2014,80,36614
2015,80,34987
2016,80,32364
2017,80,32334
2018,80,32724
2019,80,34694
2020,80,33443
2008,81,7416000
2009,81,7517000
2010,81,7002000
2011,81,5113000
2012,81,4786000
2013,81,4548000
2014,81,4348000
2015,81,3678000
2016,81,3937000
2017,81,3657000
2018,81,3647000
2019,81,3312000
2020,81,3447000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,23976
2013,82,25503
2014,82,32185
2015,82,33587
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,87259
2009,83,97808
2010,83,111315
2011,83,115821
2012,83,121559
2013,83,128380
2014,83,119158
2015,83,133865
2016,83,152553
2017,83,182957
2018,83,229391
2019,83,242479
2020,83,232262
2008,84,1790561
2009,84,2187892
2010,84,2554399
2011,84,2400219
2012,84,2367976
2013,84,1998818
2014,84,622695
2015,84,659109
2016,84,671159
2017,84,691148
2018,84,822444
2019,84,1567176
2020,84,1476335
2008,85,264400
2009,85,256231
2010,85,244241
2011,85,239831
2012,85,228929
2013,85,211204
2014,85,202768
2015,85,190452
2016,85,196633
2017,85,192570
2018,85,245900
2019,85,244957
2020,85,235911
2008,86,1790561
2009,86,2187892
2010,86,2554399
2011,86,2400219
2012,86,2367976
2013,86,1998818
2014,86,622695
2015,86,659109
2016,86,671159
2017,86,691148
2018,86,822444
2019,86,1567176
2020,86,1476335
2008,87,12220
2009,87,12026
2010,87,11649
2011,87,11325
2012,87,10360
2013,87,9833
2014,87,8380
2015,87,5259
2016,87,3910
2017,87,5068
2018,87,4718
2019,87,5823
2020,87,
2008,88,325
2009,88,283
2010,88,5333
2011,88,5111
2012,88,84
2013,88,1320
2014,88,1289
2015,88,1248
2016,88,1968
2017,88,1056
2018,88,924
2019,88,
2020,88,
2008,89,14698
2009,89,26626
2010,89,20397
2011,89,17590
2012,89,17460
2013,89,16907
2014,89,17447
2015,89,16048
2016,89,15818
2017,89,17052
2018,89,16191
2019,89,
2020,89,
2008,90,3481
2009,90,3508
2010,90,8395
2011,90,19315
2012,90,29023
2013,90,34890
2014,90,35663
2015,90,111246
2016,90,130586
2017,90,153875
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,2002
2013,91,3278
2014,91,4081
2015,91,4239
2016,91,4279
2017,91,4155
2018,91,4320
2019,91,4189
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,1800
2015,92,2161
2016,92,1992
2017,92,1808
2018,92,1661
2019,92,1539
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,56358
2009,95,60950
2010,95,87792
2011,95,91380
2012,95,94070
2013,95,88119
2014,95,96188
2015,95,102675
2016,95,119794
2017,95,143003
2018,95,188651
2019,95,615008
2020,95,586954
2008,96,271864
2009,96,243388
2010,96,232399
2011,96,192328
2012,96,180272
2013,96,165135
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,62578
2009,97,68728
2010,97,58308
2011,97,38816
2012,97,31574
2013,97,26475
2014,97,27817
2015,97,15249
2016,97,25921
2017,97,25269
2018,97,25940
2019,97,116139
2020,97,114445
2008,98,35446
2009,98,41963
2010,98,57551
2011,98,62722
2012,98,65316
2013,98,66258
2014,98,72207
2015,98,74493
2016,98,92134
2017,98,92332
2018,98,94981
2019,98,128385
2020,98,140497
2008,99,11915
2009,99,12709
2010,99,15669
2011,99,17043
2012,99,17180
2013,99,17159
2014,99,19899
2015,99,22858
2016,99,20494
2017,99,22146
2018,99,
2019,99,
2020,99,
2008,100,178488
2009,100,177609
2010,100,186431
2011,100,207607
2012,100,158584
2013,100,171428
2014,100,189904
2015,100,197983
2016,100,195095
2017,100,231850
2018,100,236099
2019,100,313807
2020,100,323658
2008,101,3258
2009,101,3050
2010,101,2675
2011,101,2595
2012,101,4881
2013,101,5242
2014,101,5253
2015,101,5163
2016,101,5226
2017,101,5724
2018,101,5010
2019,101,11621
2020,101,10842
2008,102,70010
2009,102,69100
2010,102,83680
2011,102,85165
2012,102,86861
2013,102,81932
2014,102,88014
2015,102,88779
2016,102,95360
2017,102,97686
2018,102,102854
2019,102,114078
2020,102,102145
2008,103,35519
2009,103,29748
2010,103,25682
2011,103,19360
2012,103,21868
2013,103,20602
2014,103,21725
2015,103,21978
2016,103,28904
2017,103,31247
2018,103,26857
2019,103,
2020,103,
2008,104,10229
2009,104,11513
2010,104,11517
2011,104,12064
2012,104,12132
2013,104,12684
2014,104,13059
2015,104,12624
2016,104,12618
2017,104,12691
2018,104,11115
2019,104,13206
2020,104,61920
2008,105,3820
2009,105,4053
2010,105,4057
2011,105,4106
2012,105,3660
2013,105,3000
2014,105,2502
2015,105,2279
2016,105,3077
2017,105,3615
2018,105,4534
2019,105,9655
2020,105,8886
2008,106,50991
2009,106,52437
2010,106,50019
2011,106,62526
2012,106,59155
2013,106,56079
2014,106,56836
2015,106,60236
2016,106,61651
2017,106,73275
2018,106,75446
2019,106,106307
2020,106,104334
2008,107,77008
2009,107,79220
2010,107,73503
2011,107,68409
2012,107,63265
2013,107,62688
2014,107,37945
2015,107,34478
2016,107,32919
2017,107,31910
2018,107,31144
2019,107,49167
2020,107,54483
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,
2014,108,13
2015,108,47901
2016,108,81321
2017,108,88355
2018,108,104472
2019,108,186013
2020,108,171489
2008,109,
2009,109,812
2010,109,1008
2011,109,1381
2012,109,2216
2013,109,4682
2014,109,6306
2015,109,6831
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,7005
2009,110,6499
2010,110,5784
2011,110,1404
2012,110,1471
2013,110,27
2014,110,8
2015,110,2
2016,110,0
2017,110,0
2018,110,0
2019,110,0
2020,110,
2008,111,24067
2009,111,23917
2010,111,6436
2011,111,6273
2012,111,5705
2013,111,15691
2014,111,10927
2015,111,10024
2016,111,20568
2017,111,386
2018,111,393
2019,111,3228
2020,111,463
2008,112,70960
2009,112,28043
2010,112,26714
2011,112,31113
2012,112,32246
2013,112,43261
2014,112,53544
2015,112,75498
2016,112,88175
2017,112,95092
2018,112,111890
2019,112,312984
2020,112,
2008,113,61236
2009,113,57431
2010,113,55835
2011,113,63652
2012,113,62102
2013,113,61086
2014,113,61866
2015,113,69862
2016,113,81940
2017,113,90515
2018,113,102774
2019,113,139710
2020,113,125130
2008,114,2693
2009,114,2579
2010,114,2309
2011,114,1921
2012,114,1685
2013,114,1806
2014,114,4261
2015,114,6452
2016,114,10452
2017,114,11267
2018,114,11313
2019,114,12827
2020,114,
2008,115,30778
2009,115,27881
2010,115,26033
2011,115,25138
2012,115,29535
2013,115,29270
2014,115,33909
2015,115,33170
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,84813
2009,116,76932
2010,116,79070
2011,116,80769
2012,116,81438
2013,116,75701
2014,116,74483
2015,116,73037
2016,116,73064
2017,116,73069
2018,116,70765
2019,116,75885
2020,116,76507
2008,117,9682
2009,117,17183
2010,117,17993
2011,117,38881
2012,117,39776
2013,117,43163
2014,117,48116
2015,117,65352
2016,117,47289
2017,117,46102
2018,117,45337
2019,117,62541
2020,117,72656
2008,118,240248
2009,118,238464
2010,118,224149
2011,118,211938
2012,118,209656
2013,118,202230
2014,118,185403
2015,118,163828
2016,118,150849
2017,118,140717
2018,118,150721
2019,118,158785
2020,118,152871
2008,119,72491
2009,119,107055
2010,119,103121
2011,119,102777
2012,119,112527
2013,119,150668
2014,119,209073
2015,119,286066
2016,119,300921
2017,119,321833
2018,119,355488
2019,119,484358
2020,119,476480
2008,120,
2009,120,
2010,120,
