Date,Id,closely held shares
2014,75,
2015,75,
2016,75,
2017,75,
2018,75,
2019,75,
2020,75,
2008,76,1229993
2009,76,1876467
2010,76,1876621
2011,76,1303283
2012,76,1698597
2013,76,1422162
2014,76,1376591
2015,76,1246682
2016,76,1183916
2017,76,1254909
2018,76,1265069
2019,76,1305160
2020,76,1245568
2008,77,519527
2009,77,519533
2010,77,
2011,77,666730
2012,77,660585
2013,77,637080
2014,77,631916
2015,77,678001
2016,77,678001
2017,77,633648
2018,77,714003
2019,77,741089
2020,77,599423
2008,78,588746
2009,78,592778
2010,78,654844
2011,78,755594
2012,78,713855
2013,78,749878
2014,78,705803
2015,78,705803
2016,78,600686
2017,78,706458
2018,78,593966
2019,78,544337
2020,78,606175
2008,79,
2009,79,58095
2010,79,
2011,79,58093
2012,79,58093
2013,79,58093
2014,79,58094
2015,79,58094
2016,79,58094
2017,79,58094
2018,79,94999
2019,79,177609
2020,79,187477
2008,80,159496
2009,80,139541
2010,80,144308
2011,80,178645
2012,80,159166
2013,80,154667
2014,80,154667
2015,80,154667
2016,80,154667
2017,80,144308
2018,80,144308
2019,80,171526
2020,80,156008
2008,81,4699735
2009,81,4699741
2010,81,4699741
2011,81,4178062
2012,81,109582
2013,81,
2014,81,
2015,81,109578
2016,81,109578
2017,81,109578
2018,81,109582
2019,81,109194
2020,81,109040
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,14000
2014,82,0
2015,82,0
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,57200
2009,83,57200
2010,83,57200
2011,83,62920
2012,83,58995
2013,83,58993
2014,83,58993
2015,83,58993
2016,83,58993
2017,83,69297
2018,83,69297
2019,83,57200
2020,83,69297
2008,84,375620
2009,84,376337
2010,84,494996
2011,84,388805
2012,84,392041
2013,84,388819
2014,84,388819
2015,84,388819
2016,84,388819
2017,84,474348
2018,84,373270
2019,84,476836
2020,84,393380
2008,85,116892
2009,85,192376
2010,85,207224
2011,85,238258
2012,85,225001
2013,85,238284
2014,85,238284
2015,85,238284
2016,85,217477
2017,85,
2018,85,
2019,85,
2020,85,
2008,86,375620
2009,86,376337
2010,86,494996
2011,86,388805
2012,86,392041
2013,86,388819
2014,86,388819
2015,86,388819
2016,86,388819
2017,86,474348
2018,86,373270
2019,86,476836
2020,86,393380
2008,87,736
2009,87,355
2010,87,355
2011,87,134
2012,87,624
2013,87,597
2014,87,513
2015,87,513
2016,87,99041
2017,87,93332
2018,87,86624
2019,87,111043
2020,87,
2008,88,64719
2009,88,54692
2010,88,57436
2011,88,69746
2012,88,67614
2013,88,74172
2014,88,80931
2015,88,101160
2016,88,125882
2017,88,121342
2018,88,367825
2019,88,
2020,88,
2008,89,64078
2009,89,64716
2010,89,
2011,89,57580
2012,89,59579
2013,89,59579
2014,89,59572
2015,89,59572
2016,89,59572
2017,89,59572
2018,89,59572
2019,89,
2020,89,
2008,90,
2009,90,11661
2010,90,9049
2011,90,11347
2012,90,9346
2013,90,11517
2014,90,30641
2015,90,81601
2016,90,79612
2017,90,80499
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,
2014,91,
2015,91,
2016,91,
2017,91,
2018,91,
2019,91,
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,
2015,92,
2016,92,
2017,92,
2018,92,
2019,92,
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,121636
2009,95,121631
2010,95,118980
2011,95,122960
2012,95,122802
2013,95,123034
2014,95,123276
2015,95,130457
2016,95,123869
2017,95,142327
2018,95,101628
2019,95,101715
2020,95,102989
2008,96,170878
2009,96,170800
2010,96,
2011,96,170882
2012,96,170882
2013,96,10050
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,368
2009,97,368
2010,97,452
2011,97,85
2012,97,9689
2013,97,10313
2014,97,12028
2015,97,12322
2016,97,10681
2017,97,10681
2018,97,14454
2019,97,14855
2020,97,17419
2008,98,33361
2009,98,31965
2010,98,
2011,98,31313
2012,98,31266
2013,98,31314
2014,98,31314
2015,98,31944
2016,98,31944
2017,98,31944
2018,98,32293
2019,98,32259
2020,98,32193
2008,99,
2009,99,
2010,99,
2011,99,
2012,99,24927
2013,99,24927
2014,99,0
2015,99,0
2016,99,0
2017,99,
2018,99,
2019,99,
2020,99,
2008,100,490
2009,100,490
2010,100,2630
2011,100,100180
2012,100,100180
2013,100,100180
2014,100,92699
2015,100,92699
2016,100,92699
2017,100,92699
2018,100,85215
2019,100,85200
2020,100,85216
2008,101,
2009,101,
2010,101,
2011,101,8915
2012,101,8915
2013,101,8915
2014,101,8933
2015,101,8933
2016,101,8933
2017,101,8612
2018,101,8612
2019,101,8611
2020,101,8611
2008,102,36607
2009,102,39773
2010,102,46105
2011,102,39950
2012,102,39950
2013,102,39950
2014,102,39950
2015,102,39947
2016,102,39913
2017,102,41533
2018,102,41533
2019,102,46240
2020,102,46240
2008,103,58133
2009,103,67186
2010,103,67206
2011,103,66707
2012,103,66707
2013,103,66707
2014,103,88185
2015,103,88185
2016,103,88185
2017,103,88185
2018,103,88185
2019,103,
2020,103,
2008,104,32500
2009,104,42681
2010,104,33990
2011,104,37295
2012,104,34515
2013,104,34515
2014,104,34515
2015,104,36669
2016,104,36669
2017,104,36669
2018,104,36660
2019,104,37349
2020,104,36709
2008,105,
2009,105,
2010,105,
2011,105,9719
2012,105,9719
2013,105,9719
2014,105,9720
2015,105,9720
2016,105,9720
2017,105,9720
2018,105,9719
2019,105,9720
2020,105,9720
2008,106,63258
2009,106,63258
2010,106,82227
2011,106,126525
2012,106,129066
2013,106,123254
2014,106,123254
2015,106,123254
2016,106,123254
2017,106,106854
2018,106,106886
2019,106,106886
2020,106,106886
2008,107,186
2009,107,186
2010,107,186
2011,107,821
2012,107,821
2013,107,1979
2014,107,
2015,107,1979
2016,107,3390
2017,107,
2018,107,
2019,107,
2020,107,
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,
2014,108,
2015,108,20551
2016,108,20551
2017,108,20609
2018,108,15607
2019,108,30835
2020,108,29972
2008,109,
2009,109,
2010,109,
2011,109,17999
2012,109,18910
2013,109,18910
2014,109,29841
2015,109,21541
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,
2009,110,
2010,110,
2011,110,
2012,110,12153
2013,110,12153
2014,110,12153
2015,110,26908
2016,110,26908
2017,110,29702
2018,110,29702
2019,110,29702
2020,110,
2008,111,52010
2009,111,53439
2010,111,22983
2011,111,24584
2012,111,26718
2013,111,24928
2014,111,25268
2015,111,
2016,111,25268
2017,111,
2018,111,
2019,111,
2020,111,
2008,112,25706
2009,112,26385
2010,112,
2011,112,25688
2012,112,26373
2013,112,25795
2014,112,25125
