Date,Id,long term debt
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,1708037
2009,46,1839586
2010,46,2299463
2011,46,2298916
2012,46,2211609
2013,46,2507623
2014,46,3040712
2015,46,2688435
2016,46,2797106
2017,46,2745035
2018,46,3374134
2019,46,3551889
2020,46,4154251
2008,47,3196000
2009,47,4152000
2010,47,3736000
2011,47,3851000
2012,47,4371000
2013,47,3982000
2014,47,3931000
2015,47,3089000
2016,47,3436000
2017,47,3501000
2018,47,2984000
2019,47,3307000
2020,47,3909000
2008,48,875000
2009,48,1131000
2010,48,1696000
2011,48,3733000
2012,48,4617000
2013,48,5277000
2014,48,6035000
2015,48,6367000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,1039
2011,49,1943
2012,49,1539
2013,49,5757
2014,49,18048
2015,49,14557
2016,49,8795
2017,49,8262
2018,49,2251
2019,49,1814
2020,49,384
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,18293
2013,50,15355
2014,50,13548
2015,50,15480
2016,50,24221
2017,50,34524
2018,50,33900
2019,50,33634
2020,50,51199
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,4458
2015,52,2448
2016,52,9564
2017,52,14163
2018,52,13783
2019,52,18085
2020,52,30786
2008,53,17455
2009,53,13401
2010,53,30672
2011,53,8334
2012,53,19233
2013,53,80
2014,53,14689
2015,53,27019
2016,53,35916
2017,53,28057
2018,53,13344
2019,53,103434
2020,53,99067
2008,54,3735
2009,54,4927
2010,54,4882
2011,54,6684
2012,54,10281
2013,54,6968
2014,54,5907
2015,54,4998
2016,54,4342
2017,54,5875
2018,54,12493
2019,54,21116
2020,54,30763
2008,55,92458
2009,55,46749
2010,55,130187
2011,55,155605
2012,55,138313
2013,55,182173
2014,55,89519
2015,55,139918
2016,55,139321
2017,55,205656
2018,55,157407
2019,55,115578
2020,55,83656
2008,56,42455
2009,56,113496
2010,56,103019
2011,56,102351
2012,56,91703
2013,56,72442
2014,56,68679
2015,56,117805
2016,56,111676
2017,56,98396
2018,56,113180
2019,56,117740
2020,56,105318
2008,57,2573
2009,57,3850
2010,57,162
2011,57,31725
2012,57,3291
2013,57,13134
2014,57,47
2015,57,60206
2016,57,55058
2017,57,35209
2018,57,148168
2019,57,
2020,57,
2008,58,969000
2009,58,884000
2010,58,1111000
2011,58,880000
2012,58,1433000
2013,58,1154000
2014,58,817000
2015,58,1141000
2016,58,1114000
2017,58,1466000
2018,58,3161000
2019,58,3032000
2020,58,3045000
2008,59,60
2009,59,26
2010,59,4
2011,59,0
2012,59,0
2013,59,0
2014,59,0
2015,59,0
2016,59,0
2017,59,0
2018,59,1000
2019,59,4901
2020,59,5010
2008,60,95599
2009,60,92930
2010,60,99618
2011,60,102988
2012,60,31998
2013,60,19141
2014,60,82853
2015,60,76343
2016,60,59014
2017,60,67317
2018,60,2540
2019,60,5516
2020,60,11671
2008,61,32864
2009,61,19947
2010,61,15684
2011,61,24605
2012,61,20316
2013,61,28478
2014,61,25959
2015,61,10879
2016,61,16045
2017,61,13933
2018,61,11864
2019,61,23929
2020,61,29110
2008,62,30358
2009,62,22187
2010,62,11490
2011,62,9947
2012,62,3820
2013,62,1629
2014,62,3252
2015,62,22462
2016,62,13968
2017,62,11967
2018,62,17033
2019,62,8747
2020,62,21312
2008,63,2154
2009,63,3790
2010,63,5563
2011,63,3743
2012,63,2138
2013,63,0
2014,63,0
2015,63,1441
2016,63,11037
2017,63,15122
2018,63,23011
2019,63,14803
2020,63,157606
2008,64,33650000
2009,64,33677000
2010,64,32036000
2011,64,33306000
2012,64,31520000
2013,64,29057000
2014,64,30156000
2015,64,28923000
2016,64,28580000
2017,64,26189000
2018,64,23634000
2019,64,28521000
2020,64,26012000
2008,65,28900
2009,65,43413
2010,65,107070
2011,65,56901
2012,65,53469
2013,65,161588
2014,65,81236
2015,65,182629
2016,65,176923
2017,65,195695
2018,65,218357
2019,65,205307
2020,65,276000
2008,66,
2009,66,
2010,66,0
2011,66,293692
2012,66,113682
2013,66,228333
2014,66,278958
2015,66,256898
2016,66,283504
2017,66,274895
2018,66,281411
2019,66,435902
2020,66,441542
2008,67,29053
2009,67,23688
2010,67,24464
2011,67,26346
2012,67,26016
2013,67,21206
2014,67,21434
2015,67,24777
2016,67,46519
2017,67,58279
2018,67,66525
2019,67,58562
2020,67,71097
2008,68,8908
2009,68,6305
2010,68,2621
2011,68,6307
2012,68,5180
2013,68,3943
2014,68,3435
2015,68,2728
2016,68,4415
2017,68,3234
2018,68,4508
2019,68,6461
2020,68,6686
2008,69,261900
2009,69,184200
2010,69,11800
2011,69,8000
2012,69,7300
2013,69,93200
2014,69,74900
2015,69,205600
2016,69,379000
2017,69,224200
2018,69,
2019,69,
2020,69,
2008,70,988
2009,70,637
2010,70,290
2011,70,19506
2012,70,21885
2013,70,15479
2014,70,8636
2015,70,6075
2016,70,804
2017,70,718
2018,70,8745
2019,70,7716
2020,70,4921
2008,71,60
2009,71,240
2010,71,184
2011,71,74
2012,71,1226
2013,71,902
2014,71,798
2015,71,1636
2016,71,3863
2017,71,3278
2018,71,1708
2019,71,12615
2020,71,20969
2008,72,51932
2009,72,36769
2010,72,42197
2011,72,48789
2012,72,36914
2013,72,50689
2014,72,93910
2015,72,116634
2016,72,106128
2017,72,97220
2018,72,105183
2019,72,98177
2020,72,87275
2008,73,1366
2009,73,1314
2010,73,3200
2011,73,4134
2012,73,4912
2013,73,4615
2014,73,4305
2015,73,3981
2016,73,11769
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,1175
2015,75,2634
2016,75,2826
2017,75,1242
2018,75,635
2019,75,2580
2020,75,6644
2008,76,5200000
2009,76,7486000
2010,76,7186000
2011,76,6800000
2012,76,11939000
2013,76,11078000
2014,76,11885000
2015,76,11067000
2016,76,8737000
2017,76,10176000
2018,76,9787000
2019,76,10643000
2020,76,10332000
2008,77,961240
2009,77,1338039
2010,77,1829263
2011,77,2051413
2012,77,2197827
2013,77,1876123
2014,77,2170937
2015,77,2663603
2016,77,2846161
2017,77,2936942
2018,77,2937547
2019,77,3085592
2020,77,3735983
2008,78,1571833
2009,78,2154236
2010,78,2322604
2011,78,2410539
2012,78,2454350
2013,78,3292989
2014,78,3120652
2015,78,2944000
2016,78,2933100
2017,78,2892200
2018,78,2684600
2019,78,3532400
2020,78,3752200
2008,79,30523
2009,79,37829
2010,79,44878
2011,79,34733
2012,79,50383
2013,79,50196
2014,79,89656
2015,79,56275
2016,79,66237
2017,79,62472
2018,79,41029
2019,79,24961
2020,79,80953
2008,80,4763
2009,80,5072
2010,80,6226
2011,80,45508
2012,80,30033
2013,80,65401
2014,80,53945
2015,80,44251
2016,80,34898
2017,80,54637
2018,80,55111
2019,80,135524
2020,80,196562
2008,81,2299000
2009,81,3383000
2010,81,2733000
2011,81,3127000
2012,81,1970000
2013,81,2133000
2014,81,1588000
2015,81,1242000
2016,81,215000
2017,81,221000
2018,81,353000
2019,81,615000
2020,81,623000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,9337
2013,82,8789
2014,82,7234
2015,82,8169
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,38923
2009,83,38625
2010,83,27766
2011,83,25630
2012,83,28995
2013,83,32132
2014,83,79276
2015,83,118335
2016,83,87579
2017,83,124608
2018,83,117768
2019,83,123710
2020,83,146049
2008,84,2699000
2009,84,2621489
2010,84,2718571
2011,84,2760716
2012,84,2838057
2013,84,907232
2014,84,653218
2015,84,710276
2016,84,595557
2017,84,646975
2018,84,635258
2019,84,1570328
2020,84,1420425
2008,85,19935
2009,85,62672
2010,85,55531
2011,85,45934
