Date,Id,EBITDA
2018,58,468000
2019,58,817000
2020,58,626000
2008,59,19385
2009,59,13472
2010,59,20269
2011,59,20370
2012,59,20035
2013,59,20208
2014,59,24627
2015,59,28499
2016,59,29921
2017,59,32973
2018,59,
2019,59,36979
2020,59,35935
2008,60,25531
2009,60,22964
2010,60,28018
2011,60,28265
2012,60,-8824
2013,60,1575
2014,60,18614
2015,60,13491
2016,60,15334
2017,60,19305
2018,60,10139
2019,60,11539
2020,60,3755
2008,61,12660
2009,61,-5444
2010,61,21866
2011,61,19535
2012,61,7500
2013,61,745
2014,61,13856
2015,61,5949
2016,61,11292
2017,61,17260
2018,61,19701
2019,61,19836
2020,61,16197
2008,62,20911
2009,62,-8364
2010,62,28001
2011,62,30238
2012,62,14844
2013,62,12008
2014,62,16887
2015,62,14883
2016,62,7366
2017,62,17281
2018,62,18181
2019,62,10877
2020,62,12478
2008,63,8456
2009,63,9179
2010,63,9233
2011,63,10172
2012,63,9217
2013,63,11831
2014,63,3139
2015,63,14625
2016,63,14934
2017,63,26360
2018,63,30056
2019,63,33779
2020,63,48955
2008,64,11144000
2009,64,11019000
2010,64,11782000
2011,64,4859000
2012,64,7311000
2013,64,6961000
2014,64,8476000
2015,64,6595000
2016,64,8615000
2017,64,7713000
2018,64,4766000
2019,64,8079000
2020,64,7253000
2008,65,67847
2009,65,65718
2010,65,75550
2011,65,82777
2012,65,81712
2013,65,84079
2014,65,90600
2015,65,94294
2016,65,96479
2017,65,102408
2018,65,106477
2019,65,113878
2020,65,18227
2008,66,
2009,66,
2010,66,-79
2011,66,57569
2012,66,32073
2013,66,62416
2014,66,63942
2015,66,53831
2016,66,81764
2017,66,86326
2018,66,91898
2019,66,106850
2020,66,51629
2008,67,6003
2009,67,9111
2010,67,8469
2011,67,6343
2012,67,5386
2013,67,6577
2014,67,5639
2015,67,4528
2016,67,16580
2017,67,7059
2018,67,7460
2019,67,4158
2020,67,17415
2008,68,4578
2009,68,-9426
2010,68,-529
2011,68,9340
2012,68,3517
2013,68,931
2014,68,-2608
2015,68,-1370
2016,68,-825
2017,68,-4675
2018,68,-2416
2019,68,-6030
2020,68,-5109
2008,69,900200
2009,69,817400
2010,69,485000
2011,69,434900
2012,69,300700
2013,69,478000
2014,69,464700
2015,69,425800
2016,69,385300
2017,69,443700
2018,69,
2019,69,
2020,69,
2008,70,6239
2009,70,6782
2010,70,7423
2011,70,5831
2012,70,9586
2013,70,13229
2014,70,18532
2015,70,17669
2016,70,14194
2017,70,11695
2018,70,10384
2019,70,11160
2020,70,11655
2008,71,2758
2009,71,2934
2010,71,3534
2011,71,3824
2012,71,2612
2013,71,4814
2014,71,5172
2015,71,3463
2016,71,5703
2017,71,6369
2018,71,6448
2019,71,4957
2020,71,1783
2008,72,32340
2009,72,51119
2010,72,35927
2011,72,29303
2012,72,
2013,72,44466
2014,72,60721
2015,72,81495
2016,72,62124
2017,72,55217
2018,72,55171
2019,72,47022
2020,72,89650
2008,73,4292
2009,73,1119
2010,73,2456
2011,73,4509
2012,73,1650
2013,73,2549
2014,73,2406
2015,73,3117
2016,73,4340
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,2135
2015,75,1311
2016,75,2237
2017,75,-1612
2018,75,562
2019,75,-1561
2020,75,-4139
2008,76,1535000
2009,76,1858000
2010,76,2494000
2011,76,2584000
2012,76,2394000
2013,76,2855000
2014,76,2852000
2015,76,2900000
2016,76,2126000
2017,76,2140000
2018,76,2213000
2019,76,2380000
2020,76,2392000
2008,77,370770
2009,77,371635
2010,77,446283
2011,77,283870
2012,77,537121
2013,77,516832
2014,77,553202
2015,77,608031
2016,77,739985
2017,77,780570
2018,77,867501
2019,77,867935
2020,77,866574
2008,78,435904
2009,78,410991
2010,78,443100
2011,78,546720
2012,78,559585
2013,78,750704
2014,78,759250
2015,78,762000
2016,78,791400
2017,78,839400
2018,78,903800
2019,78,1053400
2020,78,970800
2008,79,17141
2009,79,25588
2010,79,37049
2011,79,35847
2012,79,38645
2013,79,45755
2014,79,35409
2015,79,40988
2016,79,39428
2017,79,37767
2018,79,45350
2019,79,67725
2020,79,73728
2008,80,48423
